target_ensembl_id,concordance_r,pval
ENSG00000161888,0.46517983,0.0
ENSG00000104897,0.46472767,0.0
ENSG00000104299,0.46401712,0.0
ENSG00000169136,0.46374005,0.0
ENSG00000197958,0.4632718,0.0
ENSG00000173692,0.4622456,0.0
ENSG00000100836,0.46105453,0.0
ENSG00000160948,0.46101078,0.0
ENSG00000126814,0.45999938,0.0
ENSG00000116120,0.4598191,0.0
ENSG00000213024,0.4595711,0.0
ENSG00000131153,0.45909083,0.0
ENSG00000077348,0.45781195,0.0
ENSG00000047315,0.45737508,0.0
ENSG00000145388,0.4561436,0.0
ENSG00000087263,0.4556789,0.0
ENSG00000105618,0.4556513,0.0
ENSG00000105819,0.45524797,0.0
ENSG00000166986,0.45503533,0.0
ENSG00000115875,0.45395702,0.0
ENSG00000104408,0.45357615,0.0
ENSG00000198730,0.45304906,0.0
ENSG00000116560,0.45285353,0.0
ENSG00000115524,0.45008984,0.0
ENSG00000167005,0.44996667,0.0
ENSG00000084463,0.44949776,0.0
ENSG00000172171,0.44914666,0.0
ENSG00000120699,0.44740644,0.0
ENSG00000168883,0.44692078,0.0
ENSG00000159352,0.44588938,0.0
ENSG00000184634,0.44446865,0.0
ENSG00000168566,0.44263002,0.0
ENSG00000021776,0.44214454,0.0
ENSG00000137815,0.44206572,0.0
ENSG00000197170,0.44154447,0.0
ENSG00000125743,0.44151664,0.0
ENSG00000111361,0.44121307,0.0
ENSG00000006712,0.4405921,0.0
ENSG00000113407,0.44014198,0.0
ENSG00000079246,0.43985555,0.0
ENSG00000133119,0.43980956,0.0
ENSG00000133226,0.43946168,0.0
ENSG00000030066,0.4392311,0.0
ENSG00000170860,0.43902922,0.0
ENSG00000113812,0.43732762,0.0
ENSG00000165688,0.43725955,0.0
ENSG00000068394,0.43710452,0.0
ENSG00000147403,0.43638542,0.0
ENSG00000196363,0.43326476,0.0
ENSG00000143493,0.43304846,0.0
ENSG00000111581,0.43218538,0.0
ENSG00000106399,0.43216896,0.0
ENSG00000139697,0.4309388,0.0
ENSG00000082068,0.4308921,0.0
ENSG00000090861,0.42975926,1.1e-322
ENSG00000181817,0.42917717,9.9e-322
ENSG00000124207,0.42893538,2.47e-321
ENSG00000232838,0.42852086,1.1917e-320
ENSG00000112339,0.42836654,2.1393e-320
ENSG00000110321,0.42799953,8.5967e-320
ENSG00000196305,0.4272481,1.47516e-318
ENSG00000105229,0.42710605,2.52251e-318
ENSG00000182446,0.42698494,3.984916e-318
ENSG00000114391,0.42649445,2.5340044e-317
ENSG00000130713,0.42436233,7.596777818e-314
ENSG00000115561,0.42421862,1.3003753739e-313
ENSG00000140307,0.4241483,1.69152333665e-313
ENSG00000196419,0.42350298,1.883121170886e-312
ENSG00000163510,0.4227801,2.7834233994966e-311
ENSG00000125450,0.42243358,1.00984372320255e-310
ENSG00000154781,0.4218254,9.65989017203427e-310
ENSG00000170312,0.42033902,2.362430062809082e-307
ENSG00000085872,0.42004016,7.1141096470270845e-307
ENSG00000122692,0.41979977,1.7252770678524496e-306
ENSG00000147536,0.4194271,6.803166766299183e-306
ENSG00000051596,0.41732398,1.517565746937955e-302
ENSG00000131931,0.41728154,1.7720207220315945e-302
ENSG00000130204,0.41642717,3.996831062716825e-301
ENSG00000126756,0.41637564,4.821763246185394e-301
ENSG00000102898,0.41553232,1.0347874002174912e-299
ENSG00000100401,0.41541883,1.5622918848890912e-299
ENSG00000180182,0.41538224,1.7841956620335183e-299
ENSG00000101407,0.41533074,2.1507803732194947e-299
ENSG00000154832,0.41526768,2.703661025044334e-299
ENSG00000185627,0.41270447,2.833722465039438e-295
