Gene_Target,Perturbation,Oxidative_Score,Inflammatory_Score,Senescence_Score,direction,logFC
CST3,1913_CST3_P1P2_ENSG00000101439,-0.0029287133,0.018697485,0.023172835,UP,0.0175133643553241
ZBTB7A,10008_ZBTB7A_P1_ENSG00000178951,-0.0029829296,0.008880287,0.008697216,UP,0.00881405588874752
BSG,913_BSG_P1P2_ENSG00000172270,-0.0030873318,0.01230803,0.001160949,UP,0.0154878075560867
BSG,913_BSG_P1P2_ENSG00000172270,-0.0030873318,0.01230803,0.001160949,UP,0.0134824307034072
SCARB1,7687_SCARB1_P1P2_ENSG00000073060,-0.0031128938,-0.009833688,0.00094312284,UP,0.00970238771279027
SCARB1,7687_SCARB1_P1P2_ENSG00000073060,-0.0031128938,-0.009833688,0.00094312284,UP,0.0129480640175906
GLI2,3392_GLI2_ENST00000361492.4_ENSG00000074047,-0.0031194875,-0.0027515711,-0.003951086,DOWN,-0.0124495371822522
DEAF1,2136_DEAF1_P1P2_ENSG00000177030,-0.0034773552,0.011104313,0.019563386,UP,0.0107154526248322
CSNK1E,1900_CSNK1E_P1P2_ENSG00000213923,-0.003659377,0.0005328053,0.008998171,UP,0.011888271538706
EZR,2804_EZR_P2_ENSG00000092820,-0.0037212214,0.00016743751,-0.0030895802,UP,0.0218303984981641
STXBP6,8566_STXBP6_P1P2_ENSG00000168952,-0.0038131122,-0.022063576,0.007113888,DOWN,-0.0130526770931013
SLC13A3,7964_SLC13A3_P1P2_ENSG00000158296,-0.003979645,0.00950279,0.0012384026,UP,0.023403691881033
SLC35A1,8037_SLC35A1_P1P2_ENSG00000164414,-0.003981514,0.08731836,0.050435062,DOWN,-0.00864444299024996
SMCHD1,8162_SMCHD1_P1P2_ENSG00000101596,-0.004102652,0.033783488,-0.0074871075,DOWN,-0.0118431044144112
POM121,6567_POM121_P1P2_ENSG00000196313,-0.004164201,0.01961734,0.015736835,UP,0.00858394601506846
ABCB10,20_ABCB10_P1P2_ENSG00000135776,-0.004361278,0.046679504,0.038407512,UP,0.00868760160129969
SERPINF1,7805_SERPINF1_P1P2_ENSG00000132386,-0.0044316356,0.01779637,0.009659741,UP,0.0184319519541009
VEGFA,9718_VEGFA_P1P2_ENSG00000112715,-0.00447524,0.0018900024,-0.0018264741,UP,0.0163288915165446
VEGFA,9718_VEGFA_P1P2_ENSG00000112715,-0.00447524,0.0018900024,-0.0018264741,UP,0.0164355624383928
VEGFA,9718_VEGFA_P1P2_ENSG00000112715,-0.00447524,0.0018900024,-0.0018264741,UP,0.0121861658794375
EZR,2805_EZR_P1_ENSG00000092820,-0.004492863,0.02472281,0.015892426,UP,0.0218303984981641
SRGAP2,8407_SRGAP2_P1P2_ENSG00000266028,-0.004564606,0.017663438,0.02158958,DOWN,-0.0101159213137231
LIMA1,4580_LIMA1_P2_ENSG00000050405,-0.0046126,0.027053703,0.035575256,DOWN,-0.010832436853923
FADS1,2815_FADS1_P1P2_ENSG00000149485,-0.004658513,-0.010196333,-0.028687898,UP,0.0126399696777929
FADS1,2815_FADS1_P1P2_ENSG00000149485,-0.004658513,-0.010196333,-0.028687898,UP,0.016738801724427
FHL3,3080_FHL3_P1P2_ENSG00000183386,-0.005253433,0.011058575,0.007826934,UP,0.0115252038672071
CTDSP1,1930_CTDSP1_P1P2_ENSG00000144579,-0.0054769614,0.01781649,0.019711332,UP,0.00937201942128764
MEST,4982_MEST_P1_ENSG00000106484,-0.005706906,0.022310322,0.00778102,DOWN,-0.0224318564860959
HLCS,3812_HLCS_P1_ENSG00000159267,-0.0060060746,-0.0067925723,-0.0004761619,UP,0.0156281066468832
CYB561,1988_CYB561_P1P2_ENSG00000008283,-0.0062721116,-0.0004881174,-0.02211965,UP,0.0088779901399327
ZXDC,10741_ZXDC_P1P2_ENSG00000070476,-0.006303327,-0.007550457,-0.05953803,DOWN,-0.0111452545983987
GALNT10,3267_GALNT10_P1P2_ENSG00000164574,-0.0069926935,0.005326157,0.0026005812,UP,0.00992545016719961
PEMT,6216_PEMT_P1P2_ENSG00000133027,-0.0070031765,0.02734142,0.020796202,UP,0.00881671638932309
IFRD1,4049_IFRD1_P1_ENSG00000006652,-0.007114621,0.023258055,0.015503545,DOWN,-0.00987034009496678
PEX16,6227_PEX16_P1P2_ENSG00000121680,-0.0072007407,0.048419226,0.024973415,UP,0.0147450533203006
RDH11,7214_RDH11_P1P2_ENSG00000072042,-0.007999484,0.03869501,0.011120135,UP,0.0181832061187449
CHCHD10,1547_CHCHD10_P1P2_ENSG00000250479,-0.008143588,0.015871067,0.002029744,UP,0.0105126328615675
RAB8B,7041_RAB8B_P1P2_ENSG00000166128,-0.008181731,0.02312335,0.05067758,DOWN,-0.0119246134588403
HAGHL,3624_HAGHL_P1P2_ENSG00000103253,-0.008204181,-0.005574814,-0.005215943,UP,0.0112586904340615
VGLL4,9724_VGLL4_P1P2_ENSG00000144560,-0.008210005,0.023725,0.02370552,UP,0.0123092042073283
STK38L,8522_STK38L_P1P2_ENSG00000211455,-0.008630551,0.01773715,0.01936851,DOWN,-0.0128504329295919
PTGES2,6909_PTGES2_P1P2_ENSG00000148334,-0.008664966,0.027752204,0.015885696,UP,0.0114508551760824
DCXR,2084_DCXR_P1P2_ENSG00000169738,-0.009029687,0.03139788,-0.0050653303,UP,0.0102102150217812
ROGDI,7410_ROGDI_P1P2_ENSG00000067836,-0.009158494,0.021922989,0.022185065,UP,0.0124961205535524
MARCKSL1,4850_MARCKSL1_P1P2_ENSG00000175130,-0.009169839,-0.007035586,0.016819773,UP,0.00808942428709859
ZEB2,10062_ZEB2_P1_ENSG00000169554,-0.009526293,-0.012633224,0.02205466,DOWN,-0.011157051875192
SH3GLB1,7885_SH3GLB1_P1P2_ENSG00000097033,-0.009536937,0.0031893132,0.008871555,DOWN,-0.00963590103826484
ANGPT1,312_ANGPT1_P1P2_ENSG00000154188,-0.009787407,-0.019600142,0.0009323314,DOWN,-0.0251285820836246
ANGPT1,312_ANGPT1_P1P2_ENSG00000154188,-0.009787407,-0.019600142,0.0009323314,DOWN,-0.023989610709891
ZDHHC20,10048_ZDHHC20_P1P2_ENSG00000180776,-0.010186524,0.008364562,0.008560433,DOWN,-0.00760176678208121
CHCHD5,1552_CHCHD5_P1P2_ENSG00000125611,-0.0105008045,0.018458668,0.016904606,UP,0.00920252488833682
MANBAL,4791_MANBAL_P1P2_ENSG00000101363,-0.010590365,0.016022963,0.035959776,UP,0.00915597901513755
NSFL1C,5824_NSFL1C_P1P2_ENSG00000088833,-0.010784446,0.024337169,-0.018157683,UP,0.013465566027986
NSFL1C,5824_NSFL1C_P1P2_ENSG00000088833,-0.010784446,0.024337169,-0.018157683,UP,0.0150315050291005
CIB1,1611_CIB1_P1P2_ENSG00000185043,-0.011240985,-0.0009859898,-0.007763944,UP,0.00793726947916737
NFAT5,5621_NFAT5_P1P2_ENSG00000102908,-0.011554008,-0.022491068,-0.014398484,DOWN,-0.00877076932933806
RAB7A,7039_RAB7A_P1P2_ENSG00000075785,-0.011658916,-0.015328845,-0.014055661,UP,0.00889378821096465
QSOX1,6990_QSOX1_P1P2_ENSG00000116260,-0.0118924985,0.0052524568,-0.005953026,UP,0.00697644196979143
RFT1,7255_RFT1_P1P2_ENSG00000163933,-0.011984434,0.008921427,0.0055665653,UP,0.00893529603944196
SMG1,8165_SMG1_P1P2_ENSG00000157106,-0.012026418,0.022775382,0.006576844,DOWN,-0.0120156180456381
NAPA,5462_NAPA_P1P2_ENSG00000105402,-0.012164974,0.029237669,-0.010490467,UP,0.0131435609979715
VPS33B,9750_VPS33B_P1P2_ENSG00000184056,-0.012293413,0.04780776,0.016872145,UP,0.0121971946669785
S100A1,7622_S100A1_P1_ENSG00000160678,-0.012863492,-0.0032106442,0.013459646,UP,0.0119798309188864
DNAJA1,2274_DNAJA1_P1_ENSG00000086061,-0.013691618,0.014897638,0.006105305,DOWN,-0.01878487315197
SLC25A39,8004_SLC25A39_P2_ENSG00000013306,-0.013756868,0.011364409,-0.047170382,UP,0.00921741145464772
LPCAT3,4632_LPCAT3_P1P2_ENSG00000111684,-0.014415462,-0.0043427,-0.01973435,UP,0.0152005246496876
