perturbation_id,target_gene,PRG4_UP_enrichment,PRG4_DOWN_enrichment,prg4_mimetic_score,is_ARE_gene,is_age_UP,is_age_DOWN
1487_CENPN_P1P2_ENSG00000166451,CENPN,0.09453946310200079,-0.060396467149513806,0.1549359302515146,False,False,False
4175_IQSEC1_P1P2_ENSG00000144711,IQSEC1,0.05360127761428141,-0.09891807048111195,0.15251934809539336,False,False,False
4457_KPNA1_P1_ENSG00000114030,KPNA1,0.05470474037728736,-0.09656040700516677,0.15126514738245414,False,False,False
5428_NAA30_P1P2_ENSG00000139977,NAA30,0.08858504092544961,-0.06263749933642195,0.15122254026187154,False,False,False
8038_SLC35A2_P1P2_ENSG00000102100,SLC35A2,0.07185291020615006,-0.07921752448504356,0.15107043469119363,False,False,False
6372_PIP4K2C_P1P2_ENSG00000166908,PIP4K2C,0.10069011234156594,-0.04978064285074768,0.15047075519231362,False,False,False
2771_EVL_P1_ENSG00000196405,EVL,0.09916495007294836,-0.05060577752740077,0.14977072760034912,False,False,False
1847_CPT1C_P1P2_ENSG00000169169,CPT1C,0.044502505432800966,-0.1049426470390153,0.14944515247181628,False,False,False
9946_YTHDC1_P1P2_ENSG00000083896,YTHDC1,0.07747682814675957,-0.071922364128906,0.14939919227566556,False,False,False
11084_non-targeting_non-targeting_non-targeting,non-targeting,0.06955761960849242,-0.07928629891363345,0.14884391852212586,False,False,False
7785_SEPTIN2_P1P2_ENSG00000168385,SEPTIN2,0.07347775833851021,-0.07519057568475332,0.14866833402326352,False,False,False
5970_ORC6_P1P2_ENSG00000091651,ORC6,0.11850935356862023,-0.029965208696320543,0.14847456226494077,False,False,False
1075_C2orf42_ENST00000420306.1_ENSG00000115998,C2orf42,0.08322055780372865,-0.06416131248232106,0.1473818702860497,False,False,False
5124_MMP15_P1P2_ENSG00000102996,MMP15,0.06946076394277399,-0.07767628003235895,0.14713704397513294,False,False,False
6124_PCGF5_ENST00000543648.1_ENSG00000180628,PCGF5,0.08155765923126476,-0.0654582017071587,0.14701586093842345,False,False,False
4244_IWS1_P1P2_ENSG00000163166,IWS1,0.1008484461976997,-0.046027682499839476,0.1468761286975392,False,False,False
10974_non-targeting_non-targeting_non-targeting,non-targeting,0.09320140836943021,-0.053289881839509896,0.1464912902089401,False,False,False
497_ARIH1_P1P2_ENSG00000166233,ARIH1,0.09745299473473107,-0.04897072095092529,0.14642371568565637,False,False,False
4816_MAP4K1_P1P2_ENSG00000104814,MAP4K1,0.10473855338201589,-0.04167999765469689,0.14641855103671278,False,False,False
2444_E2F7_P1P2_ENSG00000165891,E2F7,0.09878916266861883,-0.047332178113092795,0.14612134078171163,False,False,False
10469_ZNF579_P1P2_ENSG00000218891,ZNF579,0.08451710296527704,-0.060992300908725705,0.14550940387400274,False,False,False
1354_CCZ1_P1P2_ENSG00000122674,CCZ1,0.11151750658296194,-0.03394810383037116,0.1454656104133331,False,False,False
