target_gene,perturbation_id,age_direction,ARE_enrichment,n_ARE_genes
RBPJ,7191_RBPJ_P1P2_ENSG00000168214,DOWN,0.002958691962662141,128
SCARB1,7687_SCARB1_P1P2_ENSG00000073060,UP,0.0028488301612316644,128
ARMCX3,526_ARMCX3_P1P2_ENSG00000102401,DOWN,0.0027408625287913685,128
GALNT10,3267_GALNT10_P1P2_ENSG00000164574,UP,0.002290050309128379,128
NFX1,5654_NFX1_P1P2_ENSG00000086102,UP,0.002087374227179052,128
DCXR,2084_DCXR_P1P2_ENSG00000169738,UP,-0.0013164474481755365,128
FLCN,3106_FLCN_P1P2_ENSG00000154803,DOWN,-0.0018070372166323191,128
TMEM214,9042_TMEM214_P1P2_ENSG00000119777,UP,-0.002225648563462238,128
SLC40A1,8082_SLC40A1_P1_ENSG00000138449,DOWN,-0.0027787459085949814,128
SETDB2,7824_SETDB2_P1P2_ENSG00000136169,DOWN,-0.0029795278215541277,128
FADS3,2818_FADS3_P1P2_ENSG00000221968,UP,-0.004449402957934295,128
STK38L,8522_STK38L_P1P2_ENSG00000211455,DOWN,-0.004597148139168384,128
MLLT3,5113_MLLT3_P1P2_ENSG00000171843,DOWN,-0.00603482240271548,128
TPM1,9204_TPM1_P2_ENSG00000140416,DOWN,-0.0060973299793914415,128
PEX16,6227_PEX16_P1P2_ENSG00000121680,UP,-0.006349254455085465,128
COPE,1773_COPE_P1P2_ENSG00000105669,UP,-0.006474269608437386,128
DNAJB4,2282_DNAJB4_P1P2_ENSG00000162616,DOWN,-0.006529200509152624,128
ZBTB7A,10008_ZBTB7A_P1_ENSG00000178951,UP,-0.008091889926051643,128
HLCS,3812_HLCS_P1_ENSG00000159267,UP,-0.00829077767002061,128
FADS2,2816_FADS2_P2_ENSG00000134824,UP,-0.008368438598618015,128
DAAM1,2016_DAAM1_P1P2_ENSG00000100592,UP,-0.009951963874409019,128
DMTF1,2263_DMTF1_P1P2_ENSG00000135164,DOWN,-0.010656594738756213,128
SLC2A1,8026_SLC2A1_P1P2_ENSG00000117394,UP,-0.011592314219905444,128
EXOSC1,2788_EXOSC1_P1P2_ENSG00000171311,UP,-0.012922020851012244,128
ARAF,432_ARAF_P1P2_ENSG00000078061,UP,-0.01405852224512062,128
ABCB10,20_ABCB10_P1P2_ENSG00000135776,UP,-0.014304764213844101,128
EDEM3,2478_EDEM3_P1P2_ENSG00000116406,DOWN,-0.014950675839495697,128
