Gene_Target,Perturbation,Axis_Score,direction,logFC,adj.P.Val
SHISA5,7894_SHISA5_P1P2_ENSG00000164054,-0.0039983946,UP,0.0105275134700241,0.0289222052277259
WASF1,9786_WASF1_P1P2_ENSG00000112290,-0.0039911033,DOWN,-0.014309619456112,0.0108489065150277
STXBP6,8566_STXBP6_P1P2_ENSG00000168952,-0.0039455188,DOWN,-0.0130526770931013,0.0491947428891234
SCARB1,7687_SCARB1_P1P2_ENSG00000073060,-0.003912054,UP,0.00970238771279027,0.034779213937706
SCARB1,7687_SCARB1_P1P2_ENSG00000073060,-0.003912054,UP,0.0129480640175906,0.00443486633530252
VEGFA,9718_VEGFA_P1P2_ENSG00000112715,-0.0035712086,UP,0.0163288915165446,0.0117491859274041
VEGFA,9718_VEGFA_P1P2_ENSG00000112715,-0.0035712086,UP,0.0164355624383928,0.00407290694652651
VEGFA,9718_VEGFA_P1P2_ENSG00000112715,-0.0035712086,UP,0.0121861658794375,0.0272909533345406
DAAM1,2016_DAAM1_P1P2_ENSG00000100592,-0.003558309,UP,0.0223696623580848,0.00830708682061085
DAAM1,2016_DAAM1_P1P2_ENSG00000100592,-0.003558309,UP,0.0188222663479356,0.0232720554268509
ARMCX3,526_ARMCX3_P1P2_ENSG00000102401,-0.0034687985,DOWN,-0.0130486040569772,0.0494223037642735
SLC13A3,7964_SLC13A3_P1P2_ENSG00000158296,-0.0034663817,UP,0.023403691881033,0.0242071383903987
MEST,4982_MEST_P1_ENSG00000106484,-0.0034066166,DOWN,-0.0224318564860959,0.00585992008486129
CST3,1913_CST3_P1P2_ENSG00000101439,-0.003039248,UP,0.0175133643553241,0.0401729668776668
MLLT3,5113_MLLT3_P1P2_ENSG00000171843,-0.0029351108,DOWN,-0.0119363018636624,0.0484959380025854
ECHDC3,2465_ECHDC3_P1P2_ENSG00000134463,-0.0028652623,UP,0.013592040790561,0.0479403906948764
QSOX1,6990_QSOX1_P1P2_ENSG00000116260,-0.0026022058,UP,0.00697644196979143,0.0352053664366198
INPP5K,4138_INPP5K_P1P2_ENSG00000132376,-0.0025696843,UP,0.0214130652874726,0.0210424424290435
INPP5K,4138_INPP5K_P1P2_ENSG00000132376,-0.0025696843,UP,0.0176460755548964,0.0494453943766575
TPM1,9204_TPM1_P2_ENSG00000140416,-0.0025475076,DOWN,-0.0107591867181991,0.0426538051063771
TMEM161A,9011_TMEM161A_P1P2_ENSG00000064545,-0.0025415742,UP,0.011240449614929,0.0242071383903987
PTGES2,6909_PTGES2_P1P2_ENSG00000148334,-0.0024253647,UP,0.0114508551760824,0.0281642459123839
ZBTB46,10000_ZBTB46_P1P2_ENSG00000130584,-0.0024153148,DOWN,-0.00859662065776074,0.0207673165107694
GGA2,3352_GGA2_P1P2_ENSG00000103365,-0.002102427,UP,0.0143681401919924,0.0266146674975324
HLCS,3811_HLCS_P2_ENSG00000159267,-0.0020091208,UP,0.0156281066468832,0.0125341083157423
LIMA1,4580_LIMA1_P2_ENSG00000050405,-0.0018270564,DOWN,-0.010832436853923,0.0128959018141283
VPS33B,9750_VPS33B_P1P2_ENSG00000184056,-0.0017812107,UP,0.0121971946669785,0.0325931596278407
SERPINF1,7805_SERPINF1_P1P2_ENSG00000132386,-0.0017681294,UP,0.0184319519541009,0.0312917431621461
LBH,4526_LBH_P1P2_ENSG00000213626,-0.0016328832,UP,0.0132353411830061,0.0333375761179703
DEAF1,2136_DEAF1_P1P2_ENSG00000177030,-0.0015805953,UP,0.0107154526248322,0.0207718775876049
FXR2,3231_FXR2_P1P2_ENSG00000129245,-0.0014314534,UP,0.0112380137701489,0.0436260708508578
SMG1,8165_SMG1_P1P2_ENSG00000157106,-0.001416819,DOWN,-0.0120156180456381,0.0336388828611276
RILP,7307_RILP_P1P2_ENSG00000167705,-0.001340552,UP,0.00922360035204795,0.0495647286647004
SLC25A39,8005_SLC25A39_P1_ENSG00000013306,-0.0012810205,UP,0.00921741145464772,0.0284579978775374
PEMT,6216_PEMT_P1P2_ENSG00000133027,-0.001280856,UP,0.00881671638932309,0.0449325531219475
IQGAP2,4173_IQGAP2_P1P2_ENSG00000145703,-0.0012637582,UP,0.0121911873759671,0.0491947428891234
CCNO,1336_CCNO_P1P2_ENSG00000152669,-0.0012433786,UP,0.0187772419156783,0.014279561496736
UBL4A,9533_UBL4A_P1P2_ENSG00000102178,-0.0012370207,UP,0.0102221977230888,0.0441225854088442
RIT1,7317_RIT1_P1P2_ENSG00000143622,-0.0011758968,DOWN,-0.0106043257586144,0.0311892027676313
APLP1,406_APLP1_P1P2_ENSG00000105290,-0.0011658869,UP,0.0168314432181809,0.0109360329137389
FAM133B,2852_FAM133B_P1P2_ENSG00000234545,-0.0011479376,DOWN,-0.0094353055826164,0.0103066581320454
EZR,2804_EZR_P2_ENSG00000092820,-0.0010506662,UP,0.0218303984981641,0.0145900964540037
VGLL4,9724_VGLL4_P1P2_ENSG00000144560,-0.00078958826,UP,0.0123092042073283,0.0034290301913685
RDH11,7214_RDH11_P1P2_ENSG00000072042,-0.0007364299,UP,0.0181832061187449,0.0382837713516112
RAB22A,7015_RAB22A_P1P2_ENSG00000124209,-0.000715326,DOWN,-0.00798895707501617,0.0376452405580788
ANGPT1,312_ANGPT1_P1P2_ENSG00000154188,-0.00045158158,DOWN,-0.0251285820836246,0.00530488077275737
ANGPT1,312_ANGPT1_P1P2_ENSG00000154188,-0.00045158158,DOWN,-0.023989610709891,0.0225860429968128
ZBTB7A,10008_ZBTB7A_P1_ENSG00000178951,-0.00043661526,UP,0.00881405588874752,0.0263588338420056
BCKDHA,790_BCKDHA_P2_ENSG00000248098,-0.00017364285,UP,0.00753650618401456,0.0461585394631721
NR3C1,5796_NR3C1_P1P2_ENSG00000113580,-0.00010889969,DOWN,-0.00922828341135388,0.0494223037642735
STK38L,8522_STK38L_P1P2_ENSG00000211455,4.8693848e-05,DOWN,-0.0128504329295919,0.0226686141798354
CYB561,1988_CYB561_P1P2_ENSG00000008283,0.00018929347,UP,0.0088779901399327,0.0426538051063771
ZDHHC20,10048_ZDHHC20_P1P2_ENSG00000180776,0.00020287703,DOWN,-0.00760176678208121,0.0426538051063771
GNA13,3429_GNA13_P1P2_ENSG00000120063,0.00021028005,DOWN,-0.0100107654254984,0.0271375227919344
GPX4,3523_GPX4_P1P2_ENSG00000167468,0.00030490613,UP,0.0119248751105752,0.0151466788748567
SMCHD1,8162_SMCHD1_P1P2_ENSG00000101596,0.00052891194,DOWN,-0.0118431044144112,0.0150820827886685
CTDSP1,1930_CTDSP1_P1P2_ENSG00000144579,0.000751009,UP,0.00937201942128764,0.0449325531219475
LSR,4698_LSR_P1P2_ENSG00000105699,0.00091181014,UP,0.0165001233646137,0.0186487909648053
LEPR,4556_LEPR_P1P2_ENSG00000116678,0.0010191438,DOWN,-0.0203194622066191,0.0303188292905441
HAGHL,3624_HAGHL_P1P2_ENSG00000103253,0.0010572537,UP,0.0112586904340615,0.0314004255818238
FGD6,3068_FGD6_P1P2_ENSG00000180263,0.0011556974,DOWN,-0.0119524994770686,0.0167274779734353
FGD6,3068_FGD6_P1P2_ENSG00000180263,0.0011556974,DOWN,-0.0116994608675333,0.0481530183192658
SLC40A1,8083_SLC40A1_P2_ENSG00000138449,0.0012202046,DOWN,-0.0132626406142714,0.0375355739135275
GLI2,3391_GLI2_ENST00000452319.1_ENSG00000074047,0.0012442206,DOWN,-0.0124495371822522,0.0373035320481167
CLK1,1658_CLK1_P1P2_ENSG00000013441,0.0013574248,DOWN,-0.0134405769169601,0.0151466788748567
CLK1,1658_CLK1_P1P2_ENSG00000013441,0.0013574248,DOWN,-0.0130470123205711,0.0371435461139647
ARFRP1,452_ARFRP1_P1P2_ENSG00000101246,0.0015526931,UP,0.0115032553509198,0.0247775541168489
PPIC,6623_PPIC_P1P2_ENSG00000168938,0.001837946,DOWN,-0.0106033006163451,0.0382837713516112
