gene,rescue_lfc,rescue_pval,h2o2_lfc,h2o2_pval
TRAJ6,3.21569368375529,0.453121104083887,0,1
USP17L7,3.2153241767902,0.421765070188466,-2.84499603591765,0.479767067832794
TLE6,-3.21012503807551,0.0002729881416324,0.133685855235658,0.857872702445051
OR10J3,-3.20951742249663,0.0946476486656897,0.349274661793859,0.83467159750743
PNMA8B,3.20814044409855,0.158103321657321,0,1
NETO1,-3.19771634526494,0.400717313950226,1.95694591765061,0.60705362519841
C8orf89,3.18317944212333,0.377191513633881,-1.83941146617664,0.614762439460128
CYP2B6,-3.18197917434607,0.417538987630521,3.86475352596291,0.324783857783275
NOTCH2NLB,-3.17627164799143,0.460789173922166,2.89726669862585,0.50108855458759
KCNJ18,-3.17627164798336,0.460789173922953,2.89725735717777,0.501089934814106
GJD2,-3.17577618687085,0.419122573030113,-0.490358984012778,0.897264193917347
TMPRSS12,3.17209680578493,0.0009551444944302,4.34679393070481,0.0040946033172938
NKAIN4,-3.17019926430026,5.76111119706151e-70,0.14784062879716,0.367242035150366
POTEJ,-3.16561020178341,0.360702476622404,1.92484812938012,0.57835916265222
CASP12,3.1654633294,0.460353342497015,0,1
HTR3E,3.1654633294,0.460353342497015,0,1
KIF19,3.1654633294,0.460353342497015,0,1
TMEM52B,3.1654633294,0.460353342497015,0,1
OR5B2,3.16260208600463,0.412241410593946,0,1
SLC26A9,3.15981963366495,0.461169966205574,0,1
LAIR1,3.1598196336458,0.461169966207817,0,1
SLCO4C1,3.15981490238874,0.444470524079823,0,1
C11orf21,-3.15701477477738,0.463594058617142,2.87801001244579,0.504016519159163
HTR4,-3.15174621393687,0.422928545019462,3.83452060278672,0.329574654810202
FOXS1,-3.14665412985877,2.89286808972988e-19,-0.679061912860054,0.0271324023638489
OR2F1,3.14379014934457,0.261636816808921,-0.944621731461521,0.748314625584583
TPTE,-3.12408036954951,0.453141391932372,1.88332571947489,0.651085256590216
TNFRSF13B,-3.12401455498866,0.46842289977596,2.84501011317447,0.509054928758318
MRC1,3.12027321770612,3.59037956931689e-07,5.93908980252718,7.47057418672234e-06
KRT4,3.11880267598703,0.45247495784958,2.83133033633451,0.511150956935036
RIMBP3,3.11365802711267,0.281672015400547,0,1
OR2AG2,3.11274684848315,0.323281176726231,-3.852759853832,0.219194010240749
HTR1F,3.11070818621897,0.463548899765824,-3.84453717308949,0.363657905107539
ADPRM,3.11066047328925,0.468317413944539,0,1
C11orf86,3.11066047328925,0.468317413944539,0,1
DYTN,3.11066047328925,0.468317413944539,0,1
GLT6D1,3.11066047328925,0.468317413944539,0,1
HMGCS2,3.11066047328925,0.468317413944539,0,1
MYH1,3.11066047328925,0.468317413944539,0,1
RPS4Y2,3.11066047328925,0.468317413944539,0,1
SLC17A2,3.11066047328925,0.468317413944539,0,1
UNCX,3.11066047328925,0.468317413944539,0,1
USH1C,3.11066047328925,0.468317413944539,0,1
XPNPEP2,3.11066047328925,0.468317413944539,0,1
BRINP3,3.11066047327002,0.468317413946804,0,1
DAOA,3.11066047326997,0.46831741394681,0,1
CASR,3.11065947605502,0.468317531411415,-0.958662981681668,0.827807571748642
AFM,-3.11039489135517,0.470423954469617,2.83139058182309,0.511141968763722
BGN,-3.11039489135517,0.470423954469617,2.83139058182309,0.511141968763722
CD7,-3.11039489135517,0.470423954469617,2.83139058182309,0.511141968763722
DEFB105A,-3.11039489135517,0.470423954469617,2.83139058182309,0.511141968763722
ERMN,-3.11039489135517,0.470423954469617,2.83139058182309,0.511141968763722
HOXB13,-3.11039489135517,0.470423954469617,2.83139058182309,0.511141968763722
OR4K2,-3.11039489135517,0.470423954469617,2.83139058182309,0.511141968763722
PROP1,-3.11039489135517,0.470423954469617,2.83139058182309,0.511141968763722
SCGB1C2,-3.11039489135517,0.470423954469617,2.83139058182309,0.511141968763722
WIF1,-3.11039489135517,0.470423954469617,2.83139058182309,0.511141968763722
ZP4,-3.11039489135517,0.470423954469617,2.83139058182309,0.511141968763722
TDRD1,-3.1103948913391,0.470423954471187,2.83137203598462,0.511144735984429
NUPR2,-3.1103940582438,0.470424035881434,1.86963976253831,0.664379961453611
EBF2,-3.11039239873784,0.470424185548443,-0.338375177747492,0.935716478152817
EXOC1L,3.10828458461907,0.42419264267926,0,1
CSNK1A1L,3.10774061980816,0.468743871828375,0,1
TMEM176B,-3.10603333153961,0.467940174786697,3.78879773352181,0.375936392674928
TSGA13,3.10595119379969,0.38722385075733,-1.84601944068952,0.61653288347113
OR4F15,3.10481569549021,0.469171286460767,0,1
PRLHR,3.10481569549021,0.469171286460767,0,1
S100Z,3.10481569549021,0.469171286460767,0,1
SLC22A8,3.10481569549021,0.469171286460767,0,1
SNCB,3.10481569549021,0.469171286460767,0,1
DEFB1,3.10457810505982,0.223911121830428,1.83850620444891,0.510418514922288
ESRP1,3.10285302636559,0.146219123635034,-0.885668214620376,0.69209471700941
AOC1,3.10188568682633,0.469599660827028,0,1
C11orf97,3.10188568682633,0.469599660827028,0,1
FAM162B,3.10188568682633,0.469599660827028,0,1
