perturbation_id,target_gene,age_UP_enrichment,age_DOWN_enrichment,mimetic_score,is_ARE_gene,is_age_UP,is_age_DOWN
10827_non-targeting_non-targeting_non-targeting,non-targeting,0.0747455777896037,-0.14719426348067105,0.22193984127027475,False,False,False
8047_SLC35D2_P1P2_ENSG00000130958,SLC35D2,0.06489949475128982,-0.15697211949310585,0.22187161424439567,False,False,False
6144_PCSK9_P1P2_ENSG00000169174,PCSK9,0.12705186658475298,-0.09454529150067167,0.22159715808542466,False,False,False
7908_SIGIRR_P2_ENSG00000185187,SIGIRR,0.05345691619528608,-0.16737437663676952,0.2208312928320556,False,False,False
3049_FDFT1_P2_ENSG00000079459,FDFT1,0.08865584118054366,-0.13213888939630705,0.22079473057685073,False,False,False
367_AP1B1_P1P2_ENSG00000100280,AP1B1,0.06453581430517515,-0.15615840525294053,0.2206942195581157,False,False,False
788_BCAT2_P1P2_ENSG00000105552,BCAT2,0.16397467797842988,-0.056715882539519154,0.22069056051794902,False,False,False
9278_TRIM44_P1P2_ENSG00000166326,TRIM44,0.12020974293751062,-0.10046381711689424,0.22067356005440486,False,False,False
7771_SENP1_P1P2_ENSG00000079387,SENP1,0.025176138453351357,-0.195442535998552,0.22061867445190336,False,False,False
6167_PDE4A_P1_ENSG00000065989,PDE4A,0.026801399656044545,-0.19373207545289844,0.220533475108943,False,False,False
7958_SLC12A4_P2_ENSG00000124067,SLC12A4,0.09183855875699368,-0.12855522545696704,0.22039378421396072,False,False,False
9222_TRA2B_P1P2_ENSG00000136527,TRA2B,0.0996977548382855,-0.1203317297073784,0.2200294845456639,False,False,False
10313_ZNF358_P2_ENSG00000198816,ZNF358,0.09983952857151665,-0.11968740088047193,0.2195269294519886,False,False,False
549_ARRDC2_P2_ENSG00000105643,ARRDC2,0.10132096134919287,-0.11812307676978692,0.21944403811897978,False,False,False
9802_WDHD1_P1P2_ENSG00000198554,WDHD1,0.14979114057995735,-0.0694895354688074,0.21928067604876475,False,False,False
4923_ME1_P1P2_ENSG00000065833,ME1,0.08586146035164,-0.1321721022224362,0.2180335625740762,True,False,True
2996_FBXL20_P1P2_ENSG00000108306,FBXL20,0.09917586312465201,-0.11831903244394917,0.2174948955686012,False,False,False
4481_KRTAP4-7_ENST00000391417.4_ENSG00000240871,KRTAP4-7,0.08070212927709777,-0.1365993719454578,0.21730150122255557,False,False,False
8636_SYVN1_P1P2_ENSG00000162298,SYVN1,0.06524468297133083,-0.1519669465954363,0.21721162956676715,False,False,False
4530_LCE1C_P1P2_ENSG00000197084,LCE1C,0.012632245100073713,-0.2044332480317249,0.21706549313179863,False,False,False
10272_ZNF292_P1P2_ENSG00000188994,ZNF292,0.0996915907629276,-0.11729275611655701,0.21698434687948462,False,False,False
9221_TRA2A_P1_ENSG00000164548,TRA2A,0.08898664655808307,-0.12798728613015772,0.21697393268824078,False,False,False
9648_USP30_P1P2_ENSG00000135093,USP30,0.02744657287683562,-0.18889628796848776,0.2163428608453234,False,False,False
9134_TNIK_P1P2_ENSG00000154310,TNIK,0.07710436395988425,-0.13899069542675985,0.21609505938664408,True,False,False
3882_HOOK1_P1P2_ENSG00000134709,HOOK1,0.11507301347261403,-0.10100518618280017,0.2160781996554142,False,False,False
3407_GLT8D1_P1P2_ENSG00000016864,GLT8D1,0.1023298150160985,-0.1126496030236957,0.2149794180397942,False,False,False
11189_non-targeting_non-targeting_non-targeting,non-targeting,0.13896702425152718,-0.0757401893463217,0.2147072135978489,False,False,False
4894_MCFD2_P1_ENSG00000180398,MCFD2,0.11119170068893819,-0.10246655053248464,0.21365825122142285,False,False,False
6917_PTMS_P1P2_ENSG00000159335,PTMS,0.024383027423971235,-0.1889162156641652,0.21329924308813641,False,False,False
7003_RAB11A_P1P2_ENSG00000103769,RAB11A,0.10853703890147953,-0.10469180988314071,0.21322884878462023,False,False,False
4005_IBA57_P1P2_ENSG00000181873,IBA57,-0.04782706070175944,-0.2610511527341628,0.21322409203240336,False,False,False
10465_ZNF575_P1P2_ENSG00000176472,ZNF575,0.034683197346982,-0.17799085650896665,0.21267405385594865,False,False,False
1939_CTNNBL1_P1P2_ENSG00000132792,CTNNBL1,0.16075703064161856,-0.050591437401295715,0.21134846804291427,False,False,False
5401_MYO6_P1P2_ENSG00000196586,MYO6,0.10629742485478462,-0.1046087778178176,0.21090620267260224,False,False,False
3769_HIST1H2BM_P1P2_ENSG00000273703,HIST1H2BM,-0.0008177673308114668,-0.2112319135403711,0.21041414620955964,False,False,False
9110_TMSB10_P1P2_ENSG00000034510,TMSB10,0.16939290021800274,-0.04064917789952134,0.21004207811752407,False,False,False
1206_CASP8AP2_P1P2_ENSG00000118412,CASP8AP2,0.17746578424503437,-0.03254358768269139,0.21000937192772576,False,False,False
9858_WHAMM_P1P2_ENSG00000156232,WHAMM,0.1253320895599056,-0.08408823319389479,0.2094203227538004,False,False,False
5056_MICALL1_P1P2_ENSG00000100139,MICALL1,0.18878713598566646,-0.020410942297696532,0.20919807828336298,False,False,False
8436_SRSF6_P1_ENSG00000124193,SRSF6,0.0898701640260453,-0.11927224055385709,0.20914240457990238,False,False,False
6783_PRODH_P1_ENSG00000100033,PRODH,0.14375034672923892,-0.0652382937242704,0.20898864045350932,False,False,False
10348_ZNF423_ENST00000262383.2_ENSG00000102935,ZNF423,0.03711389772977109,-0.17169868659879078,0.20881258432856187,False,False,False
6954_PUS10_P1P2_ENSG00000162927,PUS10,0.033499694878269815,-0.17479412199403166,0.20829381687230147,False,False,False
5769_NPL_P1P2_ENSG00000135838,NPL,0.06261467748530386,-0.14518156621724182,0.20779624370254568,False,False,False
195_AGPAT3_P1P2_ENSG00000160216,AGPAT3,0.019803119433069435,-0.1876342005755782,0.20743732000864762,False,False,False
10424_ZNF529_P1P2_ENSG00000186020,ZNF529,0.09926832425502016,-0.10792341786551128,0.20719174212053143,False,False,False
5876_NUDT8_P1P2_ENSG00000167799,NUDT8,0.10625016694370763,-0.10052692148653967,0.2067770884302473,False,False,False
8067_SLC38A7_P1P2_ENSG00000103042,SLC38A7,0.05359663523673131,-0.15261459670495545,0.20621123194168675,False,False,False
563_ASAP3_P1P2_ENSG00000088280,ASAP3,0.027417807191832202,-0.17854052878140475,0.20595833597323696,False,False,False
8565_STXBP5_P1P2_ENSG00000164506,STXBP5,0.13798899096141087,-0.06794513905379983,0.20593413001521071,False,False,False
4732_LYSMD2_P1P2_ENSG00000140280,LYSMD2,0.10396534967772156,-0.10168272783583558,0.20564807751355713,False,False,False
2970_FAR2_P1P2_ENSG00000064763,FAR2,0.10180792330246503,-0.10374524433845855,0.20555316764092357,False,False,False
8491_STARD7_P1P2_ENSG00000084090,STARD7,0.1415867562786244,-0.0633285562218417,0.20491531250046613,False,False,False
558_ARX_P2_ENSG00000004848,ARX,0.03169567549019812,-0.1730271996439584,0.20472287513415652,False,False,False
8048_SLC35E1_P1P2_ENSG00000127526,SLC35E1,0.053761010579608,-0.1506317909850425,0.2043928015646505,False,False,False
7694_SCIN_P1P2_ENSG00000006747,SCIN,0.04095206198594182,-0.16338219493604042,0.20433425692198223,False,False,False
5765_NPC2_P1P2_ENSG00000119655,NPC2,0.048496890223981966,-0.15552071899126002,0.20401760921524198,False,False,False
7138_RBAK_P1_ENSG00000146587,RBAK,0.0888715838180694,-0.11509572766811078,0.2039673114861802,False,False,False
11051_non-targeting_non-targeting_non-targeting,non-targeting,0.07843991362075733,-0.12471582275643202,0.20315573637718937,False,False,False
4735_LZIC_P1P2_ENSG00000162441,LZIC,0.09793688397771892,-0.10492762094865787,0.2028645049263768,False,False,False
10638_ZNF789_P1P2_ENSG00000198556,ZNF789,0.09319876471929833,-0.1092851437368083,0.20248390845610664,False,False,False
4268_KALRN_ENST00000360013.3_ENSG00000160145,KALRN,0.04636206545837086,-0.1555373254043246,0.20189939086269548,False,False,False
5073_MIF_P1P2_ENSG00000240972,MIF,0.029049232469883394,-0.17280135242628009,0.20185058489616348,False,False,False
5537_NDUFA4_P1P2_ENSG00000189043,NDUFA4,0.18699749944009647,-0.014386135637860547,0.201383635077957,False,False,False
"5407_MYRFL_ENST00000299350.4,ENST00000548892.1_ENSG00000166268",MYRFL,0.12923189456965511,-0.07157197966710781,0.20080387423676294,False,False,False
6179_PDIA4_P1P2_ENSG00000155660,PDIA4,0.05405483150500006,-0.14652668567547425,0.20058151718047432,False,False,False
1916_CSTF2T_P1P2_ENSG00000177613,CSTF2T,0.20304875167200542,0.0024760161879313677,0.20057273548407406,False,False,False
11275_non-targeting_non-targeting_non-targeting,non-targeting,0.014734194797109435,-0.18578424616018208,0.20051844095729152,False,False,False
1353_CCZ1B_ENST00000316731.8_ENSG00000146574,CCZ1B,0.048659210875072724,-0.15179756118217724,0.20045677205724996,False,False,False
10292_ZNF330_P1P2_ENSG00000109445,ZNF330,0.09857383843136606,-0.10146020190077014,0.2000340403321362,False,False,False
5866_NUDT16_P1P2_ENSG00000198585,NUDT16,0.06474539286734289,-0.1352675376176773,0.20001293048502017,False,False,False
9637_USP16_P1P2_ENSG00000156256,USP16,0.10935686092407704,-0.09065606956094314,0.20001293048502017,False,False,False
1787_COPZ1_P2_ENSG00000111481,COPZ1,0.044635097012272695,-0.15512216507770976,0.19975726208998246,False,False,False
