pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
REACTOME_BIOLOGICAL_OXIDATIONS,217,8,0.009369454149372073,2.837339125897738,"SMOX, POR, GSTT2B, UGT2A3, CYP4B1, BPNT1, ACSM5, UGT1A10",0.8249281806207307
ZWANG_EGF_PERSISTENTLY_DN,62,4,0.009658652309248441,5.099187744659217,"TNS2, RPE, IFITM10, MARCKS",0.8249281806207307
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP,33,3,0.009696627099425955,7.387917421254609,"CREBL2, RNGTT, NF2",0.8249281806207307
WP_FATTY_ACID_BETAOXIDATION,34,3,0.010530725024289627,7.14947312590293,"GPD2, ACSL3, SLC25A20",0.8249281806207307
GRESHOCK_CANCER_COPY_NUMBER_UP,322,10,0.012343575406517739,2.377697951471208,"CCND3, ATF1, PML, NTRK3, FCRL4, PSIP1, CLP1, NF2, NTRK1, NCKIPSD",0.8249281806207307
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,67,4,0.01259728970990948,4.6940817410455,"TNFRSF1B, ACSL3, PRKAB2, RXRB",0.8249281806207307
KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_4NQO_IN_WS,37,3,0.013276005628372466,6.518297046790525,"HNRNPC, CCN2, SLC30A5",0.8249281806207307
WEINMANN_ADAPTATION_TO_HYPOXIA_DN,37,3,0.013276005628372466,6.518297046790525,"IL1A, IER3, MARCKS",0.8249281806207307
STEIN_ESRRA_TARGETS_DN,105,5,0.013742523186351382,3.6989690244978215,"PRKD2, TUBD1, PDCL, TRIM8, MARCKS",0.8249281806207307
GRADE_COLON_VS_RECTAL_CANCER_UP,38,3,0.014273017395529587,6.331949822550502,"HNRNPC, IL1A, FOCAD",0.8249281806207307
HELLER_SILENCED_BY_METHYLATION_UP,282,9,0.014573926979576218,2.444129692895435,"TNFRSF1B, SMARCA1, RNF19B, IER3, PML, MAP3K6, CXCL13, PHLDA2, VCX",0.8249281806207307
LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT,107,5,0.014807492898074644,3.626313881818351,"VGLL1, CCN2, IL1RN, CYP4B1, C15orf48",0.8249281806207307
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,107,5,0.014807492898074644,3.626313881818351,"GSTT2B, UGT2A3, BPNT1, ACSM5, UGT1A10",0.8249281806207307
LANDIS_ERBB2_BREAST_TUMORS_65_DN,39,3,0.015311362839844897,6.155955221509739,"GPD2, UGT1A10, MARCKS",0.8249281806207307
BURTON_ADIPOGENESIS_2,71,4,0.015318649483295891,4.413530716811104,"CCND3, MAP3K6, SIDT2, NF2",0.8249281806207307
GAURNIER_PSMD4_TARGETS,71,4,0.015318649483295891,4.413530716811104,"CCL8, IL1A, CXCL13, CCL3",0.8249281806207307
MONNIER_POSTRADIATION_TUMOR_ESCAPE_DN,385,11,0.015793055095518385,2.18235293359833,"SEC62, METTL4, MIIP, CCN2, ACSL3, RRAS, MOSPD2, SPICE1, C15orf48, MXD3",0.8249281806207307
BOYLAN_MULTIPLE_MYELOMA_PCA3_DN,72,4,0.01605222561640635,4.348550148600384,"CCND3, HOXC4, IGKV2D-29, MARCKS",0.8249281806207307
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP,388,11,0.016625985579985066,2.1648730505188847,"CTPS2, CDC5L, TUBD1, RNGTT, PDCL, PML, PDSS1, LAMA2, HOXC4, RXRB",0.8249281806207307
BIOCARTA_ERYTH_PATHWAY,15,2,0.016771827017255214,11.35479299350321,"IL1A, CCL3",0.8249281806207307
REACTOME_ZINC_TRANSPORTERS,15,2,0.016771827017255214,11.35479299350321,"SLC39A6, SLC30A5",0.8249281806207307
GHO_ATF5_TARGETS_DN,16,2,0.01899951214754632,10.543553040202362,"CCND3, RRAS",0.8249281806207307
REACTOME_DEFECTIVE_GALNT3_CAUSES_HFTC,16,2,0.01899951214754632,10.543553040202362,"MUC17, MUCL1",0.8249281806207307
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN,115,5,0.019616335368518378,3.362113362674398,"REEP5, CREB3L4, FSIP1, DNALI1, MUCL1",0.8249281806207307
BIOCARTA_PML_PATHWAY,17,2,0.021343944345528606,9.840478404751527,"TNFRSF1B, PML",0.8249281806207307
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN,17,2,0.021343944345528606,9.840478404751527,"CCN2, IER3",0.8249281806207307
KYNG_ENVIRONMENTAL_STRESS_RESPONSE_DN,17,2,0.021343944345528606,9.840478404751527,"HNRNPC, SLC30A5",0.8249281806207307
LIU_VAV3_PROSTATE_CARCINOGENESIS_DN,17,2,0.021343944345528606,9.840478404751527,"HDAC7, CCN2",0.8249281806207307
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TNPS,17,2,0.021343944345528606,9.840478404751527,"MUC17, MUCL1",0.8249281806207307
REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY,17,2,0.021343944345528606,9.840478404751527,"CCND3, PML",0.8249281806207307
WP_MITOCHONDRIAL_LONG_CHAIN_FATTY_ACID_BETAOXIDATION,17,2,0.021343944345528606,9.840478404751527,"ACSL3, SLC25A20",0.8249281806207307
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,254,8,0.02208035220628106,2.409028269076093,"CCL8, HRG, IL1A, RRAS, CXCL13, NTRK1, AKT1S1, CCL3",0.8249281806207307
BURTON_ADIPOGENESIS_PEAK_AT_2HR,45,3,0.022417098418968776,5.2759822109198735,"TNFRSF1B, CCN2, IER3",0.8249281806207307
FAELT_B_CLL_WITH_VH3_21_UP,45,3,0.022417098418968776,5.2759822109198735,"ATOSB, YKT6, POR",0.8249281806207307
KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS,45,3,0.022417098418968776,5.2759822109198735,"TNFRSF1B, IL1A, CCL3",0.8249281806207307
SERVITJA_LIVER_HNF1A_TARGETS_DN,163,6,0.023095934918692267,2.828074766155128,"HRG, UGT2A3, FPGS, CXCL13, SLC25A45, SCARA5",0.8249281806207307
PID_A6B1_A6B4_INTEGRIN_PATHWAY,46,3,0.02374798877603219,5.1531952784959865,"IL1A, LAMA2, RXRB",0.8249281806207307
KOBAYASHI_EGFR_SIGNALING_6HR_DN,18,2,0.023801603562322384,9.225288091680994,"IER3, PHLDA2",0.8249281806207307
PIONTEK_PKD1_TARGETS_DN,18,2,0.023801603562322384,9.225288091680994,"CLDN11, SCARF2",0.8249281806207307
IWANAGA_CARCINOGENESIS_BY_KRAS_DN,122,5,0.02458005093587449,3.1605757868471254,"CYP4B1, PDSS1, C15orf48, FIBIN, ZNF780A",0.8249281806207307
ZHAN_MULTIPLE_MYELOMA_CD2_DN,47,3,0.025120788262259122,5.035989570110144,"TDO2, GJB2, MB21D2",0.8249281806207307
