logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,gene_symbol
0.023202046807799928,1.5192639340540286,3.4376679835016737,8.615557205084053e-4,0.27285419509227543,-6.883745960860413,ENSG00000004838,ZMYND10
-0.005542269978176692,4.858983922962987,-0.4796155698086942,0.6325656423780789,1,-12.404310225398932,ENSG00000004846,ABCB5
-0.012110238492105201,1.1587696612464427,-1.8290990259130038,0.0704150038678616,0.6612976088118665,-10.858655520263689,ENSG00000004848,ARX
0.008766228032345258,5.273168307199743,2.3598671032036607,0.020256327646420217,0.4649940781458999,-9.784314422222806,ENSG00000004864,SLC25A13
-0.0014317769520895915,4.872817253573778,-0.6735315176417297,0.5021890114532875,1,-12.291757747586038,ENSG00000004866,ST7
-0.007156531842104763,5.836512993837279,-1.8219977964875507,0.07149458594137328,0.6649943486838392,-10.871321759890831,ENSG00000004897,CDC27
-0.007227049167580473,1.550509771832681,-0.414297283917581,0.679558612685475,1,-12.433741396849767,ENSG00000004939,SLC4A1
2.590757976036334e-4,0.7312851847006575,0.05029657281056726,0.959988064325546,1,-12.51908185173631,ENSG00000004948,CALCR
0.0011380124066794905,4.550941733788618,0.44569374228692477,0.6567980836692343,1,-12.42012941612414,ENSG00000004961,HCCS
0.003379779676967699,5.748959111563035,1.0630959839371834,0.29034181760578276,0.9798764183915745,-11.952782289447466,ENSG00000004975,DVL2
4.2381322451603406e-4,0.18773932810391225,0.16310559837886532,0.8707699796096016,1,-12.506924418083768,ENSG00000005001,PRSS22
-0.0024774079093652377,7.373073629575041,-0.7720226314305945,0.4419522144268836,1,-12.220228510744814,ENSG00000005007,UPF1
-0.010868539320362266,4.4244698210926625,-1.5498830756527051,0.12438168205993452,0.7712809729155431,-11.321658701344525,ENSG00000005020,SKAP2
0.005478522028303246,6.790048363475142,1.3554993691739328,0.17836327743051733,0.8575027460009913,-11.600891657429734,ENSG00000005022,SLC25A5
-0.004189385986835368,4.168346299532745,-0.8333338745004818,0.4066757514218188,1,-12.170838943438001,ENSG00000005059,MCUB
8.167410627172581e-4,0.08424771837598038,0.5883417870325095,0.5576516226334234,1,-12.345833711389037,ENSG00000005073,HOXA11
0.00475648234090986,4.361062500855141,1.064953666122623,0.28950451324137133,0.9794202653474029,-11.950808295493283,ENSG00000005075,POLR2J
