logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,gene_symbol
-0.0018664375580373684,6.414835168324617,-0.40522855601743485,0.6862268590941509,1,-12.243853441825328,ENSG00000005812,FBXL3
-0.019988914768588214,4.309674361358694,-1.8883238189859617,0.06205476141451153,0.6461697096005249,-10.558189632555596,ENSG00000005844,ITGAL
0.0066229696638941075,5.160121152066774,0.9777885199927356,0.33067932140289313,1,-11.846086237268603,ENSG00000005882,PDK2
0.0058911687116074704,5.948976878034151,0.9941239122811342,0.32270521206860125,1,-11.829975557654599,ENSG00000005884,ITGA3
-0.0068121445748619645,5.254072838705441,-1.202244281971272,0.2322774678931163,0.9132296140515239,-11.601939249545364,ENSG00000005889,ZFX
0.007442567724765451,7.828243302804272,1.8391507050943319,0.06903803417614308,0.6694341186876022,-10.647517620199597,ENSG00000005893,LAMP2
-0.011357709619889411,1.8896801751403285,-1.2851476796864223,0.20188642012140387,0.8889345265401472,-11.49942231320575,ENSG00000005961,ITGA2B
-0.01034490568408943,0.3986628428474441,-2.0238277318679674,0.045815799264921575,0.5906051427164477,-10.300775178742324,ENSG00000005981,ASB4
0.0012511711111095785,6.159952656310312,0.44125106224286553,0.660040749494997,1,-12.228474949302969,ENSG00000006007,GDE1
-0.0010130226510585995,5.34241203719496,-0.1538667526189361,0.8780434213820139,1,-12.31479514024149,ENSG00000006015,REX1BD
-0.024704995347870944,3.8066227318466077,-2.239846165952564,0.027448811168396384,0.49453664670576203,-9.856814304121711,ENSG00000006016,CRLF1
-0.011164036135470347,4.529534739662521,-1.9252200919684073,0.05721352708443519,0.6299472575756405,-10.489729494282038,ENSG00000006025,OSBPL7
0.03657879629516354,7.840453778026903,3.8420893898261514,2.210424819581856e-4,0.087668154987252625,-5.396686856801659,ENSG00000006042,TMEM98
0.004605181113407749,0.5802042341645903,1.2098549409633086,0.22935703499096288,0.911421591483801,-11.592803968929672,ENSG00000006047,YBX2
8.305813967581912e-5,0.0012187669974870184,0.7386942396534093,0.4619262644258977,1,-12.051824655707943,ENSG00000006059,KRT33A
0.001666717752277022,4.498880864794374,0.3792574229240201,0.7053488990581778,1,-12.254131623161337,ENSG00000006062,MAP3K14
-0.007958311102237313,1.854706251251751,-0.6973437536649617,0.48730244578883597,1,-12.081666565565518,ENSG00000006071,ABCC8
0.0025337630972301394,1.4376861710905182,0.19191192089716586,0.8482236168696613,1,-12.308149955682378,ENSG00000006116,CACNG3
0.024985887958507768,6.3455263202209755,2.331050812191287,0.021880031857677302,0.4519880063763534,-9.657215285805803,ENSG00000006118,TMEM132A
