gene_symbol,pval_mac,logfc_mac,pval_nonmac,logfc_nonmac,meta_pval,avg_logfc,meta_fdr
MIR181B2,0.5056774776400859,0.00179391086265219,0.6126972743298251,0.00115624775050466,0.6728643100189022,0.001475079306578425,1
ENSG00000254878,0.505903673543691,0.00173888516397954,0.6124532520847581,0.00138951845593244,0.672882047296978,0.00156420180995599,1
ENSG00000268614,0.4263828319505448,0.0102375401753404,0.7266959965057886,-0.00602392606089938,0.6728918271235288,0.00210680705722051,1
MSANTD2-AS1,0.8182363053121654,0.02984604993520756,0.3786847116353791,0.12545820315607698,0.6728952042807457,0.07765212654564227,1
OR2H1,0.6791131460824523,0.00338494066077645,0.4562755647169259,0.00704164809119293,0.6729059305439079,0.00521329437598469,1
ENSG00000259941,0.5311036457912337,-0.00524171150147774,0.5834597318811845,0.00471316334809915,0.6729233364932433,-2.642740766892952e-4,1
ENSG00000270061,0.31560204354761656,0.04999323607481146,0.9819726413452236,9.87827167941799e-4,0.6729643181212264,0.025490531621376628,1
HHLA1,0.7516491579728011,-0.00240805977810393,0.4123307601999783,0.00332885831646695,0.6729824712179439,4.6039926918151e-4,1
IGHV1-58,0.610185170010159,0.06147678182269774,0.5079397903225757,0.10316197028914822,0.6729933167456885,0.08231937605592299,1
GK5,0.6762389299259836,-0.05875535120731994,0.4584601398390637,-0.09376922997901536,0.6731002121966304,-0.07626229059316765,1
PPIAP91,0.40826242729179407,0.01217924034829624,0.759405321508791,-0.00245463243949689,0.6731096574995349,0.004862303954399675,1
METRNL,0.3375504344659441,-0.16221493577344318,0.9185267229818628,-0.01671012480477321,0.6731242189173764,-0.0894625302891082,1
PGPEP1,0.47321253660205176,0.07416651240705391,0.6552342053386452,0.04091508362380741,0.6731428916257419,0.05754079801543066,1
ENSG00000244251,0.6531039914541519,0.00926944223263409,0.47479842500672775,0.01930419939036327,0.6731753335250491,0.01428682081149868,1
GHSR,0.3759535878518637,0.01085615272808191,0.8248550085917374,-0.0013585342359418,0.6731922564754312,0.004748809246070055,1
SIGLEC22P,0.8027661103648988,0.01011281488595562,0.38633885328105966,0.03925702415577174,0.6732303521653988,0.024684919520863678,1
NPRL2,0.824189932845022,0.02572436103692225,0.3762974345637408,0.10050437341706292,0.6732313107500696,0.06311436722699258,1
ENSG00000253503,0.4939083881711148,0.00224020739123782,0.6279634475991793,0.00137838535243231,0.6732498745012326,0.001809296371835065,1
GOLGA6L10,0.6584673606885596,0.01410420180551793,0.4710527994285443,0.0234449878202743,0.673269166085639,0.018774594812896117,1
ZNF304,0.958864397101118,0.00478362935494508,0.323481980473439,0.10915357010715432,0.6732720465110044,0.0569685997310497,1
ENSG00000259712,0.3657213000505992,0.05251909265808575,0.8481242860351559,-0.00644778425237035,0.6732741095010191,0.0230356542028577,1
ENSG00000255442,0.5615794141446173,0.00156941833139303,0.552354821268082,0.0017137563952399,0.6732904748474758,0.001641587363316465,1
ENSG00000266268,0.4450092121672661,-0.0038975713835445,0.6970696228244591,0.00566165510299439,0.6733037099481385,8.82041859724945e-4,1
IL5RA,0.443020740725823,0.1255358003318137,0.7002030735775147,0.06514776298377456,0.6733061453885555,0.09534178165779413,1
ENSG00000267490,0.354948868863157,0.00625586569573011,0.8739450102038704,0.00125798907993779,0.6733076770225098,0.00375692738783395,1
RPS2,0.6937389665805772,-0.05513548811637489,0.4472175469951841,0.10323306095259754,0.6733620395678762,0.024048786418111326,1
ENSG00000281608,0.5203402792672087,0.00332277772367152,0.5962515874123562,0.00189019355070048,0.673363770094578,0.002606485637186,1
TUBAP11,0.6021226315118887,0.01277613226963452,0.5152923900807177,0.01486906857154387,0.6733819014753111,0.013822600420589196,1
TAF15,0.5399602411175642,-0.03772663005020838,0.5746317433625254,-0.03673188108224748,0.673392533403534,-0.03722925556622793,1
CYTH3,0.8500306529520084,-0.02203806425710748,0.365049374950872,0.10638555188049456,0.6734216302137029,0.04217374381169354,1
ENSG00000243574,0.9571866032630996,-3.558404007562107e-4,0.3241933728697862,0.01653451780045058,0.6734337941252895,0.008089338699847185,1
GPC6-AS2,0.6764528927696425,0.0030603876622749,0.45876546004752394,0.00286529154842909,0.6734568098195678,0.002962839605351995,1
ENSG00000201635,0.7079330846547749,9.52498100243242e-4,0.4384260153132181,0.00355188099563883,0.6735071903788439,0.002252189547941036,1
GLOD5,0.8988901552033668,0.01102166290259194,0.3452919804680278,0.06028815786496916,0.6735110284475464,0.03565491038378055,1
LINC-ROR,0.3458605762456146,0.0048531801530404,0.897438258691526,-0.00101813906832402,0.6735215010720386,0.00191752054235819,1
KRIT1,0.64153126938541,0.03822809437773451,0.48382918855618384,0.08369681156537498,0.6735250578848194,0.06096245297155474,1
NR2C2,0.8335258801004285,-0.02981690967969104,0.3723992418809323,0.1534471305515061,0.6735400938343086,0.06181511043590753,1
ENSG00000255973,0.886302827158532,0.00199167969470312,0.3502299669727196,0.00863935780179446,0.6735464158688297,0.005315518748248789,1
CDCA4P1,0.46845949032827905,0.03803840102450442,0.6626381976410654,0.0137291030402953,0.6735573451107715,0.02588375203239986,1
ENSG00000253657,0.3525400783017908,0.02194593335641723,0.8806300520779797,-0.00339383341193989,0.673602071479914,0.00927604997223867,1
FANK1,0.7938222552119937,-0.03492674469104945,0.39112029417362915,0.09265381498860192,0.6736285136346793,0.028863535148776237,1
RBMX2P5,0.9417666530177028,2.458257523410244e-4,0.3296879297067743,0.00544017367709482,0.6736391620062133,0.002842999714717922,1
PLAUR,0.5987581518360829,-0.14010213047250775,0.5185604190138916,-0.15385082198616787,0.6736428813430293,-0.1469764762293378,1
ENSG00000257958,0.4235042578987397,0.00346820863068615,0.7331641485637133,-0.00224802806465985,0.6736497357665674,6.1009028301315e-4,1
ENSG00000207473,0.4358922121044316,0.00281598251718367,0.7124082754732373,6.762177017176824e-4,0.6736907630996023,0.0017461001094506762,1
MTND1P3,0.7455661137156272,0.00257275484461632,0.4165949824071069,0.00326084267572953,0.6737678038278857,0.002916798760172925,1
ENSG00000280296,0.3192756952178532,0.00386880995124239,0.9728828953950704,2.822777228537255e-4,0.6737897393294803,0.0020755438370480576,1
ENSG00000278864,0.8847703921218457,-0.02611624124569195,0.35109278545671674,0.12672393070210358,0.6738115309478581,0.050303844728205815,1
LLPHP2,0.6977678438265489,-0.00320779650624611,0.4451958376094556,0.00583401943593966,0.6738195256646716,0.0013131114648467753,1
MTND5P32,0.9755187379394266,-5.424602702701865e-4,0.31844219173045696,0.00873994585650017,0.6738230157872254,0.004098742793114992,1
CYP2J2,0.3661564656474487,-0.14037338648138548,0.8484440742224707,0.0329328339832067,0.6738428415495218,-0.053720276249089385,1
ENSG00000250573,0.4695786939417962,0.00187911247384599,0.6615799908701967,0.00114337873511725,0.6738435248959337,0.0015112456044816202,1
CAPN2,0.5583094158818314,-0.05074927477088051,0.556473361044314,-0.04055819052495425,0.6738674301245927,-0.045653732647917375,1
FAM174A-DT,0.33401227004462597,-0.02044230407946473,0.9301839360648424,0.00191801190059106,0.6738774024245591,-0.009262146089436835,1
IGKV1D-27,0.3672061526175949,-0.00618579217295137,0.846437419939253,0.00237149596226402,0.6740225383067379,-0.001907148105343675,1
ENSG00000261056,0.758900963413912,0.01700559599640394,0.4095658420795252,0.0337560032706268,0.6740259080763786,0.025380799633515368,1
CSGALNACT2P1,0.40957512932109863,-0.01432506023410751,0.7589132497806714,0.00419533439647217,0.6740400241592713,-0.005064862918817669,1
IL36RN,0.7281112511223478,0.00378037279144741,0.426903540221642,-0.0029605473591581,0.6740415179202001,4.09912716144655e-4,1
PCDHGB1,0.9407863664363396,0.00913308962746776,0.33040251161188205,0.1357265529720827,0.6740472523835903,0.07242982129977522,1
SLC2A9,0.5801462347182864,0.0961866175529338,0.5358413822112652,-0.09520589888359876,0.6740801812135966,4.903593346675186e-4,1
DPPA3P3,0.6951284426687458,0.00146144393654155,0.4472300887545245,-0.00344286117521435,0.6740988690180396,-9.907086193364002e-4,1
APC,0.8748252009360947,-0.02702549218040629,0.3553731857944057,-0.16291705769190637,0.6741071215817995,-0.09497127493615633,1
SNX21,0.7828080805765845,0.02994100384331098,0.3971647468433043,0.08498113899461958,0.6741238918468032,0.05746107141896528,1
ARSDP1,0.7115150499110947,0.00326585508161994,0.4370276851726243,0.00429614480525291,0.6741799676178649,0.0037809999434364255,1
HS2ST1,0.37592159238184497,-0.08980598466351351,0.8271764765071188,0.02476684739990965,0.6741819802808814,-0.03251956863180193,1
MEIS1-AS3,0.9324679262878108,-7.051069635758755e-4,0.3334740970371669,0.02900841090958204,0.674182449284077,0.014151651973003082,1
MIGA2,0.7599431648482677,0.03156023079105388,0.409254515715365,0.09043978078194664,0.6742481763071347,0.061000005786500264,1
LINC02235,0.8592195931803249,-0.00361191421190492,0.3619761161803783,0.01340725855262607,0.674256117435428,0.004897672170360575,1
IGKC,0.456455568951912,0.4302992926433804,0.6813847830059696,0.25317152312046887,0.6742618489236951,0.34173540788192464,1
MITD1,0.5958524827072833,-0.03803801789340443,0.5219914319416614,-0.05979354505319587,0.6742712058221114,-0.04891578147330015,1
PWWP2B,0.9500225774419604,-0.00728324841682581,0.327401265472269,0.11433536411419394,0.6742813701161378,0.05352605784868406,1
ENSG00000251288,0.8471213076357309,-0.00385741122942065,0.3671831509567658,-0.01520474991688424,0.6742931381407877,-0.009531080573152445,1
DEK,0.413620745858384,0.06331635487919282,0.7520393967022369,0.03152625607321101,0.6743053125742746,0.047421305476201915,1
DUX4L50,0.4927875522151294,-0.06608633938428889,0.6312446919459497,0.04155488774935441,0.6743174927485895,-0.012265725817467238,1
ENSG00000258181,0.3962535959074953,0.03199959586898268,0.7850291535290712,0.01111405583088579,0.6743187753737887,0.021556825849934236,1
PRDM15,0.6066556833330656,0.06614733474283095,0.5127684330781621,0.07407064106676135,0.6743225812192318,0.07010898790479615,1
CRIPTO3,0.4184621657431572,0.00299798707270681,0.7434186299152667,5.463002957017436e-4,0.6743444004926149,0.0017721436842042767,1
ENSG00000276980,0.6281544306899887,0.1278293370084715,0.4952495323856405,-0.19016809959762415,0.6743451222688289,-0.03116938129457633,1
ENSG00000271792,0.5176129858621641,0.00201173050278607,0.6010349296438335,0.00360682081939877,0.6743571449092235,0.00280927566109242,1
NCR2,0.7509339288441148,0.00501730287286127,0.414314345375106,-0.00895969551020519,0.6743795798630524,-0.0019711963186719605,1
LSINCT5,0.32276520994115576,0.07486549779440367,0.9641101089939942,8.600831395795188e-4,0.6744478801063168,0.03786279046699159,1
KEAP1,0.9195741691011876,0.00819830702878048,0.3384924226456839,0.07858550031875475,0.6745502312867396,0.043391903673767614,1
TRAJ11,0.6184369083678971,-0.00195441452948252,0.5033296828219807,0.00252228843906517,0.6745604603500128,2.8393695479132504e-4,1
ENSG00000253762,0.420138741627591,0.0034895287092604,0.7409007457954928,0.00219188125326704,0.6745644914784085,0.00284070498126372,1
LINC02453,0.7311244983007412,0.02101397884416713,0.42577915648029585,-0.05591163577553289,0.6745837068533322,-0.01744882846568288,1
MAIP1,0.889376540599424,0.01022250508329282,0.35002188697545467,0.06936901355077306,0.6745880046856152,0.03979575931703294,1
NR0B2,0.6713878985698387,0.01163985749368877,0.4637245698797229,0.02544186607605885,0.6746321258725294,0.01854086178487381,1
TAB1,0.8558871704830515,-0.0198029498845181,0.3638018480895676,0.10074947050026362,0.6746721125876348,0.04047326030787276,1
SAMD12-AS1,0.5002447700960555,0.02056816633983315,0.6224422045951685,-0.01082334584608438,0.674672256283657,0.004872410246874385,1
RNU2-68P,0.5116114696252027,0.0019090531629487,0.608641488568338,0.00139349266816364,0.6746891843890198,0.00165127291555617,1
SERPINB12,0.7893174757452499,0.0013932337949757,0.3945275588865388,-0.00394729314509719,0.674711970259583,-0.0012770296750607448,1
RPL36P12,0.9196208917994754,8.001121448522761e-4,0.3386534241391882,-0.00672454307472941,0.674741447084343,-0.0029622154649385666,1
MTND5P9,0.5342542480143166,-0.00267491673621854,0.5829363562871458,0.00224669739550309,0.6747454842791702,-2.1410967035772493e-4,1
COL18A1-AS1,0.7966285744643279,0.01471013751063195,0.3909645711059727,0.0353401190622451,0.6747656936189472,0.025025128286438526,1
PIK3R2,0.9224006805425666,-0.00294785776368645,0.33766884978644773,0.03093696374289995,0.6747801905733629,0.013994552989606751,1
CLEC10A,0.5422899647042306,0.16751398970494105,0.5743933979477679,0.15991801994326493,0.6748056171863419,0.16371600482410298,1
POT1,0.3681710176358856,-0.06116327931255286,0.846086987226313,-0.01583933122753033,0.6748253656584103,-0.03850130527004159,1
FERMT1,0.5456860173226514,0.1019414388347552,0.5708562674212363,0.11305435968204876,0.6748295363994193,0.10749789925840197,1
ARNT2,0.3448181671139441,-0.1664419809863648,0.9034144718030516,0.01879685036091066,0.6748358803421739,-0.07382256531272707,1
C2CD4A,0.38160981241283487,-0.3568295607102099,0.8163197053109376,-0.09153477885059172,0.6748380815183638,-0.2241821697804008,1
GAMT,0.9870202987654364,0.00282221645219344,0.315644054206972,0.17680634386898725,0.6748747941558132,0.08981428016059034,1
ENSG00000259413,0.5355739168935811,0.00349704933734246,0.5817497494275059,0.00180529122487836,0.674901503212189,0.0026511702811104097,1
RPS18P6,0.6919473074056287,7.251239973884716e-4,0.45031372268410264,0.00346120954357478,0.6749287617573403,0.002093166770481626,1
OR7E100P,0.6455342289509305,0.00334597633547799,0.4826974946733461,0.00272914762560978,0.6749338773801415,0.003037561980543885,1
USP8P1,0.5785734324240184,0.00843118787619011,0.5385836718470335,0.0087283837130604,0.6749483927561725,0.008579785794625254,1
ELAC2,0.40672495561802646,-0.05298308446030643,0.7661467035205123,-0.02046168584281873,0.6749493026079583,-0.03672238515156258,1
CARHSP1-DT,0.8710246290586854,-0.00814838425474071,0.3577593279801874,0.05481437266196574,0.674956534029776,0.023332994203612515,1
SHQ1,0.7258799353650348,0.02858088499568892,0.4293656359329415,-0.07678178603437653,0.6750156615349422,-0.024100450519343806,1
ENSG00000234457,0.560320994953738,-0.00334042465341837,0.5562398381927164,0.00177073274315044,0.6750214433770452,-7.84845955133965e-4,1
