gene_symbol,levene_pval_mac,var_ratio_mac,levene_pval_nonmac,var_ratio_nonmac,meta_pval,avg_var_ratio,meta_fdr
ENSG00000259871,0.05663607104023203,6.381659906214101,3.3302303859148716e-4,0.08312103500105404,2.240400383829422e-4,3.2323904706075774,0.10810696864060998
CCL8,0.02339682481042567,3.8799172121331784,8.571347722203627e-4,6.245452188048308,2.3698227157382514e-4,5.062684700090744,0.10810696864060998
MIR106AHG,0.4896383808400364,2.2716161928911323,4.096013224780146e-5,4.982251385632379,2.3699763964085555e-4,3.6269337892617557,0.10810696864060998
ENSG00000277911,0.05241638530311146,2.233713022837546,3.828986534292524e-4,5.079114760656768,2.3715459465223037e-4,3.656413891747157,0.10810696864060998
RN7SL481P,0.05793520732581189,0.22495539619368524,3.4966639644109745e-4,2.913263885221671,2.3918535932680398e-4,1.5691096407076781,0.10810696864060998
ENSG00000205300,0.00898711093705291,21.035864168283467,0.002329134008523,5.4711023942292005,2.4646021412809107e-4,13.253483281256333,0.10810696864060998
ENSG00000280295,0.4508499465371367,1.553291705628919,4.751174645988723e-5,0,2.517175788175298e-4,0.7766458528144595,0.10810696864060998
OR6M1,0.578699577821735,0,3.826747700244213e-5,Inf,2.594968648573246e-4,Inf,0.10810696864060998
RBM48P1,0.01028389042765496,Inf,0.00217174468799544,Inf,2.615175810396175e-4,Inf,0.10810696864060998
LINC01428,0.01028389042765496,Inf,0.00217174468799545,Inf,2.6151758103961845e-4,Inf,0.10810696864060998
ENSG00000234120,0.01028389042765496,Inf,0.00217174468799545,Inf,2.6151758103961845e-4,Inf,0.10810696864060998
KRT18P51,0.01028389042765495,Inf,0.00217174468799546,Inf,2.6151758103961926e-4,Inf,0.10810696864060998
ENSG00000283653,0.01028389042765496,Inf,0.00217174468799546,Inf,2.6151758103961975e-4,Inf,0.10810696864060998
ENSG00000233138,0.01028389042765495,Inf,0.00217174468799551,Inf,2.615175810396253e-4,Inf,0.10810696864060998
ENSG00000212325,0.01028389042765496,Inf,0.00217174468799553,Inf,2.615175810396274e-4,Inf,0.10810696864060998
HMGN2P34,0.01028389042765516,Inf,0.00217174468799551,Inf,2.6151758103962994e-4,Inf,0.10810696864060998
CYB5AP5,0.01028389042765503,Inf,0.00217174468799561,Inf,2.61517581039638e-4,Inf,0.10810696864060998
PTCHD3P3,0.6998712827459226,0.6805498915826638,3.2991367364790345e-5,4.905254978281468,2.695983117809895e-4,2.7929024349320657,0.11041548635830303
RNU6-1091P,0.02933988447482706,7.446981738818798,8.245902925714738e-4,16.777746708574384,2.8135529754963e-4,12.112364223696591,0.11417346349738747
RPRML,0.00964527848698542,8.231314850354368,0.00257972072770991,0.139799287888071,2.88666509956475e-4,4.185557069121219,0.1150325943458686
ENSG00000268105,0.7668544924931628,0.6087648310824194,3.256716310583266e-5,24.305267701918865,2.8964326021398753e-4,12.457016266500641,0.1150325943458686
ENSG00000278952,2.7075851380282396e-5,4.929940697376275,0.9280682437546726,1.0538797677282914,2.91274429524717e-4,2.991910232552283,0.1150325943458686
SRBD1,0.00453655492523001,4.357216837604882,0.00561857798240274,3.579610381920828,2.950927402132386e-4,3.968413609762855,0.11550922199214131
ZBED6,0.00345151642318235,0.2346968634714905,0.00759833864975543,0.26017458591250436,3.028755521853346e-4,0.24743572469199743,0.11740272531160242
ENSG00000224015,9.482983705279188e-4,12.193058793257098,0.02789195150227999,6.2223654107919035,3.0523859221455685e-4,9.207712102024502,0.11740272531160242
ENSG00000213226,6.664502068347094e-5,37.09219043850872,0.4296882687199882,0,3.281988874048187e-4,18.54609521925436,0.12463084084496047
ENSG00000279708,0.02402603227843858,15.016718727629272,0.00119773883419448,5.966436932278054,3.296664943674348e-4,10.491577829953663,0.12463084084496047
ADGRG7,0.01148071954986625,1954.4926699459345,0.00263391941600467,812.4409137742701,3.4492048586254667e-4,1383.4667918601024,0.12929256720908616
BLZF1,0.10909769803699422,2.0409625801360822,2.8349859174262574e-4,4.285750930532483,3.520905087838392e-4,3.1633567553342825,0.13087115449182166
SLC25A20,0.02314418892401461,2.7050756566289973,0.00136041475925526,3.1855860806682537,3.5786570529942354e-4,2.9453308686486253,0.1312569139122626
LY6S-AS1,0.01401657951768628,2.8234888789044783,0.00225456182376803,3.7377314591300546,3.5906327055940893e-4,3.280610169017266,0.1312569139122626
NTRK3,0.15833144503492108,2.675830852554978,2.0405825526301945e-4,4.127753866540022,3.663877115312382e-4,3.4017923595475,0.13242208473734424
BMP3,0.01453429596178156,2.267866552022612,0.00224402708998721,3.118847227527646,3.6955568387076463e-4,2.6933568897751288,0.13242208473734424
LUZP1,4.379712025458135e-4,0.13683161628323764,0.07483977947585889,0.34309858172249075,3.712321058833127e-4,0.2399650990028642,0.13242208473734424
MAP3K6,0.08329969287449505,1.781680409429485,4.016435121636876e-4,3.5756683453427796,3.7823747867791026e-4,2.678674377386132,0.13384160125505062
IGHV3OR16-17,0.00809894126325973,4425.840592841122,0.00423934602479437,205.53301691112793,3.8726824646671696e-4,2315.686804876125,0.1359495958548875
ENSG00000260066,0.05342468093972725,15.355295039461582,6.68608520932384e-4,7.634150457368677,4.0148766518691506e-4,11.49472274841513,0.13983151501218605
SUPT16HP1,0.2587010907071436,1.6829371738953645,1.4031645381118582e-4,0,4.074202500915613e-4,0.8414685869476822,0.14078916017226514
ENSG00000274414,0.02107561419502969,4.3320329712647965,0.00175945353878547,5.7177561916347335,4.1540216520686185e-4,5.0248945814497645,0.14159368538147826
PNLIP,0.02217565748449486,51.95070625031074,0.00168462845441369,11.508926375022387,4.1821883160334596e-4,31.729816312666564,0.14159368538147826
LRRC8D-DT,0.07142432275316488,2.8059481836377898,5.245957859086837e-4,3.618040516906825,4.193518896946476e-4,3.2119943502723074,0.14159368538147826
ENSG00000259366,0.00736216351753643,0.2836885642719225,0.00518556814108334,0.12467887333031363,4.265622141277563e-4,0.20418371880111807,0.14293712011590087
DSTNP3,0.00191035555120813,44.917480197887954,0.02077550439250864,21.347440294560105,4.4191059741933357e-4,33.13246024622403,0.14696683868460123
