ensembl_gene_id,gene_name,RPE1_baseline,K562_Ess_baseline,K562_GWPS_baseline
ENSG00000116984,MTR,0.48885992,1.0382886,0.8101768
ENSG00000117000,RLF,0.29227793,0.98250407,0.68556774
ENSG00000117010,ZNF684,,0.13606967,0.121300355
ENSG00000117054,ACADM,0.51764125,1.6231652,1.2649196
ENSG00000117118,SDHB,1.1272131,1.0543537,0.81615394
ENSG00000117133,RPF1,0.47208685,0.9108906,0.6041504
ENSG00000117139,KDM5B,0.9241107,1.4693364,1.3280551
ENSG00000117143,UAP1,1.6908714,0.7343729,0.5855268
ENSG00000117151,CTBS,0.2808292,0.19202356,0.19503362
ENSG00000117153,KLHL12,,0.23305506,0.18292771
ENSG00000117155,SSX2IP,0.6197257,0.8775501,0.69202286
ENSG00000117174,ZNHIT6,0.31316558,0.62260795,0.46986595
ENSG00000117222,RBBP5,0.20610163,0.56177783,0.38334176
ENSG00000117262,GPR89A,,0.16336478,0.115570106
ENSG00000117280,RAB29,0.25364357,0.45485005,0.33148617
ENSG00000117305,HMGCL,0.20411529,0.13945292,0.14647685
ENSG00000117308,GALE,0.7992981,0.33626083,0.26628104
ENSG00000117335,CD46,0.78394973,1.243656,1.1460717
ENSG00000117360,PRPF3,0.31053624,0.48872703,0.37533078
ENSG00000117362,APH1A,0.7894557,0.8824593,0.7503421
ENSG00000117385,P3H1,0.38795587,0.33133993,0.2613835
ENSG00000117394,SLC2A1,2.3587587,0.74961925,0.5000936
ENSG00000117395,EBNA1BP2,2.263146,3.8798583,2.6168177
ENSG00000117399,CDC20,1.5736097,1.2391645,0.943098
ENSG00000117408,IPO13,0.11823475,0.15277088,0.10303806
ENSG00000117410,ATP6V0B,3.2234576,7.1609654,4.7215886
ENSG00000117411,B4GALT2,0.5427108,0.39593565,0.33272058
ENSG00000117419,ERI3,1.0014858,1.0427247,0.8192189
ENSG00000117448,AKR1A1,0.8537664,1.4849722,1.2284442
ENSG00000117450,PRDX1,11.398341,27.170813,17.073328
ENSG00000117461,PIK3R3,0.23032542,0.14761883,0.10097797
ENSG00000117475,BLZF1,0.3320825,0.30138972,0.2574841
ENSG00000117481,NSUN4,0.11123361,0.45385745,0.34532574
ENSG00000117500,TMED5,0.88722014,0.9251134,0.6949385
ENSG00000117505,DR1,0.8364184,1.0122734,0.7356484
ENSG00000117523,PRRC2C,4.673986,7.387131,5.736259
ENSG00000117528,ABCD3,0.49092877,0.40009668,0.27856782
ENSG00000117533,VAMP4,0.15771389,0.17866033,0.15090506
ENSG00000117543,DPH5,0.38092545,0.5725286,0.4563712
ENSG00000117569,PTBP2,0.1587629,0.25473258,0.20807904
ENSG00000117592,PRDX6,4.601188,7.8727417,6.377422
ENSG00000117593,DARS2,0.22989857,0.38567775,0.28322825
ENSG00000117597,UTP25,0.24973276,0.41855767,0.3113319
ENSG00000117614,SYF2,0.7939333,0.73485696,0.7110044
ENSG00000117616,RSRP1,0.42624345,0.9726963,0.7161029
