perturbation,spearman_rho,pvalue,target_gene
8221_SNRNP48_P1P2_ENSG00000168566,0.20476894754065486,4.877906230599846e-28,SNRNP48
2925_FAM50A_P1P2_ENSG00000071859,0.20438026269223883,6.172560546385685e-28,FAM50A
4464_KPNB1_P1P2_ENSG00000108424,0.20340886413376463,1.1093114063434447e-27,KPNB1
4463_KPNA6_P1P2_ENSG00000025800,0.2029343421374608,1.4755243142976338e-27,KPNA6
2502_EFTUD2_P1P2_ENSG00000108883,0.20233454074535692,2.1140037971232335e-27,EFTUD2
7185_RBM8A_P1P2_ENSG00000265241,0.20196631995191242,2.634680775476937e-27,RBM8A
6858_PSMC2_P1P2_ENSG00000161057,0.20154232371324451,3.393156897903267e-27,PSMC2
4898_MCM2_P1P2_ENSG00000073111,0.20119222992622324,4.179676556108364e-27,MCM2
5491_NCAPH2_P1P2_ENSG00000025770,0.20074183636769466,5.4622691025803706e-27,NCAPH2
9478_UBA1_P1_ENSG00000130985,0.2006323995391753,5.828715178051498e-27,UBA1
1878_CRNKL1_P1P2_ENSG00000101343,0.20031891543098831,7.018766375551412e-27,CRNKL1
6868_PSMD14_P1P2_ENSG00000115233,0.20006008148951016,8.180518989038777e-27,PSMD14
7310_RINT1_P1P2_ENSG00000135249,0.19982576454023201,9.395523706872428e-27,RINT1
3667_HDAC7_P1P2_ENSG00000061273,0.19943190362560223,1.1853337196996745e-26,HDAC7
2858_FAM136A_P1P2_ENSG00000035141,0.19940056402785303,1.207429333329925e-26,FAM136A
4061_IGBP1_P1P2_ENSG00000089289,0.1993092907207233,1.2741326273456104e-26,IGBP1
2796_EXOSC9_P1P2_ENSG00000123737,0.19918908636326663,1.3675788683536874e-26,EXOSC9
5441_NACA_P1P2_ENSG00000196531,0.19804223624890305,2.680545275231842e-26,NACA
5908_NUTF2_P1P2_ENSG00000102898,0.19800675880752372,2.7367542479597715e-26,NUTF2
5489_NCAPG2_P1P2_ENSG00000146918,0.19757404515335342,3.523900793660432e-26,NCAPG2
1779_COPS3_P1P2_ENSG00000141030,0.19745858480674955,3.769424268810154e-26,COPS3
3818_HMBOX1_P1P2_ENSG00000147421,0.19716116520472884,4.48271525025324e-26,HMBOX1
5702_NLE1_P1P2_ENSG00000073536,0.1969755361656561,4.99408572796184e-26,NLE1
4206_ISCU_P1P2_ENSG00000136003,0.19543719714208918,1.217419407698734e-25,ISCU
6853_PSMB5_P1P2_ENSG00000100804,0.19436720827922965,2.2527195038862457e-25,PSMB5
4401_KIN_P1P2_ENSG00000151657,0.1934739058767611,3.7553350770857674e-25,KIN
2929_CCNQ_P1P2_ENSG00000262919,0.19290750924254546,5.185720592429236e-25,CCNQ
6876_PSMD8_P1P2_ENSG00000099341,0.1928500732860471,5.357940667198702e-25,PSMD8
9810_WDR24_P1P2_ENSG00000127580,0.19284540128442101,5.372196120528772e-25,WDR24
6843_PSMA3_P1P2_ENSG00000100567,0.1923009384457391,7.318608164064777e-25,PSMA3
5263_MRPS34_P1P2_ENSG00000074071,0.19192525609920297,9.054111331247773e-25,MRPS34
6559_POLR3E_P1P2_ENSG00000058600,0.1911923526373089,1.3695843725967802e-24,POLR3E
7484_RPLP2_P1P2_ENSG00000177600,0.1911090917001176,1.435365003144726e-24,RPLP2
4161_IPO13_P1P2_ENSG00000117408,0.19076744822257152,1.7396532464545155e-24,IPO13
6844_PSMA4_P1P2_ENSG00000041357,0.1907424244788724,1.7643002013663723e-24,PSMA4
5748_NOP2_P1P2_ENSG00000111641,0.1904804189071209,2.0440562711228466e-24,NOP2
8226_SNRPB_P1P2_ENSG00000125835,0.1904763100821343,2.0487761990383725e-24,SNRPB
2422_DYNC1I2_P1P2_ENSG00000077380,0.19039967291904508,2.1388157912736537e-24,DYNC1I2
6556_POLR3B_P1P2_ENSG00000013503,0.19027890860924254,2.2887127337175442e-24,POLR3B
5738_NOL9_P1P2_ENSG00000162408,0.1902483003887896,2.3283284502522158e-24,NOL9
3988_HSPH1_P1P2_ENSG00000120694,0.1901562081110505,2.4516622920975323e-24,HSPH1
4226_ITGB1BP1_P1P2_ENSG00000119185,0.18997481686871376,2.7138134997303685e-24,ITGB1BP1
6861_PSMC4_P1P2_ENSG00000013275,0.1899485856270099,2.7539527160785626e-24,PSMC4
7433_RPL11_P1P2_ENSG00000142676,0.18969159598154978,3.179641924059112e-24,RPL11
6947_PUF60_P1P2_ENSG00000179950,0.18963935008868196,3.2738412349263367e-24,PUF60
7649_SAP30BP_P1P2_ENSG00000161526,0.18946551119156652,3.607609426627191e-24,SAP30BP
2521_EHMT2_P1P2_ENSG00000204371,0.1893778668270387,3.78844339765523e-24,EHMT2
7173_RBM39_P1P2_ENSG00000131051,0.1893242333876218,3.903499837778659e-24,RBM39
8888_THOC2_P1P2_ENSG00000125676,0.18917993925688537,4.230502129777676e-24,THOC2
3471_GOLT1B_P1P2_ENSG00000111711,0.18897036553775112,4.754290034639693e-24,GOLT1B
8230_SNRPD3_P1P2_ENSG00000100028,0.1888975002609528,4.951048185865923e-24,SNRPD3
6866_PSMD12_P1P2_ENSG00000197170,0.18802527560403054,8.034467431247684e-24,PSMD12
815_BDP1_P1P2_ENSG00000145734,0.18761923384504162,1.0057458970006967e-23,BDP1
8229_SNRPD2_P1P2_ENSG00000125743,0.18699041380929754,1.4226313208265494e-23,SNRPD2
2162_DERL2_P1P2_ENSG00000072849,0.18657336001242938,1.7893042920194511e-23,DERL2
7421_RPAIN_P1P2_ENSG00000129197,0.18619979119043845,2.196307557468172e-23,RPAIN
9747_VPS28_P1P2_ENSG00000160948,0.18604489880618588,2.390802889398333e-23,VPS28
7388_RNF31_P1P2_ENSG00000092098,0.18570508995177656,2.87922123896824e-23,RNF31
8205_SNAPC1_P1P2_ENSG00000023608,0.18564647659068165,2.972929503931977e-23,SNAPC1
10736_ZW10_P1P2_ENSG00000086827,0.18563093280795398,2.9982824398386773e-23,ZW10
697_ATRIP_P1P2_ENSG00000164053,0.1854798343426662,3.2561571779573344e-23,ATRIP
821_BET1_P1P2_ENSG00000105829,0.18542460111617307,3.355800972185253e-23,BET1
1415_CDCA5_P1P2_ENSG00000146670,0.18532512735530354,3.54292652459114e-23,CDCA5
6474_PMF1_P1P2_ENSG00000160783,0.18527641794980657,3.638286176287921e-23,PMF1
6238_PFDN2_P1P2_ENSG00000143256,0.18511393342856602,3.975128913533412e-23,PFDN2
9896_XPO1_P1P2_ENSG00000082898,0.18511106434452168,3.981345891163354e-23,XPO1
9744_VPS25_P1P2_ENSG00000131475,0.1849229058470116,4.410779605562143e-23,VPS25
4148_INTS3_P1P2_ENSG00000143624,0.184368654589924,5.960437816014871e-23,INTS3
7057_RAC3_P1P2_ENSG00000169750,0.18408000130519409,6.969730067450135e-23,RAC3
6516_POLD2_P1P2_ENSG00000106628,0.18403112262427584,7.156637793000055e-23,POLD2
8266_SOD1_P1P2_ENSG00000142168,0.18401611998551384,7.214995045313342e-23,SOD1
7445_RPL21_P1P2_ENSG00000122026,0.18296741898467586,1.2706597604078869e-22,RPL21
4691_LSM2_P1P2_ENSG00000204392,0.18236080949634467,1.7600818469123543e-22,LSM2
