perturbation,spearman_rho,pvalue,target_gene
7295_RHOQ_P1P2_ENSG00000119729,0.06833144576532242,3.4196704326447245e-05,RHOQ
7524_RPS3_P2_ENSG00000149273,0.06744046561613322,4.3249052430485726e-05,RPS3
4535_LCN10_P1P2_ENSG00000187922,0.06700791340639305,4.8422796318655146e-05,LCN10
5229_MRPL46_P1P2_ENSG00000259494,0.06692960275359006,4.94200740779192e-05,MRPL46
4795_MANF_P1P2_ENSG00000145050,0.06688247044291977,5.002964786238121e-05,MANF
11153_non-targeting_non-targeting_non-targeting,0.06683354774786102,5.066990828898537e-05,non-targeting
6878_PSME1_P1P2_ENSG00000092010,0.06624189509703426,5.9053700939696685e-05,PSME1
5221_MRPL39_P1P2_ENSG00000154719,0.06591023670894103,6.43112498055819e-05,MRPL39
348_ANKS6_P1P2_ENSG00000165138,0.0658955586160466,6.455387164938817e-05,ANKS6
8108_SLC7A5_P1P2_ENSG00000103257,0.065546356718764,7.05879322873133e-05,SLC7A5
10908_non-targeting_non-targeting_non-targeting,0.06529112886219267,7.533143122739337e-05,non-targeting
11048_non-targeting_non-targeting_non-targeting,0.06497281300017964,8.167016510072081e-05,non-targeting
4144_INTS10_P1P2_ENSG00000104613,0.06392721985815954,0.00010622355171672808,INTS10
1791_COQ2_P1P2_ENSG00000173085,0.06337085217074882,0.00012197773568140116,COQ2
6851_PSMB3_P1P2_ENSG00000277791,0.06332587407167527,0.00012334319551744475,PSMB3
6857_PSMC1_P1P2_ENSG00000100764,0.0630530059185228,0.00013194073349348393,PSMC1
10780_non-targeting_non-targeting_non-targeting,0.06281129693675681,0.00014002500847796846,non-targeting
7357_RNF14_P1P2_ENSG00000013561,0.062276593456622044,0.00015959560281963262,RNF14
11002_non-targeting_non-targeting_non-targeting,0.06221776125793741,0.00016189947692709102,non-targeting
9910_XRN1_P1P2_ENSG00000114127,0.06218664429285976,0.0001631306322239886,XRN1
9365_TSR1_P2_ENSG00000167721,0.06186907796063638,0.00017620891007933447,TSR1
4487_KXD1_P1P2_ENSG00000105700,0.061305981762867404,0.00020185333287173635,KXD1
6876_PSMD8_P1P2_ENSG00000099341,0.06122845386729883,0.00020564695131541398,PSMD8
8717_TBC1D28_ENST00000345096.4_ENSG00000189375,0.061148868778019325,0.0002096107940284625,TBC1D28
6112_PCBP2_P2_ENSG00000197111,0.0608208187867713,0.00022671932545194646,PCBP2
5993_OTOP1_P1P2_ENSG00000163982,0.06056207325267786,0.00024112863050006976,OTOP1
6863_PSMC6_P1P2_ENSG00000100519,0.060486285760938584,0.00024550910192947824,PSMC6
10756_non-targeting_non-targeting_non-targeting,0.060396631798773553,0.00025078737439404526,non-targeting
10963_non-targeting_non-targeting_non-targeting,0.06038921319100843,0.00025122886887774627,non-targeting
5146_MON1A_P1P2_ENSG00000164077,0.06015813728830316,0.0002653510277651717,MON1A
"10585_ZNF718_ENST00000510175.1,ENST00000511079.1,ENST00000513304.1,ENST00000513889.1_ENSG00000250312",0.059778073240118926,0.00029020753564269275,ZNF718
5763_NPB_P1P2_ENSG00000183979,0.05966241642829441,0.00029819400884707373,NPB
9677_USP9X_P1P2_ENSG00000124486,0.0592903079018637,0.0003253073924849862,USP9X
2005_CYP2A13_P1P2_ENSG00000197838,0.05866507334454693,0.00037611804189662223,CYP2A13
