perturbation,spearman_rho,pvalue,target_gene
8717_TBC1D28_ENST00000345096.4_ENSG00000189375,0.07598659001346003,4.6315814662822654e-05,TBC1D28
1701_CMTR1_P1P2_ENSG00000137200,0.0749796000590697,5.836041119716617e-05,CMTR1
2987_FBLIM1_P1P2_ENSG00000162458,0.07490576096058,5.935144475021888e-05,FBLIM1
348_ANKS6_P1P2_ENSG00000165138,0.074363226523625,6.713692467148711e-05,ANKS6
3616_H2AFZ_P1P2_ENSG00000164032,0.07432994440646072,6.764469074670386e-05,H2AFZ
4487_KXD1_P1P2_ENSG00000105700,0.07432839547873092,6.766841006866842e-05,KXD1
8208_SNAPC4_P1P2_ENSG00000165684,0.07427603765203113,6.84748279172511e-05,SNAPC4
3878_HNRNPU_P1P2_ENSG00000153187,0.07406965740221826,7.174288277750271e-05,HNRNPU
11068_non-targeting_non-targeting_non-targeting,0.07370692548788846,7.784697956129831e-05,non-targeting
7295_RHOQ_P1P2_ENSG00000119729,0.07361741578691383,7.942704140657603e-05,RHOQ
2005_CYP2A13_P1P2_ENSG00000197838,0.0734945880976343,8.164461985771868e-05,CYP2A13
1629_CKAP5_P2_ENSG00000175216,0.07340341093734758,8.33284540417531e-05,CKAP5
11322_non-targeting_non-targeting_non-targeting,0.07292456285458361,9.272362409487201e-05,non-targeting
11227_non-targeting_non-targeting_non-targeting,0.07258032701946017,0.00010008611462941485,non-targeting
1659_CLK2_P1P2_ENSG00000176444,0.07242452371096711,0.00010359670980658356,CLK2
1894_CSH2_P1_ENSG00000213218,0.0723823435348479,0.00010456691581189826,CSH2
9430_TUFM_P1P2_ENSG00000178952,0.07224519222487973,0.00010778117188073143,TUFM
1238_CCAR1_P1P2_ENSG00000060339,0.07215982544193882,0.00010982862039151143,CCAR1
9365_TSR1_P2_ENSG00000167721,0.07185947487513501,0.00011732756122456408,TSR1
"10585_ZNF718_ENST00000510175.1,ENST00000511079.1,ENST00000513304.1,ENST00000513889.1_ENSG00000250312",0.07168814413841462,0.00012181874671275922,ZNF718
1791_COQ2_P1P2_ENSG00000173085,0.0714583153100925,0.0001280981833126335,COQ2
11209_non-targeting_non-targeting_non-targeting,0.07105533721741976,0.00013985052130709725,non-targeting
3766_HIST1H2BJ_P1P2_ENSG00000124635,0.07103284495553841,0.00014053551052891353,HIST1H2BJ
5452_NAGLU_P1P2_ENSG00000108784,0.07000853879348022,0.00017529865850567783,NAGLU
5237_MRPL53_P1P2_ENSG00000204822,0.06988575435128248,0.00017997028976346417,MRPL53
452_ARFRP1_P1P2_ENSG00000101246,0.06891496733021216,0.00022124517009651116,ARFRP1
10963_non-targeting_non-targeting_non-targeting,0.06840341474481033,0.000246418155732295,non-targeting
5255_MRPS25_P1P2_ENSG00000131368,0.06832582185875165,0.0002504631695113883,MRPS25
6771_PRKRIP1_P1_ENSG00000128563,0.06815200876823113,0.00025975123627944145,PRKRIP1
5000_METTL23_P1P2_ENSG00000181038,0.06813543244378743,0.00026065368740098803,METTL23
9255_TREML2_P1P2_ENSG00000112195,0.06812256286363504,0.0002613563605194187,TREML2
8245_SNX15_P2_ENSG00000110025,0.06802933751577495,0.0002664996726674095,SNX15
7210_RCOR1_P1P2_ENSG00000089902,0.06747594683226874,0.0002990358849706392,RCOR1
4473_KRT10_P2_ENSG00000186395,0.06690986385191293,0.000336139034652839,KRT10
"10531_ZNF658_ENST00000377626.3,ENST00000602553.1_ENSG00000274349",0.0669050395397325,0.00033647298363546186,ZNF658
1107_C6orf15_P1P2_ENSG00000204542,0.06685732239207341,0.00033979281676964633,C6orf15
10876_non-targeting_non-targeting_non-targeting,0.06662506360389404,0.00035639369212007023,non-targeting
10952_non-targeting_non-targeting_non-targeting,0.06647984946733902,0.00036715494596321565,non-targeting
6604_PPA2_P1P2_ENSG00000138777,0.06633225828198422,0.00037840291909872986,PPA2
6128_PCID2_P2_ENSG00000126226,0.06570767516687497,0.0004296609508267738,PCID2
1219_CBFA2T3_P2_ENSG00000129993,0.06551839212886058,0.0004464307771779904,CBFA2T3
11165_non-targeting_non-targeting_non-targeting,0.06530928281590474,0.0004656659720234712,non-targeting
5602_NEMF_P1P2_ENSG00000165525,0.06502067459646212,0.0004934855582910252,NEMF
5911_NXF1_P2_ENSG00000162231,0.06460496274094531,0.0005362884191418548,NXF1
6158_PDCD6IP_P1P2_ENSG00000170248,0.06291737164348868,0.0007480611033906966,PDCD6IP
9677_USP9X_P1P2_ENSG00000124486,0.06261304015438161,0.0007936756192626057,USP9X
1004_C17orf58_P1P2_ENSG00000186665,0.06242989738126919,0.000822355687298801,C17orf58
10266_ZNF284_ENST00000421176.3_ENSG00000186026,0.06227406202599552,0.0008475130677222325,ZNF284
2107_DDX19B_P1_ENSG00000157349,0.062212544415509004,0.0008576391592853515,DDX19B
5953_OR2T5_ENST00000366473.2_ENSG00000203661,0.06190960568966111,0.0009091602712432867,OR2T5
4998_METTL21A_P1P2_ENSG00000144401,0.06185956184399346,0.00091794222781149,METTL21A
7830_SF3A1_P1_ENSG00000099995,0.061834750005610346,0.0009223254118501109,SF3A1
4795_MANF_P1P2_ENSG00000145050,0.06162356833417461,0.0009604243559228002,MANF
6648_PPP1CA_P1_ENSG00000172531,0.06157563957602765,0.0009692715535226782,PPP1CA
8891_THOC6_P1P2_ENSG00000131652,0.06122030945066218,0.0010372524411535742,THOC6
10787_non-targeting_non-targeting_non-targeting,0.05986265700801471,0.001339655686656967,non-targeting
8108_SLC7A5_P1P2_ENSG00000103257,0.05951041582861262,0.0014304255460404574,SLC7A5
10908_non-targeting_non-targeting_non-targeting,0.05912136333381543,0.0015372450151811194,non-targeting
5484_NBPF3_P1P2_ENSG00000142794,0.05767723824153094,0.0020011868034702776,NBPF3
8595_SUPT20H_P1P2_ENSG00000102710,0.05762164623338416,0.0020213807352664867,SUPT20H
430_AQP7_P1P2_ENSG00000165269,0.05761615249956416,0.0020233864611787517,AQP7
10023_ZC3H18_P1P2_ENSG00000158545,0.05751784060681826,0.0020595894761018794,ZC3H18
8857_TFRC_P1P2_ENSG00000072274,0.05729285389444357,0.0021446856793634135,TFRC
1198_CASC3_P1P2_ENSG00000108349,0.0567141185398929,0.0023785926591021055,CASC3
11096_non-targeting_non-targeting_non-targeting,0.056693336965681615,0.002387410516887354,non-targeting
454_ARGFX_P1P2_ENSG00000186103,0.05652230533224698,0.002461125137979417,ARGFX
6649_PPP1CA_P2_ENSG00000172531,0.05637499849004981,0.002526276582021962,PPP1CA
801_BCL2L1_P1_ENSG00000171552,0.056119560214582524,0.002643001564838653,BCL2L1
10397_ZNF492_P1P2_ENSG00000229676,0.05607937711244271,0.002661805758486056,ZNF492
2_AAAS_P1P2_ENSG00000094914,0.05578028298291069,0.0028056564203804237,AAAS
2189_DHODH_P1_ENSG00000102967,0.05561493024247295,0.002888195824876829,DHODH
579_ASF1B_P1P2_ENSG00000105011,0.05402740547183121,0.0038010094421068027,ASF1B
7623_S100A1_P2_ENSG00000160678,0.053817765097939424,0.003939399592825014,S100A1
5248_MRPS18A_P1P2_ENSG00000096080,0.05335726659481327,0.004259576283265608,MRPS18A
7524_RPS3_P2_ENSG00000149273,0.05319872964506571,0.004375147894931586,RPS3
4144_INTS10_P1P2_ENSG00000104613,0.052914816024643894,0.004589238918661193,INTS10
