gene_symbol,gene_id,levene_pval,var_ratio,is_bimodal,bic_diff
ENSG00000259647,ENSG00000259647,3.4262226660735894e-5,13.722002794625745,TRUE,61.18701143004873
OR6M1,ENSG00000196099,3.826747700244213e-5,Inf,TRUE,23.997711985385067
TNFSF12-TNFSF13,ENSG00000248871,3.846495382418768e-5,5.229109868089858,FALSE,9.225452920613883
YKT6,ENSG00000106636,3.9832366590155185e-5,3.7510883551414658,FALSE,4.046982961185526
MIR106AHG,ENSG00000283638,4.096013224780146e-5,4.982251385632379,FALSE,6.11432943431268
TCP1P1,ENSG00000229161,4.303432177117087e-5,3.616622184873024,FALSE,1.7123828086750663
ENSG00000280295,ENSG00000280295,4.751174645988723e-5,0,TRUE,13.64427925295611
RNU6-862P,ENSG00000199674,4.814085673076145e-5,Inf,TRUE,30.754660805331227
RNF19B,ENSG00000116514,5.155100588534143e-5,5.433973634061947,FALSE,6.093962458923471
METTL9,ENSG00000197006,5.357071493545845e-5,3.244859334162236,FALSE,3.9119694491203187
ENSG00000230647,ENSG00000230647,5.576889413367201e-5,47.834510436634694,TRUE,29.040738408397843
ENSG00000224739,ENSG00000224739,6.048148656472283e-5,5.417927543095522,FALSE,9.3296764860807
ENSG00000262408,ENSG00000262408,8.080807251803844e-5,48.406152018623345,TRUE,24.17026511011865
MARCKS,ENSG00000277443,8.519849137666433e-5,4.282222369137902,FALSE,-2.6201283249787224
NRXN1-DT,ENSG00000231918,8.542476301745953e-5,21.318892785714752,TRUE,20.060407104286
ENSG00000252744,ENSG00000252744,9.218757771150188e-5,48.63864339727337,TRUE,56.99362445009744
SNX25P1,ENSG00000236809,9.461679365769312e-5,4.289777503819421,FALSE,2.7767861533239646
ENSG00000206886,ENSG00000206886,9.62776284638742e-5,15.15378538178408,TRUE,23.977566359782102
ENSG00000225280,ENSG00000225280,1.010632408691887e-4,44.32247794481433,TRUE,61.29361806928861
ENSG00000266513,ENSG00000266513,1.0213995412026446e-4,39.42739228752168,TRUE,93.04815463239284
DNALI1,ENSG00000163879,1.0439668415171792e-4,4.308775289987141,FALSE,-0.8288472575817849
TAF11L11,ENSG00000283740,1.0611876115575944e-4,63.60680085815907,TRUE,35.44980825712686
ZNF475,ENSG00000250803,1.0790977039815574e-4,4.117912702610821,FALSE,6.81829916850387
ENSG00000228064,ENSG00000228064,1.1998259814232956e-4,62.76375990333779,TRUE,32.73523628795475
EIF3CL,ENSG00000205609,1.2051045732455318e-4,17.251195646048203,TRUE,29.988116942653104
OR5D18,ENSG00000186119,1.2407490351583868e-4,38.74312868304531,TRUE,63.37828596867169
PCOLCE-AS1,ENSG00000224729,1.2514488906339958e-4,5.007394238379257,FALSE,-5.62623638223193
RPL21P5,ENSG00000258640,1.331236522223173e-4,0.12965371904615733,FALSE,5.168201750100053
ENSG00000254910,ENSG00000254910,1.3359029116329565e-4,7.007179742196425,FALSE,1.6823484960564645
RNU6-479P,ENSG00000252157,1.370054310625597e-4,32.91864926928464,TRUE,98.85609328597864
YIPF4,ENSG00000119820,1.3976430069258898e-4,4.770269190557582,TRUE,10.158525737597145
SUPT16HP1,ENSG00000256238,1.4031645381118582e-4,0,FALSE,1.921629574571952
RN7SL612P,ENSG00000266160,1.5841265816942017e-4,10.06895690505488,TRUE,23.24640823161279
CORO6,ENSG00000167549,1.607829937152722e-4,4.242861558710289,FALSE,-5.3548347262560725
METTL4,ENSG00000101574,1.784734682400873e-4,4.661690914608197,FALSE,2.259368877943878
MUC17,ENSG00000169876,1.7958266718110102e-4,28.4842244573019,TRUE,155.8461202504689
CD80,ENSG00000121594,1.8078203604567048e-4,6.710576721208155,TRUE,14.601512843094888
MOXD2P,ENSG00000240268,1.823343796316408e-4,30.009425613724325,TRUE,32.09392402824231
ENSG00000279437,ENSG00000279437,2.0362533912044633e-4,27.7137344482295,TRUE,89.31565816085349
NTRK3,ENSG00000140538,2.0405825526301945e-4,4.127753866540022,FALSE,2.26829630182079
IFITM10,ENSG00000244242,2.116720170525256e-4,3.5669631081117767,FALSE,-5.8514123386738675
ENSG00000274670,ENSG00000274670,2.214265023219218e-4,25.892841961463592,TRUE,139.59715966630267
ENSG00000279923,ENSG00000279923,2.534103778241056e-4,3.4005941203869607,FALSE,2.315405638886414
PRKAB2,ENSG00000131791,2.5697810609421386e-4,3.5176428497961334,FALSE,5.70960969402865
RN7SKP95,ENSG00000199730,2.595368111984381e-4,24.394936612450287,TRUE,105.73444451201973
SLC30A5,ENSG00000145740,2.596661446836319e-4,4.314844167735152,FALSE,3.9752592207555963
ENSG00000266213,ENSG00000266213,2.6321529890595426e-4,71.90642210228995,TRUE,29.99300338491979
ENSG00000269044,ENSG00000269044,2.789703876348147e-4,4.693591851623248,FALSE,2.6306431286785283
BLZF1,ENSG00000117475,2.8349859174262574e-4,4.285750930532483,FALSE,-1.09074103647432
ENSG00000231604,ENSG00000231604,3.083890161214711e-4,6.615945708775663,FALSE,6.999219642765638
MTATP8P2,ENSG00000229604,3.1165050811595964e-4,16.470756444584612,FALSE,3.6998048691748338
BTF3L4P3,ENSG00000213108,3.260288088815463e-4,23.787272167407863,TRUE,12.631471021611432
PRELP,ENSG00000188783,3.274459784293573e-4,5.493921178286749,TRUE,12.232442312685826
ENSG00000278040,ENSG00000278040,3.287597491557614e-4,6.931751263580615,FALSE,1.4753090877202055
ENSG00000259871,ENSG00000259871,3.3302303859148716e-4,0.08312103500105404,TRUE,11.730076780857267
PLEKHM1,ENSG00000225190,3.483705429304613e-4,4.106982848799731,FALSE,-1.9930320235148642
RN7SL481P,ENSG00000240322,3.4966639644109745e-4,2.913263885221671,FALSE,-1.0677268108884306
EPC1-AS1,ENSG00000229327,3.714768407997165e-4,20.717988356023127,TRUE,122.01975723710338
ENSG00000237856,ENSG00000237856,3.750707977918308e-4,22.369701716887935,TRUE,65.02231367651966
ENSG00000277911,ENSG00000277911,3.828986534292524e-4,5.079114760656768,FALSE,1.547407250219365
ENSG00000226532,ENSG00000226532,3.831888531002062e-4,20.380501619370637,TRUE,155.8461202504689
LINC00393,ENSG00000224853,3.90084096562946e-4,11.05257310990939,TRUE,18.460174975991336
MTCO3P29,ENSG00000228069,3.901425061236565e-4,7.477388971720453,FALSE,3.268117694822351
MAP3K6,ENSG00000142733,4.016435121636876e-4,3.5756683453427796,FALSE,-2.3316894884081236
ENSG00000264188,ENSG00000264188,4.048766858599979e-4,4.36449715999148,FALSE,5.7035605920657275
ENSG00000200750,ENSG00000200750,4.1213036200525306e-4,19.829550950710587,TRUE,132.3811903150987
STAMBPL1,ENSG00000138134,4.656628812129784e-4,5.0146023587342246,FALSE,-3.2748001646523903
ENSG00000269318,ENSG00000269318,4.726559909560146e-4,4.215848938607515,FALSE,5.579897446169753
PHF14,ENSG00000106443,4.7656995956532903e-4,4.046602385693839,FALSE,0.6831300935011306
TAS2R2,ENSG00000203523,4.843350613763545e-4,18.98328376301176,TRUE,89.31565816085349
ENSG00000260416,ENSG00000260416,5.054926127217791e-4,6.855561941818638,FALSE,5.410358802240907
TNS2-AS1,ENSG00000257337,5.074384894068995e-4,4.3818525845138465,FALSE,-5.067186796820167
LRRC8D-DT,ENSG00000272931,5.245957859086837e-4,3.618040516906825,FALSE,1.2013928196269568
LINC00613,ENSG00000248330,5.25461637276927e-4,20.439051112685057,TRUE,52.52595621149756
VPS9D1,ENSG00000075399,5.294012543738821e-4,3.606225648691,FALSE,-5.566702776080355
ENSG00000261442,ENSG00000261442,5.29500223450615e-4,0,TRUE,11.863159207997839
PSPHP1,ENSG00000226278,5.694493357050431e-4,4.228193802374382,FALSE,2.1923752699206354
RN7SKP115,ENSG00000200047,5.763865275289523e-4,19.24213296207812,TRUE,132.3811903150987
FAM225B,ENSG00000225684,5.924172909632893e-4,11.227273856902324,TRUE,18.21096324086843
SLC30A4-AS1,ENSG00000259354,6.089115760532943e-4,40.8642635882528,FALSE,-6.271471919333903
ENSG00000270016,ENSG00000270016,6.143296028958554e-4,5.516249705129402,TRUE,17.394455168883127
SLC40A1,ENSG00000138449,6.274164565300886e-4,3.193328727661062,FALSE,-6.0650980514767525
ENSG00000259346,ENSG00000259346,6.322319786186347e-4,7.803004979479514,TRUE,46.4394182027998
ARHGEF3,ENSG00000163947,6.326043465408772e-4,3.3141043571033033,FALSE,-4.718384663563697
PDSS1,ENSG00000148459,6.379436607678163e-4,4.258779107771785,FALSE,0.6359758889575318
ENSG00000187695,ENSG00000187695,6.435435324507023e-4,2.9970355198888123,FALSE,-3.5571701996813214
ENSG00000260066,ENSG00000260066,6.68608520932384e-4,7.634150457368677,TRUE,60.77334966768355
GJB2,ENSG00000165474,6.703396119092066e-4,3.817630356378008,FALSE,1.0624494273863263
ENSG00000272986,ENSG00000272986,6.741760797045124e-4,4.419463369784606,FALSE,3.030458790585449
EZH1,ENSG00000108799,7.061827906342371e-4,4.443244707983856,FALSE,2.4532492872559644
CLDN12,ENSG00000157224,7.240438718477712e-4,3.2023263630967773,FALSE,2.5891701248939683
RPE,ENSG00000197713,7.266289556094926e-4,4.63958694312548,FALSE,1.7413135529615644
DEAF1,ENSG00000177030,7.285050431414099e-4,4.220965833199285,FALSE,-3.3505714878246806
ENSG00000228522,ENSG00000228522,7.366212831593957e-4,8.36147650519417,TRUE,10.417169934697498
ENSG00000223795,ENSG00000223795,7.503816082355286e-4,7.216448330977184,FALSE,9.981688306795832
FIBIN,ENSG00000176971,7.541130386037668e-4,3.61986123383927,TRUE,10.247380033352805
RNA5SP245,ENSG00000201109,7.565929257278943e-4,25.975831236681497,TRUE,16.168931395611267
AHCYP2,ENSG00000238181,7.651605458726476e-4,0.05614971183434995,TRUE,10.518499027986486
TNS2,ENSG00000111077,7.741223689465265e-4,4.39629097554754,FALSE,-1.6432640233196665
ENSG00000275286,ENSG00000275286,7.861243819054334e-4,7.026709578088302,FALSE,7.900408195361152
SNORD88C,ENSG00000220988,7.897791771832691e-4,2.685403652595878,TRUE,28.444616833116797
HSPB6,ENSG00000004776,7.987953730835632e-4,4.714301670642777,FALSE,3.954880441347626
MIR6740,ENSG00000275207,7.995493485401542e-4,7.323279825143103,TRUE,62.32553448296137
RNU4ATAC9P,ENSG00000252955,8.170483991478165e-4,15.97879241351302,TRUE,68.39059701708295
ACSL3,ENSG00000123983,8.245098390254452e-4,3.009271832193149,FALSE,-3.2821889126561636
RNU6-1091P,ENSG00000200815,8.245902925714738e-4,16.777746708574384,TRUE,69.00529825853248
GSTT2B,ENSG00000133433,8.545965497505118e-4,22.005989307485155,TRUE,17.422703480775674
CCL8,ENSG00000108700,8.571347722203627e-4,6.245452188048308,TRUE,36.20872412610563
ENSG00000226545,ENSG00000226545,8.610358956152306e-4,22.126977155275284,TRUE,28.98971751863948
CSE1L,ENSG00000124207,8.650790294096018e-4,3.4740066359377515,FALSE,-0.7145052802494867
MC1R,ENSG00000258839,8.762741037209139e-4,5.360319764218039,FALSE,-0.5001803383534593
NECTIN3-AS1,ENSG00000242242,9.21098532222452e-4,3.148214821491627,FALSE,-5.321275852343334
SPOP,ENSG00000121067,9.27094788607768e-4,4.3743839249831975,FALSE,-3.9119479651672755
ENSG00000229962,ENSG00000229962,9.301603473741224e-4,14.550020325487113,TRUE,20.80029105137983
ENSG00000272909,ENSG00000272909,9.324112042725976e-4,4.239337991552985,FALSE,4.2891309598777845
LINC02512,ENSG00000251061,9.37639289970194e-4,17.746361678529798,TRUE,27.81246350599274
SNX15,ENSG00000110025,9.39960496822314e-4,7.217814141414759,TRUE,49.72739105002678
RN7SL475P,ENSG00000265535,9.44996213512044e-4,19.90178595743847,TRUE,35.09297193225348
ZNF571,ENSG00000180479,9.784165825659082e-4,3.255597471569589,TRUE,11.996303306137136
ENSG00000202537,ENSG00000202537,9.910457239752563e-4,6.743114934385856,TRUE,56.58560318519426
GPBP1,ENSG00000062194,9.934068014852144e-4,3.514069747626824,FALSE,2.482854381441679
TRMT112P8,ENSG00000233388,9.951262626331156e-4,5.776437055523826,TRUE,17.256948981054784
ENSG00000227292,ENSG00000227292,0.00101594502307053,3.6891330574613463,FALSE,5.829961995926581
SLC22A2,ENSG00000112499,0.00102360602799106,0.05795521865810223,TRUE,12.053585859799355
RANBP20P,ENSG00000259144,0.00103547980678789,4.0082970745698425,FALSE,7.7209221637794485
RNU1-146P,ENSG00000200885,0.00103786083865683,17.087054126655925,TRUE,54.174295189459045
ENSG00000254363,ENSG00000254363,0.00103855729479057,3.843111200180115,FALSE,4.400370039476883
