ensembl_gene_id,H2O2_vs_CTRL.log2FoldChange,H2O2_vs_CTRL.pvalue,PRG4_vs_CTRL.log2FoldChange,PRG4_vs_CTRL.pvalue,H2O2PRG4_vs_H2O2.log2FoldChange,H2O2PRG4_vs_H2O2.pvalue,hgnc_symbol
ENSG00000258989,-0.201059187186311,0.250452054500041,-1.72553975457795,1.1881275461504601e-21,-1.43241600696744,1.6560942135068702e-15,
ENSG00000259060,,,,,,,
ENSG00000259066,1.55224614013207,6.30975771006837e-05,-0.0621640102928078,0.879203654648108,0.722609513624754,0.0422651881568198,
ENSG00000259132,-0.0003830663694893,0.998422681750158,-0.319927027760908,0.0991642011451062,-0.392527102511757,0.0430125981774415,
ENSG00000259164,,,,,,,
ENSG00000259171,,,,,,,
ENSG00000259316,0.0229504337669518,0.959201794714244,1.43406158857566,0.0009782180248115,0.530654044894337,0.227404913674485,
ENSG00000259371,0.349790700872316,0.50349257479031,-0.559946798697832,0.297807725714233,0.192032029060522,0.706514342190903,
ENSG00000259522,1.93151189644671,0.190150514451153,-0.596509308331163,0.718105928046453,-0.444590824549009,0.740895508593663,
ENSG00000259529,1.25872597576697,0.0414021346801054,0.695436206331392,0.265102217547137,-0.0754807162438214,0.896764112595553,
ENSG00000259753,-0.473288438132851,0.0404818304647519,-2.22228707135115,1.50854601633145e-20,-1.40628879149211,3.0005670552553e-09,
ENSG00000259784,,,,,,,
ENSG00000259900,,,,,,,
ENSG00000260007,-0.0778009432641262,0.899043785391732,0.653553373715421,0.271907781218863,-0.103467022071711,0.865497316669249,
ENSG00000260092,1.00106803603929,0.679583990442695,1.22185600537062,0.610242488087822,0.965395746049293,0.667185552391057,
ENSG00000260170,3.49529491411631,0.103912771496076,1.61021641893221,0.48744811380419,1.40151414663399,0.442944652895299,
ENSG00000260234,0.0,1.0,0.0,1.0,4.6677427130382,0.135700303166818,
ENSG00000260272,0.899000917162732,0.266588261949621,0.041878218563282,0.959272758025516,-0.247604961656887,0.754840447782022,
ENSG00000260342,0.0031150289106107,0.999436071630105,-1.13875108458405,0.796117439773541,2.14887212401305,0.61637948377454,
ENSG00000260371,1.52910874511737,0.0059482553810841,0.141553687422471,0.80732389280533,-0.0853237778094787,0.868692269053879,
ENSG00000260537,0.604894042345555,0.0324788387281674,0.121037928079419,0.671869768951708,-0.0479389589336788,0.861362732427119,
ENSG00000260643,,,,,,,
ENSG00000260729,-0.631314912686804,0.016787551592029,0.212423399204872,0.410604857253726,0.487907434793932,0.06392525602764,
ENSG00000260836,4.75653148635328,0.0216575058288989,3.05227653173763,0.152593229478796,0.84272291368892,0.624685104506932,
ENSG00000260851,0.346706799536079,0.692078350162126,-0.33195292852614,0.709687419246764,1.06877763417432,0.203214462197227,
ENSG00000260861,,,,,,,
ENSG00000260914,4.91873223184248,0.0070720565024374,3.22361808431087,0.0878669866263907,0.0183486250068566,0.989772855573037,
ENSG00000261130,1.79504151088595,0.681487368326479,0.0,1.0,0.317914431098756,0.941016380171166,
ENSG00000261147,,,,,,,
ENSG00000261341,2.80594187448125,4.7188555673972795e-18,0.474086376955244,0.179448978181069,0.878262376672795,0.0007285601292298,
ENSG00000261459,1.93934062159321,7.19666322153088e-06,1.08950936599198,0.0136140718660377,0.116306558147552,0.759170021274093,
ENSG00000261582,0.0053878422200397,0.990564369976819,-0.388512953846058,0.397812776575086,-0.145002206458328,0.74907948115022,
ENSG00000261611,-0.0005520607501197,0.999683821144025,1.23804903251372,0.358672176889736,1.1964933567883,0.374719065258695,
ENSG00000261717,0.49864701273245,0.271457292144617,0.374680159324497,0.407494904699436,1.08101454227243,0.0106242161999212,
ENSG00000261732,,,,,,,
ENSG00000261793,-2.26589259788451,0.326208176865004,-4.83240366472853,0.0483712445470142,2.17804281768402,0.344479615200746,
ENSG00000261832,1.53537916565576,0.478588956834931,0.827470811648002,0.707107109812066,1.15433896257506,0.554466702772933,
ENSG00000261884,0.899511739495923,0.06522175729101,-0.247916582037353,0.620297699820868,0.902436364976757,0.0541392842372101,
ENSG00000261915,,,,,,,
ENSG00000262302,,,,,,,
ENSG00000262304,,,,,,,
ENSG00000262526,,,,,,,
ENSG00000262560,,,,,,,
ENSG00000262633,0.173644039640625,0.164064373150068,0.0289693285056343,0.816299499167136,0.176698603399773,0.152150322363093,
