ensembl_gene_id,TS1,TS11,TS12,TS13,TS15,TS16,TS2,TS3,TS5,TS6,TS7,TS9,hgnc_symbol
ENSG00000080845,8.87332751089325,8.72137199618979,8.52381560722533,9.43210720280886,10.1960690381596,10.3306375007204,10.3345508779353,10.3622348769846,11.6185219263057,11.137215629409,12.1986223277435,7.90640174313713,DLGAP4
ENSG00000080854,7.5991052794886,10.5222051276368,10.4794682290058,9.0715816982241,7.75827687769995,8.1078734199703,7.10956497792044,6.54940843310265,7.5387609446201,5.14472748861813,5.62805587199807,10.7527867701435,IGSF9B
ENSG00000080910,0.0,0.0,0.0,0.0,0.0440260666995309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CFHR2
ENSG00000080986,1.89366787312851,3.67593688325886,3.51225398326214,2.78215398079588,3.38980155262024,3.18402329477855,1.53083329023334,1.02168946622647,1.58726560558672,1.16736068859097,0.50269745710462,3.85997088825447,NDC80
ENSG00000081014,5.35157053728109,4.12772133085148,4.77389947555287,4.14986720729403,4.60366375065942,4.15144973834888,6.22758766124957,5.45504267335783,4.04023469828806,5.64244909059536,4.64997241877461,4.02243746618592,AP4E1
ENSG00000081019,6.33125821807436,5.3064968242149,5.01404871108288,4.43716615730286,5.84808862558175,4.96478274112476,6.12823703192967,9.33187882829388,4.13754875760404,4.7611956054275,3.72129141927165,5.05497675471628,RSBN1
ENSG00000081026,0.806014340918584,0.91178706337082,0.980115945400352,0.966137759430001,1.04876240330615,1.07946760021225,0.856935693501118,0.623633531111415,0.722936165552701,0.802839354151362,0.627751097991272,0.895786312253346,MAGI3
ENSG00000081041,28.7822831551431,54.7539621815543,54.6981207188517,72.2964160651689,72.7885899896615,79.5305424292327,23.9543956445973,58.4722343835676,42.9884096948187,55.1429856241465,90.7004258263664,36.5807210572088,CXCL2
ENSG00000081051,0.169068101298198,0.180504735275893,0.189578486996473,0.176278770950204,0.25139539983618,0.262466406200859,0.110804345472907,0.0566014476396754,0.0583237593946622,0.230337248733758,0.0905104392252234,0.440387124915872,AFP
ENSG00000081052,23.5891318848293,14.0509697463931,15.0316131478705,12.2680367249763,13.5512282297644,12.6891495639883,26.4659549740619,24.4322260704858,22.8598860687353,19.7376610958629,23.0361215910207,13.489330393563,COL4A4
ENSG00000081059,3.23481398368791,5.09638805776073,4.54962986781617,4.20360791766194,4.29749643366379,4.81797327932509,3.91679281630419,4.13496445432753,3.65210253189906,3.9741344217835,4.66202513961185,5.60601832908415,TCF7
ENSG00000081087,4.90091048343522,4.18110453134482,4.27449987047869,4.87349776146157,6.08617759745093,5.40278557726875,4.65355256898638,5.57703449866281,4.41492536073087,5.34080174153492,5.74512369221385,4.06177719127245,OSTM1
ENSG00000081138,0.0,0.00215072505798939,0.0,0.0,0.00249615975016079,0.0,0.0,0.0101161461142052,0.0,0.0,0.0,0.0098385745600191,CDH7
ENSG00000081148,0.0,0.0184404653967256,0.0207508339091417,0.0375182052116722,0.057072656902748,0.0635061691195049,0.00707489645415987,0.00722804470343035,0.0223439553804574,0.0294142287898965,0.0924659743703731,0.0,IMPG2
ENSG00000081154,128.032757149309,95.3791636291446,111.406926927621,125.987351896873,135.037458854277,140.059818671934,116.908281765884,121.517224110354,110.350303695014,120.269242248125,124.871001981473,96.9345003208527,PCNP
ENSG00000081177,5.08404134937338,5.70759549380527,5.83528689112165,5.6930117302132,6.45787033715122,5.85402604103591,6.42410175273173,5.99655848489708,5.14339648027281,5.46248208219672,5.96121407016961,5.68113739378771,EXD2
