target_gene,prg4_mimetic_score
DHPS,0.017734242459262688
TM7SF2,0.017716732429710516
MRPS6,0.017694439913490043
DSTYK,0.017113598916973567
ZFP69B,0.017051503194598108
POU5F1B,0.01677721219725624
COX5A,0.016511361542652387
JMJD6,0.016478701688927164
H2AFX,0.01549798187251311
TEFM,0.014996089877994383
TDGF1,0.014295474732132527
MRPL4,0.014215579072493502
ZNF133,0.013660146274619915
SGPP1,0.013125449472519854
KDM8,0.012873960806326277
PSMC5,0.012306568489871272
VPS41,0.012288624589325005
UBR5,0.011428121378217474
LZTR1,0.011413908966337165
BCLAF1,0.011125814663783032
DHX29,0.010672425087913454
DDN,0.010636976110680136
SMARCE1,0.0101079533109905
DYNLL2,0.010001624539796361
RPE,0.009486235987518948
WDR44,0.009469444453616494
PTPMT1,0.009314980436182355
CLCC1,0.008594812699146442
HEXIM1,0.008494831520034184
MZF1,0.008299975896055859
SLC9B1,0.00794479734526415
PSMC6,0.007929092139802918
NDUFA4,0.007233380330521322
CCNC,0.007192482871341055
HIST1H2BC,0.006904720740948689
TAF11,0.006823670733519456
PSMD1,0.006640832741741071
HIST2H2BF,0.0063804282577469285
PIAS1,0.0058277314226280255
UBA5,0.004895828036519067
PSMC2,0.004824537154744041
VPS18,0.004594479866602757
MTPAP,0.004515764970035318
MRPL55,0.0044567987981046575
PSMD8,0.004137650690924782
GATA1,0.0039182400818874655
TARS2,0.0034973026695943946
HSPA5,0.0034084423238843753
TIGD1,0.0032119264994799916
CD8B,0.003119109805022266
LTBP3,0.0025482696339831044
POLR2M,0.0017470578329562836
LCE1E,0.0010762371431874002
COPA,0.0006275471760413126
KRT17,0.00044949596341466516
RPRD1B,-7.577025309146723e-05
PSMC1,-0.00048481286424192915
GAPDH,-0.0007111264466493072
CD2BP2,-0.0010716494692179744
DPY19L4,-0.0012405745323668428
AARS2,-0.0012436472899573572
TBC1D28,-0.0026329926862691116
C16orf86,-0.0028133588681051543
HIST1H2BM,-0.0037155866668867263
COX17,-0.004517724323521127
SLC1A5,-0.00517649502237057
PSMC3,-0.005425032441267297
SS18L2,-0.005891598949992579
PSMB3,-0.006538607584487821
MRPL24,-0.006861583926301269
PSMA1,-0.007306971983292276
ATP5ME,-0.007851778573904969
PSMC4,-0.00802695151144936
SCNM1,-0.008688798269799111
RNF168,-0.009036931865084002
ZNF674,-0.009595711479090718
NCOA4,-0.009727553449670502
PPME1,-0.009807462977332555
ARIH1,-0.010145190932954885
NDUFB3,-0.010218784566871805
OR7A17,-0.010394623829885676
SMG8,-0.010587200475475192
TMED10,-0.011038776972478494
E2F6,-0.012055782470159048
ATP5F1C,-0.012160700665334923
KEAP1,-0.012413527925905199
DOHH,-0.012539958726123067
FRG2,-0.012553762031335125
DNAJC19,-0.012561225669049393
MRPS28,-0.012976741344867954
GPKOW,-0.013508910204553318
PTPN11,-0.013644111538524989
BCAS2,-0.013748583315447989
POLG2,-0.01391204900034666
PCBP2,-0.01404181671096719
EPB41L2,-0.014387815951527896
QRSL1,-0.014614034438922787
TADA1,-0.014803260306087031
TTC4,-0.014855520958874796
SKP2,-0.015033145894900166
CYCS,-0.01579176173416303
CAD,-0.016048486569480575
PSMD2,-0.016057482953888702
ATP5F1A,-0.01623585214046325
H3F3A,-0.016291725082960333
ARMC6,-0.01708687589770686
USF2,-0.017148321804163737
NDUFB8,-0.017218807019860834
KLHL11,-0.017961224348285343
SHC1,-0.018163958329893853
DHFR,-0.018559540374106395
HIST1H2AB,-0.019141920060755054
MMGT1,-0.019341854022552018
KDM1A,-0.019361657558897738
DTYMK,-0.019812575655016453
HIST2H2AC,-0.01984641957372327
SLC39A10,-0.02044126000891515
DPH6,-0.02204224001584911
DNLZ,-0.022049794786283952
COPG1,-0.022566549008601583
PGK1,-0.02273668587277747
CHTOP,-0.022883551534562764
ATL2,-0.02300455597563206
DAXX,-0.02323130937247188
MRPL38,-0.02354040976705021
ACOT12,-0.023556445823908975
SRCAP,-0.023795971009228794
F8A1,-0.023889315018738227
ERAL1,-0.024038663716960375
PRODH,-0.024294918690462408
DHX8,-0.024405242112562273
OR2T29,-0.024419958065741022
MEF2A,-0.024628424823760625
EXOC8,-0.02471068333030666
BRD2,-0.025103833847880848
SNF8,-0.02550991563619547
PSMB5,-0.02576869326905601
SLC39A9,-0.026084748807184848
PSMD12,-0.026261597794323882
MRPS18C,-0.026434254676330187
PGAM1,-0.026533120470191976
XAB2,-0.02654466229713892
TXN,-0.02671038417724651
RPL36AL,-0.0267574515857424
OR4K1,-0.02761857258423988
SMG1,-0.02796575655016433
C9orf78,-0.028012675702894087
BCL2L1,-0.02843802083505309
MRPL3,-0.028493619719007362
TAF1,-0.03067175513034287
SDHA,-0.030752607683544826
BCS1L,-0.031071224843572002
CBLL1,-0.031943687903452
HIST1H2BB,-0.032540089481765296
ISY1,-0.03270296742665628
MYSM1,-0.03379345957636501
CEP97,-0.034124645127205956
VPS33A,-0.034132962638886655
TWNK,-0.03475958990275872
SF3A1,-0.03484037047431942
MEIS3,-0.034880567268164506
PRRC2A,-0.03489662643839463
E4F1,-0.03503204833996465
ERVW-1,-0.03560528239586607
MRPL50,-0.03565268659919758
MRPL23,-0.035852012349144
KRT8,-0.03602176156906769
PSMB2,-0.03622440375757369
MRPL28,-0.03705641379538075
OR1E2,-0.03709559095937002
POLG,-0.03711679912829568
LRRC37B,-0.037310285780323776
DCTN1,-0.03745135394825899
ADSL,-0.03754532234897903
NXF1,-0.03833205593435809
LRPPRC,-0.03880195671195792
HSPA8,-0.03909704776213039
BOD1L1,-0.03984839609714213
KATNB1,-0.040425638011589556
PPIL1,-0.04115654818312385
CDK2,-0.041252284426540844
MIOS,-0.04161633058724463
CCND3,-0.041737677766588085
MTCP1,-0.04179337372670104
SRP68,-0.04218015188786708
MYB,-0.04264734939162299
SMG6,-0.04346003797196692
MRPS5,-0.04359151442109245
METTL3,-0.0438495359165278
SMC3,-0.044213346320846794
MALSU1,-0.045096887289296755
DDX41,-0.04512451106965393
XRCC3,-0.045292740750524016
NSUN4,-0.045936796816958565
SERBP1,-0.046778794472602435
MRPL51,-0.04685664624985553
TRA2B,-0.047031629987947854
EARS2,-0.04726183883376528
MTRNR2L1,-0.047324217860032096
NDUFAF3,-0.047359325089564246
MRPL22,-0.047785480180284196
SNX15,-0.047935927093823764
NAPG,-0.04816767826187446
DNAJA1,-0.04850378431922872
SRP72,-0.04891994915058354
CCNB1,-0.04984852751316627
PCID2,-0.05063090753000599
NFATC2IP,-0.051146522923511135
PRKCA,-0.05116835779498443
