perturbation_id,knockdown_gene,direction,ARE_enrichment
8011_SLC25A4_P1P2_ENSG00000151729,SLC25A4,UP,0.08029556650246059
7894_SHISA5_P1P2_ENSG00000164054,SHISA5,UP,0.07774014778325032
7410_ROGDI_P1P2_ENSG00000067836,ROGDI,UP,0.045096982758618585
4945_MED22_P1P2_ENSG00000148297,MED22,UP,-0.11560190886698912
7039_RAB7A_P1P2_ENSG00000075785,RAB7A,UP,-0.04583589901477943
1547_CHCHD10_P1P2_ENSG00000250479,CHCHD10,UP,-0.07750153940886916
432_ARAF_P1P2_ENSG00000078061,ARAF,UP,-0.05955203201970912
6216_PEMT_P1P2_ENSG00000133027,PEMT,UP,-0.11540948275861239
3352_GGA2_P1P2_ENSG00000103365,GGA2,UP,-0.07017395320197442
331_ANKRD16_P1P2_ENSG00000134461,ANKRD16,UP,-0.06216902709359977
1913_CST3_P1P2_ENSG00000101439,CST3,UP,0.06688731527093572
1658_CLK1_P1P2_ENSG00000013441,CLK1,DOWN,0.08985529556650539
4883_MBOAT1_P1P2_ENSG00000172197,MBOAT1,DOWN,0.09141009852217494
4466_KRAS_P1P2_ENSG00000133703,KRAS,DOWN,0.11273860837438936
2478_EDEM3_P1P2_ENSG00000116406,EDEM3,DOWN,-0.07276785714285872
2274_DNAJA1_P1_ENSG00000086061,DNAJA1,DOWN,-0.11137623152708734
2275_DNAJA1_P2_ENSG00000086061,DNAJA1,DOWN,-0.11023706896550539
9786_WASF1_P1P2_ENSG00000112290,WASF1,DOWN,0.05406403940886645
4580_LIMA1_P2_ENSG00000050405,LIMA1,DOWN,-0.05731988916256268
4581_LIMA1_P1_ENSG00000050405,LIMA1,DOWN,-0.07885621921182308
10048_ZDHHC20_P1P2_ENSG00000180776,ZDHHC20,DOWN,0.07439963054187039
2827_FAM102B_P1P2_ENSG00000162636,FAM102B,DOWN,-0.1126308497536893
10061_ZEB2_P2_ENSG00000169554,ZEB2,DOWN,0.09164870689655179
10062_ZEB2_P1_ENSG00000169554,ZEB2,DOWN,0.05737376847290488
9203_TPM1_P1_ENSG00000140416,TPM1,DOWN,-0.13097290640391548
9204_TPM1_P2_ENSG00000140416,TPM1,DOWN,-0.048791564039411504
"3781_HIST1H4H_ENST00000289352.1,ENST00000377727.1_ENSG00000158406",HIST1H4H,DOWN,-0.07523860837438341
2322_DOCK11_P1P2_ENSG00000147251,DOCK11,DOWN,0.11663331280789731
9339_TSEN54_P1P2_ENSG00000182173,TSEN54,DOWN,-0.1308805418719157
4828_MAPK1_P1P2_ENSG00000100030,MAPK1,DOWN,0.0765009236453199
5025_MFSD11_P1P2_ENSG00000092931,MFSD11,DOWN,0.09229525862069031
8037_SLC35A1_P1P2_ENSG00000164414,SLC35A1,DOWN,-0.09282635467979773
1531_CETN3_P1P2_ENSG00000153140,CETN3,DOWN,-0.055818965517243836
6155_PDCD4_P2_ENSG00000150593,PDCD4,DOWN,-0.08881619458127742
6156_PDCD4_P1_ENSG00000150593,PDCD4,DOWN,0.1263931650246326
526_ARMCX3_P1P2_ENSG00000102401,ARMCX3,DOWN,0.053263546798027014
8522_STK38L_P1P2_ENSG00000211455,STK38L,DOWN,0.055919027093593726
4382_KIF1B_P1P2_ENSG00000054523,KIF1B,DOWN,-0.06756465517241744
10741_ZXDC_P1P2_ENSG00000070476,ZXDC,DOWN,-0.051416256157636044
4019_ID2_P2_ENSG00000115738,ID2,DOWN,-0.10758928571428493
4020_ID2_P1_ENSG00000115738,ID2,DOWN,0.07319889162561545
517_ARL6IP6_P1P2_ENSG00000177917,ARL6IP6,DOWN,-0.06706434729064438
8407_SRGAP2_P1P2_ENSG00000266028,SRGAP2,DOWN,0.09758312807881936
2282_DNAJB4_P1P2_ENSG00000162616,DNAJB4,DOWN,0.04531249999999923
5113_MLLT3_P1P2_ENSG00000171843,MLLT3,DOWN,-0.05900554187192246
4048_IFRD1_P2_ENSG00000006652,IFRD1,DOWN,0.1423106527093713
4049_IFRD1_P1_ENSG00000006652,IFRD1,DOWN,0.05867456896551528
1540_CGGBP1_P1_ENSG00000163320,CGGBP1,DOWN,0.09578971674876699
1541_CGGBP1_P2_ENSG00000163320,CGGBP1,DOWN,0.06576354679802418
4923_ME1_P1P2_ENSG00000065833,ME1,DOWN,0.09797567733990097
4424_KLF8_P1P2_ENSG00000102349,KLF8,DOWN,-0.09102524630542255
2779_EXOC2_P1P2_ENSG00000112685,EXOC2,DOWN,0.05551878078817629
8566_STXBP6_P1P2_ENSG00000168952,STXBP6,DOWN,0.06326200738916245
3694_HERC4_P1P2_ENSG00000148634,HERC4,DOWN,0.10245535714286076
6623_PPIC_P1P2_ENSG00000168938,PPIC,DOWN,0.163115763546804
620_ATG2B_P1P2_ENSG00000066739,ATG2B,DOWN,0.07570812807881644
10417_ZNF518B_P1P2_ENSG00000178163,ZNF518B,DOWN,-0.1078278940886647
4951_MED28_P1P2_ENSG00000118579,MED28,DOWN,-0.11348522167487408
8258_SNX6_P1P2_ENSG00000129515,SNX6,DOWN,-0.07297567733990523
8082_SLC40A1_P1_ENSG00000138449,SLC40A1,DOWN,-0.04612838669950771
8083_SLC40A1_P2_ENSG00000138449,SLC40A1,DOWN,0.06740301724137793
7015_RAB22A_P1P2_ENSG00000124209,RAB22A,DOWN,-0.10955972906403981
3429_GNA13_P1P2_ENSG00000120063,GNA13,DOWN,0.10648860837439585
312_ANGPT1_P1P2_ENSG00000154188,ANGPT1,DOWN,-0.1423183497536926
3204_FRYL_P1P2_ENSG00000075539,FRYL,DOWN,0.07165178571428273
3391_GLI2_ENST00000452319.1_ENSG00000074047,GLI2,DOWN,0.08426724137930802
3392_GLI2_ENST00000361492.4_ENSG00000074047,GLI2,DOWN,-0.08646089901477833
7885_SH3GLB1_P1P2_ENSG00000097033,SH3GLB1,DOWN,0.09956896551724147
9795_WBP4_P1P2_ENSG00000120688,WBP4,DOWN,-0.06219211822660464
8064_SLC38A2_P1P2_ENSG00000134294,SLC38A2,DOWN,-0.06107604679803037
9812_WDR26_P1P2_ENSG00000162923,WDR26,DOWN,-0.14429649014778004
10018_ZC3H11A_P1P2_ENSG00000058673,ZC3H11A,DOWN,0.09796798029556858
6795_PRPF38B_P1P2_ENSG00000134186,PRPF38B,DOWN,-0.07419950738916302
5796_NR3C1_P1P2_ENSG00000113580,NR3C1,DOWN,0.13283559113301624
8734_TBL1XR1_P1P2_ENSG00000177565,TBL1XR1,DOWN,0.04904556650246222
5621_NFAT5_P1P2_ENSG00000102908,NFAT5,DOWN,0.06054495073891504
7041_RAB8B_P1P2_ENSG00000166128,RAB8B,DOWN,0.056265394088669415
7191_RBPJ_P1P2_ENSG00000168214,RBPJ,DOWN,-0.07877924876847292
2852_FAM133B_P1P2_ENSG00000234545,FAM133B,DOWN,0.08496767241378916
463_ARHGAP21_P1P2_ENSG00000107863,ARHGAP21,DOWN,0.07406096059113124
372_AP1S2_P1P2_ENSG00000182287,AP1S2,DOWN,-0.08941656403940709
3158_FOXF2_P1P2_ENSG00000137273,FOXF2,DOWN,-0.06517857142857489
6905_PTEN_P1P2_ENSG00000171862,PTEN,DOWN,0.09767549261084747
3068_FGD6_P1P2_ENSG00000180263,FGD6,DOWN,0.06708743842363915
2263_DMTF1_P1P2_ENSG00000135164,DMTF1,DOWN,-0.05444889162561981
4556_LEPR_P1P2_ENSG00000116678,LEPR,DOWN,-0.06624846059113357
7317_RIT1_P1P2_ENSG00000143622,RIT1,DOWN,0.050577278325119664
196_AGPAT4_P1P2_ENSG00000026652,AGPAT4,DOWN,0.08094211822660262
8162_SMCHD1_P1P2_ENSG00000101596,SMCHD1,DOWN,-0.08946274630541484
7824_SETDB2_P1P2_ENSG00000136169,SETDB2,DOWN,-0.04988454433497855
10000_ZBTB46_P1P2_ENSG00000130584,ZBTB46,DOWN,-0.12576200738915624
2086_DDAH2_P1P2_ENSG00000213722,DDAH2,DOWN,0.12370689655172637
4981_MEST_P2_ENSG00000106484,MEST,DOWN,-0.11524784482757769
4982_MEST_P1_ENSG00000106484,MEST,DOWN,0.1542641625615805
4884_MBOAT2_P1P2_ENSG00000143797,MBOAT2,DOWN,-0.05836668719211887
9877_WRN_P1P2_ENSG00000165392,WRN,DOWN,-0.09087130541871688
6283_PHF19_P1P2_ENSG00000119403,PHF19,DOWN,-0.07205203201970757
4688_LSM14A_P1P2_ENSG00000257103,LSM14A,DOWN,0.07383004926108516
3106_FLCN_P1P2_ENSG00000154803,FLCN,DOWN,-0.07847906403941253
5679_NIPSNAP3A_P1P2_ENSG00000136783,NIPSNAP3A,DOWN,0.06191502463054041
9583_UHRF1_P1P2_ENSG00000276043,UHRF1,DOWN,-0.1005080049261019
2967_FANCL_P1P2_ENSG00000115392,FANCL,DOWN,0.06472444581280548
8165_SMG1_P1P2_ENSG00000157106,SMG1,DOWN,0.0879618226601001
4649_LRP5_P1P2_ENSG00000162337,LRP5,DOWN,-0.05803571428571743
4960_MEF2A_P1P2_ENSG00000068305,MEF2A,DOWN,0.06930418719211698
