"gene","mean_control","mean_amd","var_control","var_amd","cv_control","cv_amd","f_stat","f_pvalue","levene_pvalue","extreme_freq_control","extreme_freq_amd","f_fdr","levene_fdr","var_fc","cv_diff"
"28",1.86962109395002,1.7860491350077,0.173093756358628,0.161885195490027,0.222529129876086,0.225273403998286,0.935245724026131,0.870773116049903,0.931953058341036,0.04,0.0714285714285714,0.979628197968336,0.998283466352342,-0.096590964881474,0.00274427412219974
"29",1.77915981882798,1.72749919092036,0.150438659478678,0.120944038309936,0.21800402979078,0.201314069815907,0.803942541957294,0.548905344495452,0.500257679495401,0.1,0.0714285714285714,0.904619307191636,0.99090443813819,-0.314845289586731,-0.016689959974873
"30",7.86041821436198,7.87007602595572,0.165853092607023,0.0864559292237365,0.0518102965924174,0.0373609928231302,0.521280175514048,0.0711231793032275,0.139519852467005,0.06,0,0.556449237600037,0.985956148812927,-0.939877798764433,-0.0144493037692873
"31",2.46519940372545,2.53288156157275,0.525777362371525,0.762556902881804,0.294136358564699,0.344763336036355,1.45034183183978,0.254675517463407,0.307169637691897,0.06,0.0357142857142857,0.767987201748636,0.985956148812927,0.536390225955886,0.050626977471656
"32",2.62823685579061,2.63502550459014,0.17547076751353,0.259973945654695,0.159381430885293,0.193499534613215,1.48157980579101,0.228857951845586,0.64765996830792,0.04,0.0357142857142857,0.752183906411479,0.99090443813819,0.567128117811779,0.0341181037279211
"33",3.35719934886518,3.17932013696183,0.349838148957905,0.297060081245393,0.176179885598868,0.171430365225505,0.849135756435577,0.658222164999438,0.480564858117295,0.02,0.0357142857142857,0.935719931217377,0.990188431477849,-0.235936994231253,-0.00474952037336246
"34",1.90888944093565,1.85094314024387,0.272013054494912,0.189473078077046,0.273220870358641,0.23516920060068,0.696558767846159,0.314343222987317,0.48801517535,0.06,0.0357142857142857,0.803997014502807,0.990794136259676,-0.521688322199231,-0.038051669757961
"35",4.93286019804349,4.9159905014403,0.124438549306757,0.116381258701715,0.0715119423883142,0.0693953549594197,0.935250847507228,0.870785671063767,0.525668053792717,0.04,0.0357142857142857,0.979628197968336,0.99090443813819,-0.0965863203545611,-0.00211658742889458
"36",3.28647233941542,3.05752041635012,0.860549774525515,0.774104027544729,0.282265554880556,0.287759821748476,0.89954590711682,0.782759472725653,0.81574979034639,0.04,0.0357142857142857,0.962220808316442,0.996739229084981,-0.152732862008374,0.00549426686792076
"37",5.41429465071246,5.40258045162778,0.168836697612126,0.109562861281541,0.0758912065501166,0.0612675282279854,0.648928004581346,0.22846643466798,0.133917356912894,0.06,0.0357142857142857,0.752077384294436,0.985956148812927,-0.623878212699506,-0.0146236783221312
"38",5.89434994091624,5.71622618833201,0.21458380451507,0.148621021469904,0.078589129978973,0.0674420308751639,0.69260129768771,0.30670473296999,0.569877320622029,0.06,0.0357142857142857,0.798955632625859,0.99090443813819,-0.529909727462535,-0.011147099103809
"40",2.23798005715729,2.33737527142685,0.295087312387594,0.344938889844475,0.242727432586637,0.251271047233749,1.16893839675289,0.621685141930133,0.859296097508268,0.02,0.0714285714285714,0.925597022991337,0.997106104691888,0.225194012568963,0.00854361464711179
"41",3.5977050462988,3.13273892809217,0.807348583052554,0.476564382963004,0.249749638137276,0.220361869552622,0.590283296418422,0.142565903685378,0.117657466298961,0.08,0,0.669100265676569,0.985956148812927,-0.760522364238167,-0.0293877685846532
"42",8.45223636056942,8.33372588781864,0.193276863601166,0.344847575823709,0.0520137600781048,0.0704651409529394,1.78421549997476,0.0773710384065232,0.754369918659395,0.04,0.0714285714285714,0.569108822150601,0.99521285866499,0.835282412074745,0.0184513808748346
"43",2.00948858740852,1.8881791790626,0.296730454860327,0.177731654627338,0.271078641804896,0.223274413720915,0.598966677387387,0.15382755654602,0.395533784714407,0.08,0,0.683381711820004,0.985956148812927,-0.739457213778625,-0.0478042280839812
"44",2.59694882277383,2.51167283498499,0.242443534497974,0.225877090342207,0.189601489564071,0.189222532621604,0.931668855636545,0.862001121564785,0.623094988830932,0.06,0.0714285714285714,0.977580904918174,0.99090443813819,-0.102116778646403,-0.000378956942466591
"45",10.3093927602747,10.2805099415451,0.16396986863348,0.296305200297348,0.0392779575870517,0.0529486555515283,1.80707103546979,0.0711024171657226,0.122025791067549,0.02,0.0357142857142857,0.556449237600037,0.985956148812927,0.853644420755296,0.0136706979644767
"46",2.22568108990558,2.17170238975813,0.156889660503638,0.255149592212179,0.177964767099325,0.232593155191037,1.62629960057988,0.137538609810091,0.0515641444360575,0.06,0.0714285714285714,0.662512894481874,0.985956148812927,0.701583862857028,0.0546283880917124
"47",4.90024674398609,4.57839417096825,0.141675557078327,0.0798109810601733,0.0768120625844998,0.0617046722452284,0.563336278367687,0.110884564873788,0.164004962721461,0.06,0.0357142857142857,0.629310840436435,0.985956148812927,-0.827941895063646,-0.0151073903392714
"48",1.79669355548433,1.82475910300134,0.196024394822283,0.169390312516969,0.246422755252577,0.225547754532074,0.864128735969517,0.695127396593985,0.969856531974573,0.04,0,0.943466077209791,0.998418181460295,-0.210689196755654,-0.0208750007205036
"49",4.12643270493309,3.95611081477579,0.183437567803797,0.22931241020843,0.103793287922828,0.121044544812785,1.25008422731433,0.488100341298263,0.72676786928117,0.04,0.0714285714285714,0.882731417158202,0.994918038680559,0.322017438322609,0.0172512568899574
"50",1.80351346030262,1.83883493408641,0.120939022532299,0.18696652683115,0.192825114675034,0.235146732417313,1.54595698655673,0.182948805425899,0.357017030814351,0.06,0.107142857142857,0.712746310007917,0.985956148812927,0.628488250392032,0.0423216177422792
