"gene","age_var_pvalue","age_var_fdr"
"101",0.165060584208967,0.927680007404861
"102",0.645070524403073,0.999490789587033
"103",0.934129305556239,0.999490789587033
"104",0.288445121906006,0.980281276484647
"106",0.20097249691299,0.953504981459221
"107",0.331195663797632,0.990993320021182
"108",0.949323588643658,0.999490789587033
"109",0.0880587363038757,0.850013115605934
"110",0.792283212075224,0.999490789587033
"111",0.760504750874506,0.999490789587033
"112",0.629672355116686,0.999490789587033
"113",0.97413343939013,0.999490789587033
"114",0.947503698739102,0.999490789587033
"115",0.276116075797972,0.974704616204084
"116",0.987534148312831,0.999490789587033
"118",0.941421414806052,0.999490789587033
"119",0.704331051946728,0.999490789587033
"120",0.673950959060657,0.999490789587033
"121",0.667854225062405,0.999490789587033
"123",0.294369038487682,0.983233984926003
"124",0.277206651284408,0.975138402136522
"125",0.940904003281551,0.999490789587033
"126",0.835942545573209,0.999490789587033
"127",0.17112466197541,0.929382350621256
"128",0.988831164987674,0.999490789587033
"129",0.937514474124691,0.999490789587033
"130",0.182340127513313,0.940729743231742
"131",0.929268247641649,0.999490789587033
"132",0.715659380999887,0.999490789587033
"133",0.821362878115271,0.999490789587033
"134",0.213177462959713,0.957642407533994
"136",0.432412216257912,0.999490789587033
"137",0.870998622630391,0.999490789587033
"138",0.409360393632947,0.999490789587033
"140",0.87435955556174,0.999490789587033
"142",0.182010497089139,0.940674417973757
"143",0.204917812494713,0.953546794459453
"144",0.579755427976502,0.999490789587033
"145",0.127689232259013,0.894273706770666
"146",0.571727925420034,0.999490789587033
"147",0.197262290008155,0.953087223713998
"148",0.398888472053915,0.999490789587033
"150",0.948077487364731,0.999490789587033
"151",0.450765083008157,0.999490789587033
"152",0.625624486381902,0.999490789587033
"153",0.864403472210627,0.999490789587033
"155",0.0195815202664008,0.633466979337681
"156",0.881825029860617,0.999490789587033
"157",0.975496449592052,0.999490789587033
"158",0.457676692500302,0.999490789587033
"159",0.747369814279383,0.999490789587033
"181",0.134562016613664,0.900527498393341
"182",0.535310342818321,0.999490789587033
"183",0.20045842133921,0.953087223713998
"184",0.345893327546597,0.992319474600455
"185",0.517918488291206,0.999490789587033
"186",0.955742109236582,0.999490789587033
"187",0.0775469598961211,0.834118627115808
"188",0.800474144350344,0.999490789587033
"189",0.535223698483265,0.999490789587033
"190",0.206761970586696,0.954379963463317
"192",0.736923994058834,0.999490789587033
"193",0.654285165929303,0.999490789587033
