"gene","agilent_id","gene_symbol","P.Value_mac","logFC_mac","adj.P.Val_mac","P.Value_extra","logFC_extra","adj.P.Val_extra","meta_p","meta_logFC","meta_fdr"
157,157,"CNOT8",0.121930169813605,-0.237741306537151,0.932337304308334,0.957456540668723,-0.0102756782278975,0.998724044244072,0.367480973729395,-0.124008492382524,0.944790143841298
158,158,"",0.789246607953971,-0.0561701461194279,0.985646769422013,0.829495327483387,0.0507047242423924,0.991279918760218,0.932006615583307,-0.00273271093851775,0.993873979046685
159,159,"ZNF300",0.541273421907536,0.0788639227546513,0.965034555629502,0.346219244824182,-0.186044316579699,0.945954220831098,0.501201943588835,-0.0535901969125238,0.96058062972819
181,181,"PRKAA2",0.459580461428567,0.128487298183289,0.96209064717787,0.120854268457374,0.281849432119378,0.889154479811327,0.216093334977289,0.205168365151334,0.916822448171564
182,182,"OBP2A",0.314562899132006,-0.123821174467357,0.950221501216618,0.84067732210598,0.0330115416240904,0.991865797817237,0.616190300689181,-0.0454048164216333,0.969843169291041
183,183,"AMY2B",0.202661266916523,-0.1715384661496,0.932337304308334,0.358149097427339,-0.155853246679333,0.947928036588641,0.262969858904486,-0.163695856414466,0.927403966538583
184,184,"ATG5",0.86907842540848,-0.0208968508121968,0.98958991574926,0.836262663380814,0.0314483832953628,0.991865797817237,0.958717673289977,0.005275766241583,0.996088224539971
185,185,"CCNA1",0.740032661631137,-0.0554554031262417,0.981486546707002,0.863011204236879,-0.030329756131031,0.993043440709064,0.925022738176511,-0.0428925796286364,0.99367197076616
186,186,"",0.848019175542365,0.0239968388908046,0.989533661470643,0.937927405020213,0.0140083659465858,0.997563570009883,0.977470649074066,0.0190026024186952,0.997357128171135
187,187,"",0.812140607822293,-0.0331936435569591,0.987458188364899,0.44668811495059,-0.124569103733939,0.958097618570063,0.730617400406874,-0.078881373645449,0.97874342886302
188,188,"SERP1",0.0565978325634281,-0.319733641633088,0.932337304308334,0.330918770145695,-0.161477030698633,0.944102565694778,0.0932281432798745,-0.24060533616586,0.872679350837936
189,189,"MAOB",0.576515596295597,-0.10718071601465,0.96807907442526,0.148422763203955,0.23816495898499,0.903763481199702,0.295932220430254,0.06549212148517,0.934440474408703
190,190,"CASD1",0.20343704778559,-0.183169798693731,0.932337304308334,0.805724688176158,0.0398333529964526,0.98952960934056,0.460338726117977,-0.0716682228486392,0.958172453441409
192,192,"WAPAL",0.0263667704300716,-0.314674277780296,0.932337304308334,0.735948896509702,0.0570986235826368,0.984638657824143,0.0959022724674889,-0.12878782709883,0.874659941537275
193,193,"PANX1",0.0308722166200887,-0.410568168220927,0.932337304308334,0.155431436803597,-0.222174589717002,0.906562721029496,0.0304199293308474,-0.316371378968965,0.793718987794326
194,194,"PAQR4",0.936016954794157,0.0130280388036651,0.99476050371846,0.314217580019429,0.208321942279468,0.94149744383267,0.654045888994974,0.110674990541567,0.973177564895105
195,195,"HSD11B2",0.441699169091311,-0.123194653415198,0.960629275041912,0.70057671562054,-0.0745859229888493,0.982420638776788,0.672415227293469,-0.0988902882020237,0.975140889097558
196,196,"NEB",0.765043785073309,0.0422119641049714,0.983219715985623,0.518631940132601,-0.123267974381504,0.964195092812979,0.763549275422253,-0.0405280051382663,0.982347204465724
197,197,"SCYL2",0.103848666193253,-0.18588048175346,0.932337304308334,0.503022378238553,0.0946213527217813,0.962892306170494,0.206442306445985,-0.0456295645158394,0.914518141420234
198,198,"FER1L4",0.497150532131036,-0.0932115638545278,0.963769568130646,0.481355560801629,0.106753205686169,0.960633675511017,0.581516749899336,0.0067708209158206,0.967886202834172
199,199,"MYH15",0.0180431662056546,0.293590186890833,0.909984184349076,0.219913496574872,0.288962618957619,0.923833906652268,0.0259086734171172,0.291276402924226,0.783958673582344
200,200,"CLOCK",0.439550278113329,-0.0907728169649477,0.960619773563923,0.786407945436598,0.0354567451605385,0.988058784428016,0.712860689994908,-0.0276580359022046,0.976945826446209
201,201,"SNRPN",0.521485960618727,0.108065346121452,0.964348438364856,0.435142180449089,0.144894125467648,0.957815013822447,0.563478953745619,0.12647973579455,0.965891073060518
202,202,"FAM108A1",0.446916305556057,-0.093885599224883,0.961746347931823,0.882288915604239,-0.0207928442917306,0.994045871251698,0.761261286069571,-0.0573392217583068,0.982333431929443
203,203,"GPR120",0.805855765507421,-0.0301359015734334,0.987401843451988,0.940488776946024,0.0125181259994342,0.997920335577832,0.967992311031139,-0.0088088877869996,0.996692851429678
204,204,"C1GALT1",0.828951740973139,-0.0295521778236969,0.988705253949548,0.460183627660322,0.118541478978475,0.958775171406341,0.749101457483471,0.044494650577389,0.980510795494067
205,205,"TRIM36",0.374374362511627,0.153431020435278,0.954952906762331,0.0803211308140664,0.364251462270548,0.861723043327004,0.135442717602953,0.258841241352913,0.894601021324279
206,206,"CXCL2",0.748037784416024,0.118090936175513,0.981999794228613,0.270043731464296,0.293724721186049,0.933734994776079,0.525101153292818,0.205907828680781,0.961724853832058
207,207,"",0.233859461480888,-0.156163173330109,0.93913748548582,0.251969140894817,-0.161253521108527,0.930550032712992,0.225771579095172,-0.158708347219318,0.918884859533956
208,208,"S100PBP",0.905630804315485,-0.0171253033980238,0.991833182508484,0.506879885249741,0.112561337587223,0.963021905602721,0.816461474482643,0.0477180170945996,0.983822457426192
210,210,"LOC100128361",0.316143087445051,-0.151549223531702,0.950492526600213,0.818573397629252,0.0397671689891307,0.990675339218474,0.608601396637553,-0.0558910272712856,0.969802043869209
211,211,"",0.777224039825444,-0.0388683754148054,0.984513062972565,0.958453694661608,0.00840765270205314,0.998724044244072,0.964286788641252,-0.0152303613563761,0.996447855708849
