"gene","P.Value_mac","logFC_mac","adj.P.Val_mac","P.Value_extra","logFC_extra","adj.P.Val_extra","meta_p","meta_logFC","meta_fdr"
142,0.856036829186333,0.0290818655043555,0.995147381943071,0.482334516504141,0.133020559521686,0.99327312253652,0.778127190635388,0.0810512125130207,0.992293565683675
143,0.118826317923802,0.224753655882292,0.933048070137976,0.098576487640055,0.316891168167354,0.991236084654385,0.0638035055505487,0.270822412024823,0.974688714097658
144,0.524248635368874,-0.106773011217717,0.975416700333257,0.40608610647468,0.140478543572936,0.99309461845979,0.542226638613203,0.0168527661776095,0.97870236634515
145,0.375732500675078,-0.143027205603124,0.95428729971256,0.156962655429713,0.249615434207796,0.991236084654385,0.225914840176644,0.053294114302336,0.974688714097658
146,0.985122419762195,0.00361395811261654,0.999469162923583,0.648942491904489,-0.0950121656115411,0.993712648026315,0.925305502653677,-0.0456991037494623,0.996703507574304
147,0.838343591071822,0.0301151001208826,0.994540941262659,0.803955905345062,-0.042047699066125,0.996270076660835,0.939906523259244,-0.0059662994726212,0.997784335987344
148,0.967157737142248,-0.0084505515588639,0.999445814739313,0.351235850760006,-0.17600502534664,0.991236084654385,0.706472017705293,-0.092227788452752,0.987537549647813
150,0.641148254437361,0.0673401726691944,0.980832826047637,0.423780421969897,-0.15233631252316,0.993271113887083,0.625748442049182,-0.0424980699269828,0.981921061778061
151,0.565789126607735,0.0888756395899412,0.975785183188167,0.0487879276542208,0.320610716846965,0.991236084654385,0.126695537430582,0.204743178218453,0.974688714097658
152,0.905890785515587,-0.0223280066729386,0.996328493991424,0.953702449556542,-0.011292794148729,0.99852846686056,0.990294416416139,-0.0168104004108338,0.999517057179898
153,0.399097878209247,0.138292433009761,0.955225511183837,0.360555955444868,-0.175482220584146,0.991236084654385,0.422864226588056,-0.0185948937871925,0.974688714097658
155,0.277617241661931,-0.187810805602514,0.940508377186256,0.48596159271734,-0.158889877863297,0.99327312253652,0.405157252307781,-0.173350341732906,0.974688714097658
156,0.820850651484977,-0.0468187380005909,0.994540941262659,0.39738255414164,0.206394667631997,0.99309461845979,0.691614518607643,0.079787964815703,0.986983023979382
157,0.212535184208168,-0.237472598605969,0.933570018484562,0.7045058115604,0.0731440360218098,0.99380305157248,0.434059847351066,-0.0821642812920796,0.974688714097658
158,0.778704306524674,0.069322223927226,0.992643268850092,0.280411631228581,-0.276654912744187,0.991236084654385,0.550615372233485,-0.103666344408481,0.978731480058221
159,0.0317441450363081,0.322243895316088,0.933048070137976,0.256688376745182,-0.261696407996461,0.991236084654385,0.0473414379039098,0.0302737436598135,0.974688714097658
181,0.211359277702045,0.25060381319166,0.933048070137976,0.831829067512459,0.0430413005408327,0.996270076660835,0.481437890005925,0.146822556866246,0.975804551632154
182,0.366373568197978,-0.137224066943571,0.95410785036033,0.281244807111152,-0.200615582497208,0.991236084654385,0.337214129168304,-0.16891982472039,0.974688714097658
183,0.453463543398399,-0.131536717602165,0.963503753503238,0.325823854658754,-0.196724902907448,0.991236084654385,0.43028106379846,-0.164130810254807,0.974688714097658
184,0.551254432143813,0.0796248297753426,0.97561922896555,0.0912079082394248,0.303263541789301,0.991236084654385,0.200620939329641,0.191444185782322,0.974688714097658
185,0.746851281985057,-0.0641808653833868,0.989771835627743,0.578858812279523,0.107441120583203,0.99327312253652,0.794860106041162,0.0216301275999081,0.993330235293962
186,0.0344406360072765,-0.305702127565551,0.933048070137976,0.331331101988794,-0.165287639996548,0.991236084654385,0.0624555638387992,-0.235494883781049,0.974688714097658
187,0.575182845635242,0.0953509176148504,0.976810136278258,0.481602466539458,-0.126433891968596,0.99327312253652,0.632607529102011,-0.0155414871768728,0.982683067101441
188,0.1222673538509,-0.288359773381154,0.933048070137976,0.688767390817644,-0.0799758469921348,0.993712648026315,0.292592046521449,-0.184167810186644,0.974688714097658
189,0.410215181501396,-0.183684145499209,0.95794980602214,0.748558026846166,-0.0653914594305412,0.995959475906969,0.669621110474574,-0.124537802464875,0.983808662828266
