"gene","agilent_id","gene_symbol","P.Value_mac","logFC_mac","adj.P.Val_mac","P.Value_extra","logFC_extra","adj.P.Val_extra","meta_p","meta_logFC","meta_fdr"
63,63,"",0.410349600553015,0.0956610082245457,0.867133442102897,0.220013635738626,0.182941116910642,0.854219608454892,0.30739492464426,0.139301062567594,0.815677801790601
64,64,"EPHA2",0.786309287569776,0.0333088250600491,0.966036913524153,0.335075141736202,-0.155492608827397,0.899650755272978,0.614894036711607,-0.0610918918836739,0.919117446961842
65,65,"SYT2",0.488385536007817,0.082993767402723,0.893880113197894,0.16888715207631,0.228627355652102,0.830654438269304,0.288289145650899,0.155810561527412,0.80632068842942
66,66,"TMEM97",0.332077312233887,-0.145522244882907,0.837908166754223,0.98924595475183,0.00171757373229147,0.999621277498661,0.694199090533541,-0.0719023355753078,0.937720025247693
67,67,"SLC22A23",0.186774609054729,0.199779140622788,0.762117732010735,0.632964990187862,0.0700697393525613,0.958975102666357,0.370648106812665,0.134924439987675,0.83977747396372
68,68,"",0.97295391576867,0.00471941575729148,0.996321691724664,0.141806250417303,0.206699171624798,0.81392983067392,0.411251676631799,0.105709293691045,0.854460520868455
69,69,"SET",0.0865996832645309,-0.278525907839684,0.68564835720261,0.0534109419143394,0.443706628579963,0.735144541318352,0.0294922826667119,0.0825903603701395,0.541062815424748
70,70,"",0.24996943287277,-0.149177125173071,0.797612530561866,0.902056459146854,-0.0181450929448124,0.990676954882633,0.561347573622803,-0.0836611090589417,0.905794063542045
71,71,"SP5",0.464878689929358,0.170215400139401,0.886590029783198,0.0112763316728956,0.726350434124611,0.624203246267034,0.0327686786782448,0.448282917132006,0.554455626859469
73,73,"",0.069763420597837,-0.360543636569772,0.669907184588717,0.0797302936378042,-0.360395547535434,0.767764639769569,0.0344401173506775,-0.360469592052603,0.563835299584353
74,74,"",0.362911254822913,-0.105411782758013,0.849961174096071,0.338222227950701,0.116623377936766,0.90205051061851,0.380219860946889,0.0056057975893765,0.842710855312978
96,96,"ICA1",0.889259814953227,0.0229152261612611,0.984938326035454,0.282430409927757,0.158948594240596,0.885858911935526,0.598170734069109,0.0909319102009285,0.915333040831414
97,97,"SAMD9L",0.639825180250095,-0.0935090609451808,0.937094288807006,0.64632544699303,-0.0924232964166419,0.961280193319688,0.778692093607373,-0.0929661786809114,0.958027933915702
99,99,"OR8D1",0.729850446768246,-0.0385095267596677,0.955039411774544,0.0391444429515186,0.258035636906782,0.706391533135408,0.130146262009005,0.109763055073557,0.705419358309937
100,100,"BOK",0.549954094082523,0.0837460758804319,0.91239411549573,0.191071201410863,0.199426034000427,0.839754968475973,0.341829618156755,0.141586054940429,0.826736239329935
101,101,"",0.0627409256950747,-0.244302805337007,0.658347842611983,0.373543061377348,-0.122120306396515,0.912379537226974,0.11140424560583,-0.183211555866761,0.682032860958491
102,102,"C6orf120",0.877593365165481,-0.0147433330278034,0.983290457636429,0.057409017760026,0.180996472996197,0.743202651619086,0.200928849823782,0.0831265699841968,0.756620393348187
103,103,"NLE1",0.822843441286004,-0.031513861019042,0.973898652085374,0.0287018660651879,0.240995356916805,0.690925801312266,0.112081819521302,0.104740747948881,0.683205474184956
104,104,"RRM1",0.205212001321756,-0.143358391409671,0.775025291290014,0.259379804722733,0.105296103527456,0.876706869786101,0.209354366892934,-0.0190311439411075,0.762213878285985
106,106,"UBE2K",0.0465795366580021,-0.218476859659062,0.634545928520019,0.0274762306970464,0.222905197379111,0.685741217758777,0.00980481412651413,0.0022141688600245,0.449242081461132
107,107,"",0.158456881316266,-0.158381874416812,0.74232345371409,0.750213606556065,0.0429626402587916,0.97627808781065,0.372044250308878,-0.0577096170790102,0.840152801424542
108,108,"C1orf115",0.0311690878612267,-0.274795266676522,0.601428313838495,0.216056954474791,0.128219987280336,0.851974398730143,0.0404094369962079,-0.073287639698093,0.580513986280492
109,109,"HSPD1",0.570548490805246,-0.103995739470729,0.917551381844631,0.579187397840633,0.135861859686104,0.950299152756466,0.696362235686767,0.0159330601076875,0.938019075486786
110,110,"",0.305034394097024,-0.0949529812474037,0.824694711134587,0.0362135963975819,0.210239026499391,0.702605207476174,0.060817585763499,0.0576430226259936,0.620934892660571
111,111,"ATP6V1C2",0.451473433128689,-0.108060933722876,0.881154413208751,0.445011253620768,0.105749945348709,0.92480209501079,0.52335132110845,-0.00115549418708349,0.894136349820811
112,112,"FLJ22536",0.668022921736987,-0.0628646649257015,0.942141329349969,0.116011621149591,-0.203145732880734,0.798066521331076,0.275700458634101,-0.133005198903218,0.800616977742585
113,113,"NRL",0.673172620009984,0.100335983707285,0.943355804894616,0.519329804879985,-0.178604707480795,0.94190153799623,0.717016120387079,-0.039134361886755,0.942618148450862
114,114,"BRD3",0.0100841857765024,0.436103259997923,0.545108618865374,0.37946439900082,0.171220353500477,0.912869820984195,0.0251245499170709,0.3036618067492,0.521763191960907
115,115,"COX18",0.448548897631502,0.0873710270042172,0.879996948464904,0.332859278847992,-0.113580131448504,0.899451015861456,0.433245343330302,-0.0131045522221434,0.863673661162254
116,116,"TSHR",0.633892399698779,0.0483182442582552,0.936055767608498,0.869440060846778,0.0208944353260729,0.988685133676824,0.879485608041283,0.034606339792164,0.975968792611908
118,118,"OR12D2",0.183643421323636,0.130705566759899,0.759171874536718,0.978311728607159,0.00327420454418733,0.998870093765077,0.488081244873844,0.0669898856520432,0.881290192794753
119,119,"LRP10",0.118898996725133,-0.192537133726621,0.71436804139096,0.673332561331876,-0.04754106829982,0.966167650395781,0.282206191948249,-0.120039101013221,0.80277367183429
120,120,"PRRG2",0.374206852019212,-0.118225807399012,0.854448704209606,0.461218283586348,-0.111861591608182,0.927642029590247,0.475804231693599,-0.115043699503597,0.877666517427028
121,121,"SLC8A3",0.293175414819103,-0.12280489028521,0.817364335486939,0.887777540316176,0.0171240773158154,0.990040641080671,0.610608840817147,-0.0528404064846973,0.918656460888444
123,123,"",0.409261089810562,-0.117111962167451,0.867117527031048,0.507140403854085,-0.0936622878365276,0.938388019165672,0.533902549273642,-0.105387125001989,0.897436841702751
124,124,"",0.363940609910478,-0.118688314021205,0.850338285775761,0.967730173310883,-0.005810271892848,0.998110451616755,0.719736601145065,-0.0622492929570265,0.943002600465872
125,125,"C2orf53",0.328431856498573,-0.103787502179542,0.835428505218832,0.213787200277329,-0.16098799584937,0.850926310602942,0.256718357490863,-0.132387749014456,0.791474115324182
126,126,"ORMDL3",0.382377992800838,-0.0805986110331792,0.857411535829391,0.433070017205955,0.0927053613103244,0.922910459566051,0.463372219624667,0.0060533751385726,0.874130517745136
127,127,"FAM134A",0.618602786691803,-0.0425614888687918,0.931901758861577,0.577307836072238,-0.0695557612521466,0.950227104160247,0.724844904567433,-0.0560586250604692,0.944451034038081
