perturbation_id,target_gene
106_ACTL6A_P1P2_ENSG00000136518,ACTL6A
10700_ZNHIT2_P1P2_ENSG00000174276,ZNHIT2
10701_ZNHIT3_P1P2_ENSG00000273611,ZNHIT3
10702_ZNHIT6_P1P2_ENSG00000117174,ZNHIT6
10703_ZNRD1_P1P2_ENSG00000066379,ZNRD1
10706_ZRANB2_P1P2_ENSG00000132485,ZRANB2
10708_ZRSR2_P1P2_ENSG00000169249,ZRSR2
10736_ZW10_P1P2_ENSG00000086827,ZW10
10738_ZWINT_P1P2_ENSG00000122952,ZWINT
10746_AC118549.1_P1P2_ENSG00000036549,AC118549.1
10755_non-targeting_non-targeting_non-targeting,non-targeting
10756_non-targeting_non-targeting_non-targeting,non-targeting
10758_non-targeting_non-targeting_non-targeting,non-targeting
10759_non-targeting_non-targeting_non-targeting,non-targeting
10764_non-targeting_non-targeting_non-targeting,non-targeting
10767_non-targeting_non-targeting_non-targeting,non-targeting
10771_non-targeting_non-targeting_non-targeting,non-targeting
10779_non-targeting_non-targeting_non-targeting,non-targeting
10780_non-targeting_non-targeting_non-targeting,non-targeting
10784_non-targeting_non-targeting_non-targeting,non-targeting
10785_non-targeting_non-targeting_non-targeting,non-targeting
10786_non-targeting_non-targeting_non-targeting,non-targeting
10787_non-targeting_non-targeting_non-targeting,non-targeting
10788_non-targeting_non-targeting_non-targeting,non-targeting
10791_non-targeting_non-targeting_non-targeting,non-targeting
10792_non-targeting_non-targeting_non-targeting,non-targeting
10793_non-targeting_non-targeting_non-targeting,non-targeting
10798_non-targeting_non-targeting_non-targeting,non-targeting
10799_non-targeting_non-targeting_non-targeting,non-targeting
10801_non-targeting_non-targeting_non-targeting,non-targeting
10804_non-targeting_non-targeting_non-targeting,non-targeting
10806_non-targeting_non-targeting_non-targeting,non-targeting
10819_non-targeting_non-targeting_non-targeting,non-targeting
10821_non-targeting_non-targeting_non-targeting,non-targeting
10825_non-targeting_non-targeting_non-targeting,non-targeting
10829_non-targeting_non-targeting_non-targeting,non-targeting
10831_non-targeting_non-targeting_non-targeting,non-targeting
10836_non-targeting_non-targeting_non-targeting,non-targeting
1083_NEPRO_P1P2_ENSG00000163608,NEPRO
10841_non-targeting_non-targeting_non-targeting,non-targeting
10844_non-targeting_non-targeting_non-targeting,non-targeting
10859_non-targeting_non-targeting_non-targeting,non-targeting
10862_non-targeting_non-targeting_non-targeting,non-targeting
10864_non-targeting_non-targeting_non-targeting,non-targeting
10869_non-targeting_non-targeting_non-targeting,non-targeting
10873_non-targeting_non-targeting_non-targeting,non-targeting
10876_non-targeting_non-targeting_non-targeting,non-targeting
10887_non-targeting_non-targeting_non-targeting,non-targeting
10894_non-targeting_non-targeting_non-targeting,non-targeting
10908_non-targeting_non-targeting_non-targeting,non-targeting
10916_non-targeting_non-targeting_non-targeting,non-targeting
10922_non-targeting_non-targeting_non-targeting,non-targeting
10923_non-targeting_non-targeting_non-targeting,non-targeting
10936_non-targeting_non-targeting_non-targeting,non-targeting
10937_non-targeting_non-targeting_non-targeting,non-targeting
10939_non-targeting_non-targeting_non-targeting,non-targeting
10943_non-targeting_non-targeting_non-targeting,non-targeting
10947_non-targeting_non-targeting_non-targeting,non-targeting
10951_non-targeting_non-targeting_non-targeting,non-targeting
10952_non-targeting_non-targeting_non-targeting,non-targeting
10953_non-targeting_non-targeting_non-targeting,non-targeting
10963_non-targeting_non-targeting_non-targeting,non-targeting
10967_non-targeting_non-targeting_non-targeting,non-targeting
10974_non-targeting_non-targeting_non-targeting,non-targeting
10994_non-targeting_non-targeting_non-targeting,non-targeting
10995_non-targeting_non-targeting_non-targeting,non-targeting
10997_non-targeting_non-targeting_non-targeting,non-targeting
109_ACTR10_P1P2_ENSG00000131966,ACTR10
10_AARS2_P1P2_ENSG00000124608,AARS2
11002_non-targeting_non-targeting_non-targeting,non-targeting
11003_non-targeting_non-targeting_non-targeting,non-targeting
1100_C5orf30_P1P2_ENSG00000181751,C5orf30
11010_non-targeting_non-targeting_non-targeting,non-targeting
11012_non-targeting_non-targeting_non-targeting,non-targeting
11017_non-targeting_non-targeting_non-targeting,non-targeting
11023_non-targeting_non-targeting_non-targeting,non-targeting
11025_non-targeting_non-targeting_non-targeting,non-targeting
11026_non-targeting_non-targeting_non-targeting,non-targeting
11028_non-targeting_non-targeting_non-targeting,non-targeting
11029_non-targeting_non-targeting_non-targeting,non-targeting
11044_non-targeting_non-targeting_non-targeting,non-targeting
11048_non-targeting_non-targeting_non-targeting,non-targeting
11067_non-targeting_non-targeting_non-targeting,non-targeting
11068_non-targeting_non-targeting_non-targeting,non-targeting
11073_non-targeting_non-targeting_non-targeting,non-targeting
1107_C6orf15_P1P2_ENSG00000204542,C6orf15
11082_non-targeting_non-targeting_non-targeting,non-targeting
11085_non-targeting_non-targeting_non-targeting,non-targeting
11087_non-targeting_non-targeting_non-targeting,non-targeting
11095_non-targeting_non-targeting_non-targeting,non-targeting
11096_non-targeting_non-targeting_non-targeting,non-targeting
110_ACTR1A_P1P2_ENSG00000138107,ACTR1A
11102_non-targeting_non-targeting_non-targeting,non-targeting
11107_non-targeting_non-targeting_non-targeting,non-targeting
11113_non-targeting_non-targeting_non-targeting,non-targeting
11119_non-targeting_non-targeting_non-targeting,non-targeting
11122_non-targeting_non-targeting_non-targeting,non-targeting
11124_non-targeting_non-targeting_non-targeting,non-targeting
11129_non-targeting_non-targeting_non-targeting,non-targeting
11133_non-targeting_non-targeting_non-targeting,non-targeting
11136_non-targeting_non-targeting_non-targeting,non-targeting
11142_non-targeting_non-targeting_non-targeting,non-targeting
11143_non-targeting_non-targeting_non-targeting,non-targeting
11153_non-targeting_non-targeting_non-targeting,non-targeting
11163_non-targeting_non-targeting_non-targeting,non-targeting
