perturbation_id,target_gene
10186_ZNF177_P1_ENSG00000188629,ZNF177
10187_ZNF177_P2_ENSG00000188629,ZNF177
10188_ZNF17_P1P2_ENSG00000186272,ZNF17
10189_ZNF180_P1P2_ENSG00000167384,ZNF180
1018_C19orf47_P2_ENSG00000160392,C19orf47
10190_ZNF181_P1P2_ENSG00000197841,ZNF181
10191_ZNF182_P1P2_ENSG00000147118,ZNF182
10192_ZNF184_P1P2_ENSG00000096654,ZNF184
10193_ZNF189_P1P2_ENSG00000136870,ZNF189
10194_ZNF18_P1P2_ENSG00000154957,ZNF18
10195_ZNF195_P1P2_ENSG00000005801,ZNF195
10196_ZNF197_P1P2_ENSG00000186448,ZNF197
10197_ZNF19_P1P2_ENSG00000157429,ZNF19
10198_ZNF200_P1P2_ENSG00000010539,ZNF200
10199_ZNF202_P1P2_ENSG00000166261,ZNF202
1019_C19orf47_P1_ENSG00000160392,C19orf47
101_ACSL4_P1P2_ENSG00000068366,ACSL4
10200_ZNF205_P1P2_ENSG00000122386,ZNF205
10201_ZNF207_P2_ENSG00000010244,ZNF207
10202_ZNF207_P1_ENSG00000010244,ZNF207
10203_ZNF208_P1P2_ENSG00000160321,ZNF208
10204_ZNF20_P1_ENSG00000132010,ZNF20
10205_ZNF20_P2_ENSG00000132010,ZNF20
10206_ZNF211_P1P2_ENSG00000121417,ZNF211
10207_ZNF212_P1P2_ENSG00000170260,ZNF212
10208_ZNF213_P1P2_ENSG00000085644,ZNF213
10209_ZNF214_P1P2_ENSG00000149050,ZNF214
1020_C19orf48_P1P2_ENSG00000167747,C19orf48
10210_ZNF215_P1P2_ENSG00000149054,ZNF215
10211_ZNF217_P1_ENSG00000171940,ZNF217
10212_ZNF217_P2_ENSG00000171940,ZNF217
10213_ZNF219_P1P2_ENSG00000165804,ZNF219
10214_ZNF221_P1P2_ENSG00000159905,ZNF221
10215_ZNF222_P1P2_ENSG00000159885,ZNF222
10216_ZNF223_P1P2_ENSG00000178386,ZNF223
10217_ZNF224_P1P2_ENSG00000267680,ZNF224
10218_ZNF225_P1P2_ENSG00000256294,ZNF225
10219_ZNF226_P1_ENSG00000167380,ZNF226
1021_TIMM29_P1P2_ENSG00000142444,TIMM29
10220_ZNF226_P2_ENSG00000167380,ZNF226
10221_ZNF227_P1P2_ENSG00000131115,ZNF227
10222_ZNF229_P1P2_ENSG00000278318,ZNF229
10223_ZNF22_P1P2_ENSG00000165512,ZNF22
10224_ZNF230_P1P2_ENSG00000159882,ZNF230
10225_ZNF232_P1_ENSG00000167840,ZNF232
10226_ZNF232_P2_ENSG00000167840,ZNF232
10227_ZNF233_P1P2_ENSG00000159915,ZNF233
10228_ZNF234_P1_ENSG00000263002,ZNF234
1022_C19orf53_P1P2_ENSG00000104979,C19orf53
10230_ZNF235_P1P2_ENSG00000159917,ZNF235
10231_ZNF236_P1P2_ENSG00000130856,ZNF236
10232_ZNF239_P1P2_ENSG00000196793,ZNF239
10233_ZNF23_P1_ENSG00000167377,ZNF23
10234_ZNF23_P2_ENSG00000167377,ZNF23
10235_ZNF248_P1P2_ENSG00000198105,ZNF248
10236_ZNF24_P1P2_ENSG00000172466,ZNF24
10237_ZNF250_P1P2_ENSG00000196150,ZNF250
10238_ZNF251_P1P2_ENSG00000198169,ZNF251
10239_ZNF253_P1P2_ENSG00000256771,ZNF253
1023_C19orf54_P1P2_ENSG00000188493,C19orf54
10240_ZNF254_ENST00000357002.4_ENSG00000213096,ZNF254
10241_ZNF256_P1P2_ENSG00000152454,ZNF256
10242_ZNF257_P1P2_ENSG00000197134,ZNF257
10243_ZNF25_P1P2_ENSG00000175395,ZNF25
10244_ZNF260_P1P2_ENSG00000254004,ZNF260
10245_ZNF263_P1_ENSG00000006194,ZNF263
10246_ZNF263_P2_ENSG00000006194,ZNF263
10247_ZNF264_P1P2_ENSG00000083844,ZNF264
10248_ZNF266_P1P2_ENSG00000174652,ZNF266
10249_ZNF267_P1_ENSG00000185947,ZNF267
1024_REX1BD_P1P2_ENSG00000006015,REX1BD
10250_ZNF267_P2_ENSG00000185947,ZNF267
10251_ZNF268_P1P2_ENSG00000090612,ZNF268
10252_ZNF26_P1P2_ENSG00000198393,ZNF26
10253_ZNF273_P2_ENSG00000198039,ZNF273
10254_ZNF273_P1_ENSG00000198039,ZNF273
10255_ZNF274_P1P2_ENSG00000171606,ZNF274
10256_ZNF275_P1P2_ENSG00000063587,ZNF275
10257_ZNF276_P1P2_ENSG00000158805,ZNF276
10258_ZNF277_P1P2_ENSG00000198839,ZNF277
10259_ZNF280A_P1P2_ENSG00000169548,ZNF280A
1025_SHFL_P1P2_ENSG00000130813,SHFL
10260_ZNF280B_P1P2_ENSG00000275004,ZNF280B
10261_ZNF280C_P1P2_ENSG00000056277,ZNF280C
10262_ZNF280D_P1P2_ENSG00000137871,ZNF280D
10263_ZNF281_P1P2_ENSG00000162702,ZNF281
10264_ZNF282_P1P2_ENSG00000170265,ZNF282
10265_ZNF283_P1P2_ENSG00000167637,ZNF283
10266_ZNF284_ENST00000421176.3_ENSG00000186026,ZNF284
"10267_ZNF285_ENST00000330997.4,ENST00000544719.2_ENSG00000267508",ZNF285
10268_ZNF286A_P1P2_ENSG00000187607,ZNF286A
10269_ZNF286B_P1P2_nan,ZNF286B
1026_MICOS13_P1P2_ENSG00000174917,MICOS13
10270_ZNF287_P1P2_ENSG00000141040,ZNF287
10271_ZNF28_P1P2_ENSG00000198538,ZNF28
10272_ZNF292_P1P2_ENSG00000188994,ZNF292
10273_ZNF296_P1P2_ENSG00000170684,ZNF296
10274_ZNF2_P1P2_ENSG00000275111,ZNF2
10275_ZNF300_P1P2_ENSG00000145908,ZNF300
10276_ZNF302_P1P2_ENSG00000089335,ZNF302
10277_ZNF304_P1P2_ENSG00000131845,ZNF304
10278_ZNF30_P1P2_ENSG00000168661,ZNF30
10279_ZNF311_P1P2_ENSG00000197935,ZNF311
1027_C19orf73_P1P2_ENSG00000221916,C19orf73
10280_ZNF317_P1P2_ENSG00000130803,ZNF317
10281_ZNF318_P1P2_ENSG00000171467,ZNF318
10282_ZNF319_P1_ENSG00000166188,ZNF319
10283_ZNF319_P2_ENSG00000166188,ZNF319
10284_ZNF320_P1P2_ENSG00000182986,ZNF320
10285_ZNF322_P1P2_ENSG00000181315,ZNF322
10286_ZNF324B_P1P2_ENSG00000249471,ZNF324B
10287_ZNF324_P1P2_ENSG00000083812,ZNF324
10288_ZNF326_P1P2_ENSG00000162664,ZNF326
10289_ZNF329_P2_ENSG00000181894,ZNF329
1028_C19orf81_P1P2_ENSG00000235034,C19orf81
10290_ZNF329_P1_ENSG00000181894,ZNF329
10291_ZNF32_P1P2_ENSG00000169740,ZNF32
10292_ZNF330_P1P2_ENSG00000109445,ZNF330
10293_ZNF331_P2_ENSG00000130844,ZNF331
10294_ZNF331_P1_ENSG00000130844,ZNF331
10295_ZNF333_P1P2_ENSG00000160961,ZNF333
10296_ZNF334_P1P2_ENSG00000198185,ZNF334
10297_ZNF335_P1P2_ENSG00000198026,ZNF335
10298_ZNF337_P1P2_ENSG00000130684,ZNF337
10299_ZNF33A_P1P2_ENSG00000189180,ZNF33A
1029_C1D_P1P2_ENSG00000197223,C1D
102_ACSM3_P1P2_ENSG00000005187,ACSM3
10300_ZNF33B_P1P2_ENSG00000196693,ZNF33B
10301_ZNF341_P2_ENSG00000131061,ZNF341
10302_ZNF341_P1_ENSG00000131061,ZNF341
10303_ZNF343_P1P2_ENSG00000088876,ZNF343
10304_ZNF345_P1P2_ENSG00000251247,ZNF345
10305_ZNF346_P1P2_ENSG00000113761,ZNF346
10306_ZNF347_P1P2_ENSG00000197937,ZNF347
10307_ZNF34_P1P2_ENSG00000196378,ZNF34
10308_ZNF350_P1P2_ENSG00000256683,ZNF350
10309_ZNF354A_P1P2_ENSG00000169131,ZNF354A
1030_C1GALT1C1_P1P2_ENSG00000171155,C1GALT1C1
10310_ZNF354B_P1P2_ENSG00000178338,ZNF354B
10311_ZNF354C_P1P2_ENSG00000177932,ZNF354C
10312_ZNF358_P1_ENSG00000198816,ZNF358
10313_ZNF358_P2_ENSG00000198816,ZNF358
10314_ZNF35_P1P2_ENSG00000169981,ZNF35
10315_ZNF362_P1P2_ENSG00000160094,ZNF362
