pathway,NES_H2O2,Padj_H2O2,NES_Rescue,Padj_Rescue
AMIT_EGF_RESPONSE_40_HELA,1.5271702220400902,0.22263650290634457,0.7378305640569718,0.9264949351767675
AMIT_EGF_RESPONSE_40_MCF10A,-0.9476618708412947,0.7980784828057726,-0.7439912491268557,0.8872297631523048
AMIT_EGF_RESPONSE_480_HELA,1.2638904690459518,0.3501011358199978,-2.1170641369110124,2.5411467495149166e-6
AMIT_EGF_RESPONSE_480_MCF10A,1.299154622067443,0.44855806160084927,-1.3411443506455027,0.331136403785489
AMIT_EGF_RESPONSE_60_HELA,1.5963941313770291,0.21569720932542222,-1.4518907366258247,0.2415643358571398
AMIT_EGF_RESPONSE_60_MCF10A,1.3831129048950437,0.35400499227847976,-1.711271978650493,0.08382792530037818
AMIT_SERUM_RESPONSE_120_MCF10A,1.3364683665664445,0.37163016436233126,-1.3502810291363057,0.2927832401516612
AMIT_SERUM_RESPONSE_240_MCF10A,0.8528228246260967,0.8857819103972949,-1.3829751944405815,0.2659300236812137
AMIT_SERUM_RESPONSE_40_MCF10A,1.409139275762855,0.3179163505486259,-0.837452499212558,0.8305644203789778
AMIT_SERUM_RESPONSE_480_MCF10A,-0.8224481865110459,0.9223892916377907,-1.5909508301248958,0.1917744120820276
AMIT_SERUM_RESPONSE_60_MCF10A,1.056749370911661,0.6904519469312911,-1.5637581299896084,0.1721974806446237
AMUNDSON_DNA_DAMAGE_RESPONSE_TP53,1.7288181163799075,0.04545696015451839,-0.9794200027341997,0.7115414649383102
AMUNDSON_RESPONSE_TO_ARSENITE,-0.946186629769056,0.8567950361428621,-0.8624572878602219,0.8519080423370718
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE,0.620492030799691,0.9966279723085274,-2.0343629345684384,0.0013576770106952585
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1,0.8530330132543124,0.8837783135993834,-0.9395879104182083,0.7397886758088708
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2,1.361307650184442,0.22147000397298372,1.3942432146017554,0.17956140294154874
ANDERSEN_LIVER_CANCER_KRT19_DN,1.5553233687936174,0.13317981039959448,0.7480534382319778,0.9438735750594196
ANDERSEN_LIVER_CANCER_KRT19_UP,-0.9776850143571892,0.7728583545377439,-1.5407864212489444,0.19352134633217583
APPEL_IMATINIB_RESPONSE,1.3850472499399444,0.3392239910423056,1.3887889336292623,0.260446208813021
APPIERTO_RESPONSE_TO_FENRETINIDE_DN,-1.309309263947341,0.39211583382305676,-1.5048149067790384,0.2001195719811125
APPIERTO_RESPONSE_TO_FENRETINIDE_UP,1.234604149353325,0.4893484553348747,-0.9603965141958536,0.7221081050502213
APRELIKOVA_BRCA1_TARGETS,-0.9574521301925071,0.7627718382562757,-1.5051190309848208,0.19523660010498894
ARMIGNACCO_SEVERE_COVID19_RISK_EN_NEG,-0.9768461374741143,0.7776326241227869,-0.7474661646498917,0.886635277073524
ARMIGNACCO_SEVERE_COVID19_RISK_EN_POS,0.6062888935315245,0.9814037932736374,-0.731397875507305,0.8941377903948118
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN,-1.1664913162685275,0.5273633445700736,-0.8862454438027169,0.7899095992432678
ASTIER_INTEGRIN_SIGNALING,-1.4074369083944698,0.24527326758258325,-1.0567288430036665,0.6227321635517621
ASTON_MAJOR_DEPRESSIVE_DISORDER_DN,0.7894265135081361,0.9571098533548105,-1.0549362512503648,0.5979197381285196
ASTON_MAJOR_DEPRESSIVE_DISORDER_UP,-0.9491784200079955,0.7746730360858601,-1.580366277349248,0.1626465736862063
AUNG_GASTRIC_CANCER,0.704254150069799,0.9642350538333965,1.2524712486805087,0.3932032888509438
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN,1.319899502425732,0.466649306459733,-0.8702107307270229,0.7956121928840861
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP,0.8540937221104071,0.9141419680875954,-1.2347206197123497,0.3708668410761808
AZARE_STAT3_TARGETS,-1.167689221162188,0.5622914239450248,-0.8614373330572141,0.8016782810356509
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN,-1.1364957585086688,0.5141703320187896,0.8845123080805573,0.8083330271139622
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP,-1.4488638949483439,0.33501091241045833,-1.5356907737140713,0.2018914240999683
BAELDE_DIABETIC_NEPHROPATHY_DN,-1.2661642738668695,0.07520591194392835,-1.1551791548449026,0.4142111601766359
BAELDE_DIABETIC_NEPHROPATHY_UP,1.3641343709446125,0.30773993633782043,-1.3362110413156127,0.30780317531809476
BAE_BRCA1_TARGETS_DN,-0.9611261780174183,0.779518911768659,-0.7869002428876465,0.8581346579039971
BAE_BRCA1_TARGETS_UP,-0.7560132040672988,0.9798802063538361,-1.1125731158807275,0.5596753221167106
BAKKER_FOXO3_TARGETS_DN,-1.104475970999041,0.5124859392575928,-1.069772937520289,0.5739590009288431
BAKKER_FOXO3_TARGETS_UP,-1.4024071683757915,0.2998367161055225,-0.9926944869357569,0.6906843696027634
BALDWIN_PRKCI_TARGETS_UP,-1.4868014620102865,0.2110905146064633,0.832370605842908,0.8423823663379049
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN,1.2730456137951012,0.45803675553946993,-1.4995785810411264,0.2049825174825175
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN,1.5751648166291519,0.05610048990238633,-1.3700392734189017,0.22049752294466005
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP,-1.3621914685664036,0.3899158841940532,0.8045767557006751,0.840303157603134
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN,0.8144444038472831,0.8982392621983631,-1.289339827792679,0.38653846153846155
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP,-1.0617667292313913,0.707231182076725,-0.6904126921528665,0.9129197741804062
BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN,1.6480397996187064,0.11607938267060364,0.965157133883334,0.7303833110677217
BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP,-0.8948977590789805,0.8417974594567454,-1.6587450989549462,0.17199005271909418
