gene,n_appearances,appears_in
GAPDH,3,Age_RPE1; AMD-Macula_RPE1; Senescence_RPE1
PSMB2,3,Age_RPE1; AMD-nonMacula_RPE1; Redox_RPE1
SLC35G2,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
TIMM8A,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
PSMA4,3,Age_RPE1; AMD-nonMacula_RPE1; Redox_RPE1
GPR61,3,Senescence_RPE1; Redox_RPE1; Senescence_K562_GWPS
FBXO42,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1
NDUFS3,3,Senescence_RPE1; Inflammation_RPE1; Inflammation_K562_GWPS
NARS,3,Age_RPE1; Redox_RPE1; Age_K562_GWPS
CDC73,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Redox_RPE1
ELOF1,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; AMD-Macula_K562_GWPS
SDHD,3,AMD-Macula_RPE1; Senescence_RPE1; Senescence_K562_GWPS
FDXR,3,AMD-nonMacula_RPE1; Senescence_RPE1; Inflammation_RPE1
RPE,3,Senescence_RPE1; Redox_RPE1; AMD-Macula_K562_GWPS
C9ORF78,3,Age_RPE1; AMD-nonMacula_RPE1; Senescence_K562_GWPS
UQCRC1,3,Inflammation_RPE1; Redox_K562_GWPS; Inflammation_K562_GWPS
C16ORF86,3,Age_RPE1; AMD-Macula_RPE1; Senescence_RPE1
ACTR1B,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
ZRSR2,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1
GPKOW,3,Age_RPE1; AMD-Macula_RPE1; Redox_RPE1
DEPDC5,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
PRSS50,2,AMD-nonMacula_RPE1; AMD-Macula_K562_GWPS
RNMT,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
SH3BGR,2,AMD-Macula_K562_GWPS; Inflammation_K562_GWPS
INO80C,2,AMD-nonMacula_RPE1; Inflammation_K562_GWPS
MOB3A,2,AMD-nonMacula_K562_GWPS; Inflammation_K562_GWPS
GEMIN4,2,Age_RPE1; Age_K562_GWPS
SNIP1,2,AMD-nonMacula_RPE1; Redox_RPE1
FAM32A,2,AMD-nonMacula_RPE1; Age_K562_GWPS
SNRPC,2,Age_RPE1; AMD-nonMacula_RPE1
RASGRP2,2,Senescence_K562_GWPS; Inflammation_K562_GWPS
