pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,perturbation_id,target_gene
Redox-PRO,0.05,0.1625,-0.370346256350411,-1.79365113758665,0,232,ATP5MC3|ATP5MC1|LDHA|ETFB|TXN|ATP5PO|CYC1|NDUFC2|CYCS|ATP5F1B|FH|SLC25A5|MRPL11|ATP5PF|PRDX6|NDUFS8|ATP6V0B|PRDX1|COX5A|PHB2|SUCLG1|NDUFS7|NDUFS6|IDH2|VDAC3|NDUFB8|VDAC2|NDUFA7|TIMM10|NDUFS4|ATP5MG|NDUFV2|NDUFA9|MDH1|MPC1|ATP5F1C|GLRX2|VDAC1|ATP5F1A|POLR2F|ATP1B1|PRDX3|HCCS|ATP5PB|ATP5MC2|PRDX2|IDH3B|NDUFB5|COX17|LDHB|NDUFC1|ALAS1|SLC25A4|ECHS1|HSD17B10|NDUFA4|CYB5A|CDKN2D|LRPPRC|PMPCA|COX7A2|UQCRQ|PDHA1|HSPA9|SLC25A3|NDUFB3|CS|MRPS22|NNT|NDUFB4|SLC25A11|ATP5F1D|ATP5ME|PDHX|MSRA|UQCRC2|ATP6V0C|MBP|NQO1|GCLM|RHOT2|NDUFS2|MRPL35|ATP6V1D|ATP6V1H|GOT2|COX15|STK25|NDUFV1|SDHD|AIFM1|ACADM|IDH3A|HTRA2|MTX2|NDUFS1|LAMTOR5|ETFDH,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
Redox-ANTI,0.124416796267496,0.194252873563218,0.622774983281506,1.33954782164549,79,10,HMOX1|SOD2,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
Inflammation-PRO,0.00101214574898785,0.00715859030837005,0.555446868016544,1.96270890831003,0,268,PLAT|CTSB|SPSB1|RHOB|ITGA5|CCND1|RHOG|BTG1|CD9|DCBLD2|TPBG|TIMP1|SPHK1|EHD1|PHLDA1|MET|IL6ST|MMP14|LRP1|EMP3|TIMP2|G0S2|IL1B|HMOX1|VEGFA|CD44|CTSL|PANX1|RIPK2|BMP2|IL17RA|DYRK2|RABIF|CTSH|LGALS3|CPQ|CD59|DUSP6|MARCKS|LIF|SOD2|PNRC1|PLAUR|JUN|VCPIP1|DNAJB4|LAMP2|S100A13|ABCA1|ZEB1|ATOX1|TNFRSF1A|PHLDA2|SDC4|CDH13|EIF1|BIRC2|KLF2|TNFAIP8|KIF1B|RAF1|KLF6|CFLAR|IRF9|PRDM4|FOSL1|LPAR1|IRF2|SGMS2|HSPA1A|PTX3|TNIP1|ATP2B1|PDP1|ADAM9|NFIL3|PTPRE|STAM2|MAP2K3|JUNB|SH2B3|BHLHE40|TANK|HRH1,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
Inflammation-ANTI,0.0947630922693267,0.185714285714286,0.476819665252471,1.37859262815215,75,39,METRNL|MDK|MFHAS1|GRN|TNFRSF1A|SIRPA|FNDC4|CYLD|MAPK7|FURIN|PTPN2|SHARPIN,10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
Age-UP,0.0552763819095477,0.17964824120603,-0.26939072513515,-1.25515102982003,10,141,COL8A1|SFRP1|CTSD|ALDH1A3|GALNT10|APLP2|SOX9|MANBAL|ST3GAL3|FHL3|TMEM161A|ACY1|FADS2|TTC7A|PEMT|PFKL|C9orf16|SEC14L2|DENND1A|PCOLCE2|LSR|SLC16A14|BCKDHA|NFX1|SCARB1|GPC1|CHCHD5|PEX16|PAQR4|RDH5|STK24,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
Age-DOWN,0.518218623481781,0.61244019138756,-0.222579120096733,-0.973026649231212,127,80,TPM1|PHF19|MEST|NRP1|PLA2G4A|CNTNAP3|EDEM3|PPIC|CETN3|NIPSNAP3A|AGPAT4|EFNB2|ARMCX2|LIMA1|DDAH2|CGGBP1|SLC38A2|HERC4|MLLT3,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
ARE,0.390663390663391,0.507862407862408,0.253964169321135,1.03793342282043,317,151,EGR1|MT1X|KLF6|EDN1|LIF|PIK3R3|JUN|HMOX1|SOD1|HSPA1B|TXNIP|MAFG|PRDX1|NAB2|PLK1|PPP1R35|JUND|PPP2CB|CDKN2C|TK1|PSMD12|DPP7|CHEK1,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
AMD-Macula-UP,0.0859106529209622,0.223367697594502,-0.317155011382287,-1.30182980276594,24,57,TPM1|FLNA|RECK|DSTN|TAGLN|MYL9|HSD17B4|CPS1|GALK2|PCMTD1|TBC1D8B|TBCK|PLAGL1|C2CD2|TRHDE|STK38|HERC4,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
AMD-Macula-DOWN,0.388888888888889,0.507862407862408,-0.291492584778488,-1.03502068598144,125,32,SFRP1|PSAP|VEPH1|THOP1|TRAP1|SNHG4|AMTN|C17orf58,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
AMD-nonMacula-UP,0.921951219512195,0.921951219512195,-0.180250287135932,-0.823337692018656,188,129,FAM229B|ERGIC1|ZNF444|CDH2|FAM216A|PLA2R1|PNMA2|CPS1|ZDHHC16|ITSN1|HMGN1|AGPAT4|TBCK|C2CD2|NCAPD2|CACNB3|MLH3|C1orf21|WEE1|GOLGA3|ARPIN|AKAP1|TUSC3|THSD4|DNMBP|PATJ|SEPTIN6|TRIM32|ATP2B4|FAM20B|MEGF8|ABLIM3|NRAV|NRK|PTMS|P3H4|CEP126|STXBP4|ARHGAP10|SHC3|TAF8|CHST7|SCD5|GATD1|ATP8B2|LINC02762|KCNMA1|GOLIM4|SV2A|PRXL2B,10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
