Perturbation,Gene_Target,Axis_Score
9925_YEATS2_P1P2_ENSG00000163872,YEATS2,0.07318422
8446_SSBP1_P1P2_ENSG00000106028,SSBP1,0.073125444
7522_RPS2_P1P2_ENSG00000140988,RPS2,0.07280486
3445_GNL2_P1P2_ENSG00000134697,GNL2,0.07214109
5731_NOC4L_P1P2_ENSG00000184967,NOC4L,0.071913
7169_RBM28_P1P2_ENSG00000106344,RBM28,0.07183992
6860_PSMC3_P1P2_ENSG00000165916,PSMC3,0.07145358
7482_RPLP0_P1P2_ENSG00000089157,RPLP0,0.07144557
9303_TRMT112_P1P2_ENSG00000173113,TRMT112,0.07096768
9839_WDR74_P1_ENSG00000133316,WDR74,0.07027907
3566_GTF2A1_P1P2_ENSG00000165417,GTF2A1,0.069947
62_ABT1_P1P2_ENSG00000146109,ABT1,0.0697417
7442_RPL18A_P1P2_ENSG00000105640,RPL18A,0.06924364
2545_EIF3B_P1P2_ENSG00000106263,EIF3B,0.069032855
9480_UBA3_P1P2_ENSG00000144744,UBA3,0.068878
4780_MAK16_P1P2_ENSG00000198042,MAK16,0.06809916
2785_EXOC8_P1P2_ENSG00000116903,EXOC8,0.06785442
939_BYSL_P1P2_ENSG00000112578,BYSL,0.06710807
9831_WDR5_P1P2_ENSG00000196363,WDR5,0.06647383
7492_RPP38_P1P2_ENSG00000152464,RPP38,0.06634373
5600_NELFCD_P1P2_ENSG00000101158,NELFCD,0.06633992
6872_PSMD4_P1P2_ENSG00000159352,PSMD4,0.0651696
5745_NOP10_P1P2_ENSG00000182117,NOP10,0.0643833
1284_CCDC59_P1P2_ENSG00000133773,CCDC59,0.064270705
815_BDP1_P1P2_ENSG00000145734,BDP1,0.062034033
1365_CD3EAP_P1P2_ENSG00000117877,CD3EAP,0.061793283
9218_TPT1_P1P2_ENSG00000133112,TPT1,0.06142759
7483_RPLP1_P1P2_ENSG00000137818,RPLP1,0.060891457
4868_MAU2_P1P2_ENSG00000129933,MAU2,0.060886834
8658_TAF1C_P1P2_ENSG00000103168,TAF1C,0.060626276
5732_NOL10_P1P2_ENSG00000115761,NOL10,0.06021799
5879_NUFIP1_P1P2_ENSG00000083635,NUFIP1,0.06001492
7566_RRP7A_P1P2_ENSG00000189306,RRP7A,0.05964801
7648_SAP18_P1P2_ENSG00000150459,SAP18,0.059513748
