Perturbation,Gene_Target,Axis_Score
5869_NUDT21_P1P2_ENSG00000167005,NUDT21,0.064963944
7511_RPS21_P1P2_ENSG00000171858,RPS21,0.064929135
3571_GTF2F1_P1P2_ENSG00000125651,GTF2F1,0.064901516
3214_FTSJ3_P1P2_ENSG00000108592,FTSJ3,0.06483944
2111_DDX21_P1P2_ENSG00000165732,DDX21,0.064565286
7492_RPP38_P1P2_ENSG00000152464,RPP38,0.064502425
7937_SKA1_P1P2_ENSG00000154839,SKA1,0.06434195
5667_NHP2_P1P2_ENSG00000145912,NHP2,0.064330705
216_AIFM1_P1P2_ENSG00000156709,AIFM1,0.06423233
8923_TIMM44_P1P2_ENSG00000104980,TIMM44,0.06409051
2796_EXOSC9_P1P2_ENSG00000123737,EXOSC9,0.06391042
9164_TOMM22_P1P2_ENSG00000100216,TOMM22,0.06390873
6135_PCNA_P1P2_ENSG00000132646,PCNA,0.06390821
1296_CCDC78_P1P2_ENSG00000162004,CCDC78,0.06376335
8184_SMN2_ENST00000380743.4_ENSG00000205571,SMN2,0.06374992
4153_INTS8_P1P2_ENSG00000164941,INTS8,0.06368768
9925_YEATS2_P1P2_ENSG00000163872,YEATS2,0.063066565
4902_MCM5_P1P2_ENSG00000100297,MCM5,0.062811494
2852_FAM133B_P1P2_ENSG00000234545,FAM133B,0.06275182
2787_EXOSC10_P1P2_ENSG00000171824,EXOSC10,0.06266495
8109_SLC7A6OS_P1P2_ENSG00000103061,SLC7A6OS,0.062631845
9257_TREX2_P1P2_ENSG00000183479,TREX2,0.062171355
5205_MRPL21_P1P2_ENSG00000197345,MRPL21,0.062152565
7466_RPL36_P1P2_ENSG00000130255,RPL36,0.061983354
7449_RPL23A_P1P2_ENSG00000198242,RPL23A,0.061653905
7823_SETDB1_P1P2_ENSG00000143379,SETDB1,0.061454643
6574_POP1_P1P2_ENSG00000104356,POP1,0.06111481
9366_TSR2_P1P2_ENSG00000158526,TSR2,0.0610359
5432_NAA50_P1P2_ENSG00000121579,NAA50,0.060993064
7498_RPS10_P1P2_ENSG00000124614,RPS10,0.060789805
2321_DNTTIP2_P1P2_ENSG00000067334,DNTTIP2,0.06078904
3568_GTF2B_P1P2_ENSG00000137947,GTF2B,0.06076732
5861_NUDC_P1P2_ENSG00000090273,NUDC,0.060697634
1843_CPSF4_P1P2_ENSG00000160917,CPSF4,0.060474593
7482_RPLP0_P1P2_ENSG00000089157,RPLP0,0.06041921
7566_RRP7A_P1P2_ENSG00000189306,RRP7A,0.060358677
7142_RBBP6_P1P2_ENSG00000122257,RBBP6,0.060274407
8594_SUPT16H_P1P2_ENSG00000092201,SUPT16H,0.060248293
7443_RPL18_P1P2_ENSG00000063177,RPL18,0.060219306
3640_HAUS7_P1_ENSG00000213397,HAUS7,0.059894424
10663_ZNF830_P1P2_ENSG00000198783,ZNF830,0.059857894
2795_EXOSC8_P1P2_ENSG00000120699,EXOSC8,0.059837528
2382_DSN1_P1P2_ENSG00000149636,DSN1,0.05977961
5430_NAA38_P1P2_ENSG00000183011,NAA38,0.059741806
8660_TAF1D_P1_ENSG00000166012,TAF1D,0.05964049
6195_PDRG1_P1P2_ENSG00000088356,PDRG1,0.059523266
9117_TMX2_P1P2_ENSG00000213593,TMX2,0.059339393
7536_RPS6_P1P2_ENSG00000137154,RPS6,0.05930055
2087_DDB1_P1_ENSG00000167986,DDB1,0.059190013
7444_RPL19_P1P2_ENSG00000108298,RPL19,0.0591613
4506_LAMTOR2_P1P2_ENSG00000116586,LAMTOR2,0.059149772
876_BORA_P1P2_ENSG00000136122,BORA,0.05902445
2421_DYNC1H1_P1P2_ENSG00000197102,DYNC1H1,0.058966488
7206_RCL1_P1P2_ENSG00000120158,RCL1,0.058868438
7400_RNGTT_P1P2_ENSG00000111880,RNGTT,0.058815986
8446_SSBP1_P1P2_ENSG00000106028,SSBP1,0.05878003
7474_RPL4_P1P2_ENSG00000174444,RPL4,0.05875553
7438_RPL14_P1P2_ENSG00000188846,RPL14,0.058474924
4899_MCM3AP_P1P2_ENSG00000160294,MCM3AP,0.05845142
7454_RPL27A_P1P2_ENSG00000166441,RPL27A,0.058420975
1083_NEPRO_P1P2_ENSG00000163608,NEPRO,0.057877123
176_AFG3L2_P1P2_ENSG00000141385,AFG3L2,0.05774463
4868_MAU2_P1P2_ENSG00000129933,MAU2,0.05741797
6533_POLR1A_P1P2_ENSG00000068654,POLR1A,0.057376698
3577_GTF2H4_P1P2_ENSG00000213780,GTF2H4,0.05719767
4152_INTS7_P1P2_ENSG00000143493,INTS7,0.057162322
7508_RPS19BP1_P1P2_ENSG00000187051,RPS19BP1,0.057075832
4270_KANSL1_P1P2_ENSG00000120071,KANSL1,0.057055045
4954_MED31_P1P2_ENSG00000108590,MED31,0.056671526
7996_SLC25A26_ENST00000354883.6_ENSG00000144741,SLC25A26,0.056549467
9364_TSR1_P1_ENSG00000167721,TSR1,0.056503877
5888_NUP155_P1P2_ENSG00000113569,NUP155,0.05643586
7519_RPS28_P1P2_ENSG00000233927,RPS28,0.056402605
9816_WDR36_P1P2_ENSG00000134987,WDR36,0.056368515
2218_DHX9_P1P2_ENSG00000135829,DHX9,0.05636676
7832_SF3A2_P2_ENSG00000104897,SF3A2,0.056343753
5263_MRPS34_P1P2_ENSG00000074071,MRPS34,0.05631499
6152_PDCD11_P1P2_ENSG00000148843,PDCD11,0.05624413
5518_NDC1_P1P2_ENSG00000058804,NDC1,0.05616708
9824_WDR46_P1P2_ENSG00000227057,WDR46,0.056005515
7441_RPL17_P1P2_ENSG00000265681,RPL17,0.055947218
2292_DNAJC19_P1P2_ENSG00000205981,DNAJC19,0.055909842
7431_RPL10A_P1P2_ENSG00000198755,RPL10A,0.055862613
7538_RPS8_P1P2_ENSG00000142937,RPS8,0.055623494
6871_PSMD3_P1P2_ENSG00000108344,PSMD3,0.055617202
8167_SMG6_P1P2_ENSG00000070366,SMG6,0.055413544
5224_MRPL41_P1P2_ENSG00000182154,MRPL41,0.05541183
7477_RPL7A_P1P2_ENSG00000148303,RPL7A,0.054883614
7540_RPSA_P1P2_ENSG00000168028,RPSA,0.054860957
9678_USPL1_P1P2_ENSG00000132952,USPL1,0.054812513
7419_RPA2_P1P2_ENSG00000117748,RPA2,0.054660253
978_C14orf178_P1P2_ENSG00000197734,C14orf178,0.054651458
3654_HBS1L_P1P2_ENSG00000112339,HBS1L,0.05463234
106_ACTL6A_P1P2_ENSG00000136518,ACTL6A,0.05421653
8904_TICRR_P1P2_ENSG00000140534,TICRR,0.05415476
1482_CENPI_P1P2_ENSG00000102384,CENPI,0.054107334
8832_TFAM_P1P2_ENSG00000108064,TFAM,0.05404697
9400_TTK_P1P2_ENSG00000112742,TTK,0.053985715
2694_ERCC2_P1P2_ENSG00000104884,ERCC2,0.0539815
1927_CTCF_P1P2_ENSG00000102974,CTCF,0.053886384
4716_LUC7L3_P1P2_ENSG00000108848,LUC7L3,0.053872842
1667_CLNS1A_P1P2_ENSG00000074201,CLNS1A,0.053758785
1475_CENPA_P2_ENSG00000115163,CENPA,0.053683724
9683_UTP18_P1P2_ENSG00000011260,UTP18,0.05367859
5519_NDC80_P1P2_ENSG00000080986,NDC80,0.053588066
825_BGLAP_P1P2_ENSG00000242252,BGLAP,0.053466085
9685_UTP23_P1P2_ENSG00000147679,UTP23,0.053340744
5733_NOL11_P1P2_ENSG00000130935,NOL11,0.053222902
1029_C1D_P1P2_ENSG00000197223,C1D,0.053173553
7539_RPS9_P1P2_ENSG00000170889,RPS9,0.053063042
968_C12orf60_P1P2_ENSG00000182993,C12orf60,0.052985452
7425_RPE_P1P2_ENSG00000197713,RPE,0.052959062
8208_SNAPC4_P1P2_ENSG00000165684,SNAPC4,0.052863866
1588_CHMP6_P1P2_ENSG00000176108,CHMP6,0.052795332
3335_GEMIN4_P1P2_ENSG00000179409,GEMIN4,0.052791256
9222_TRA2B_P1P2_ENSG00000136527,TRA2B,0.05265065
7512_RPS23_P1P2_ENSG00000186468,RPS23,0.052550733
5190_MRGBP_P1P2_ENSG00000101189,MRGBP,0.052459735
1839_CPSF1_P1P2_ENSG00000071894,CPSF1,0.052416664
1781_COPS5_P1P2_ENSG00000121022,COPS5,0.052352473
507_ARL2_P1P2_ENSG00000213465,ARL2,0.052222535
3388_GLE1_P1P2_ENSG00000119392,GLE1,0.052071683
1966_CUL7_P1P2_ENSG00000044090,CUL7,0.052041005
5740_NOM1_P1P2_ENSG00000146909,NOM1,0.051986404
2925_FAM50A_P1P2_ENSG00000071859,FAM50A,0.051894028
4949_MED26_P1P2_ENSG00000105085,MED26,0.05182784
