Perturbation,Gene_Target,Axis_Score
1581_CHMP2A_P1P2_ENSG00000130724,CHMP2A,0.15026909
7117_RARS_P1P2_ENSG00000113643,RARS,0.15004134
4945_MED22_P1P2_ENSG00000148297,MED22,0.14978403
1346_CCT2_P1P2_ENSG00000166226,CCT2,0.14847071
8040_SLC35A4_P1P2_ENSG00000176087,SLC35A4,0.14839795
2162_DERL2_P1P2_ENSG00000072849,DERL2,0.14829646
11328_non-targeting_non-targeting_non-targeting,non-targeting,0.14807642
10737_ZWILCH_P1P2_ENSG00000174442,ZWILCH,0.14764439
6981_QARS_P1P2_ENSG00000172053,QARS,0.14656033
7247_RFC3_P1P2_ENSG00000133119,RFC3,0.14629479
1742_COG3_P1P2_ENSG00000136152,COG3,0.14608425
2222_DICER1_P1P2_ENSG00000100697,DICER1,0.14487009
6548_POLR2G_P1P2_ENSG00000168002,POLR2G,0.1445471
2858_FAM136A_P1P2_ENSG00000035141,FAM136A,0.14441293
5468_NARS_P1P2_ENSG00000134440,NARS,0.14401121
1408_CDC5L_P1P2_ENSG00000096401,CDC5L,0.14366937
3950_HSD17B12_P1P2_ENSG00000149084,HSD17B12,0.14295796
6963_PWP2_P1P2_ENSG00000241945,PWP2,0.14189388
7516_RPS27A_P1P2_ENSG00000143947,RPS27A,0.14148086
7527_RPS5_P1P2_ENSG00000083845,RPS5,0.14132175
1876_CRLF3_P1P2_ENSG00000176390,CRLF3,0.14119945
2175_DGCR8_P1P2_ENSG00000128191,DGCR8,0.1408638
7509_RPS19_P1P2_ENSG00000105372,RPS19,0.14063361
7062_RAD21_P1P2_ENSG00000164754,RAD21,0.14061041
6731_PRDM8_P2_ENSG00000152784,PRDM8,0.14038345
7466_RPL36_P1P2_ENSG00000130255,RPL36,0.13999611
9383_TTC27_P1P2_ENSG00000018699,TTC27,0.13996814
2382_DSN1_P1P2_ENSG00000149636,DSN1,0.13968137
862_BNIP1_P1P2_ENSG00000113734,BNIP1,0.13947658
1197_CARS_P1P2_ENSG00000110619,CARS,0.13918954
10558_ZNF695_ENST00000339986.7_ENSG00000197472,ZNF695,0.1382634
6152_PDCD11_P1P2_ENSG00000148843,PDCD11,0.13776852
6748_PRIM2_P1P2_ENSG00000146143,PRIM2,0.13742092
5430_NAA38_P1P2_ENSG00000183011,NAA38,0.13718536
4994_METTL16_P1P2_ENSG00000127804,METTL16,0.13702033
7050_RABGGTA_P1P2_ENSG00000100949,RABGGTA,0.13642
4472_KRR1_P1P2_ENSG00000111615,KRR1,0.13619706
4312_POGLUT3_P1P2_ENSG00000178202,POGLUT3,0.13602589
10751_non-targeting_non-targeting_non-targeting,non-targeting,0.13537848
1419_CDIPT_P1P2_ENSG00000103502,CDIPT,0.13494608
5426_NAA20_P1P2_ENSG00000173418,NAA20,0.13486935
1941_CTPS1_P1P2_ENSG00000171793,CTPS1,0.13424097
505_ARL1_P1P2_ENSG00000120805,ARL1,0.13418175
8661_TAF1_P1P2_ENSG00000147133,TAF1,0.13367882
8184_SMN2_ENST00000380743.4_ENSG00000205571,SMN2,0.13310775
9366_TSR2_P1P2_ENSG00000158526,TSR2,0.13274744
4888_MBTPS2_P1P2_ENSG00000012174,MBTPS2,0.1326073
2124_DDX47_P1P2_ENSG00000213782,DDX47,0.13242318
1200_KNL1_P1P2_ENSG00000137812,KNL1,0.13215908
8680_TANGO6_P1P2_ENSG00000103047,TANGO6,0.1319226
377_AP2M1_P1_ENSG00000161203,AP2M1,0.13160373
5964_LTO1_P1P2_ENSG00000149716,LTO1,0.13156568
2622_EMG1_P1P2_ENSG00000126749,EMG1,0.1314466
7411_ROMO1_P1P2_ENSG00000125995,ROMO1,0.13106906
2105_DDX18_P1P2_ENSG00000088205,DDX18,0.13054028
7753_SEC61G_P1P2_ENSG00000132432,SEC61G,0.13010952
2487_EEF1G_P1P2_ENSG00000254772,EEF1G,0.13008328
5869_NUDT21_P1P2_ENSG00000167005,NUDT21,0.12924159
5748_NOP2_P1P2_ENSG00000111641,NOP2,0.1286243
7186_RBMX2_P1P2_ENSG00000134597,RBMX2,0.1285503
3986_HSPE1_P1P2_ENSG00000115541,HSPE1,0.12849644
6446_PLEKHJ1_P1P2_ENSG00000104886,PLEKHJ1,0.12819019
