Perturbation,Gene_Target,Axis_Score
5587_NEDD8-MDP1_P1P2_nan,NEDD8-MDP1,0.120850384
7536_RPS6_P1P2_ENSG00000137154,RPS6,0.12038744
6870_PSMD2_P1P2_ENSG00000175166,PSMD2,0.11915094
7478_RPL7L1_P1P2_ENSG00000146223,RPL7L1,0.119044684
4956_MED6_P1P2_ENSG00000133997,MED6,0.11880251
6549_POLR2H_P1P2_ENSG00000163882,POLR2H,0.118579246
10029_ZC3H8_P1P2_ENSG00000144161,ZC3H8,0.11773186
6574_POP1_P1P2_ENSG00000104356,POP1,0.11665448
10040_ZCCHC9_P1P2_ENSG00000131732,ZCCHC9,0.116250336
4932_MED12_P1P2_ENSG00000184634,MED12,0.11598691
1408_CDC5L_P1P2_ENSG00000096401,CDC5L,0.115591526
8155_SMC1A_P1P2_ENSG00000072501,SMC1A,0.11554893
3566_GTF2A1_P1P2_ENSG00000165417,GTF2A1,0.11534219
2561_EIF4A3_P1P2_ENSG00000141543,EIF4A3,0.11519308
4943_MED20_P1P2_ENSG00000124641,MED20,0.115121424
9117_TMX2_P1P2_ENSG00000213593,TMX2,0.11419489
2789_EXOSC2_P1P2_ENSG00000130713,EXOSC2,0.11413699
6050_PAM16_P1P2_ENSG00000217930,PAM16,0.11344876
4472_KRR1_P1P2_ENSG00000111615,KRR1,0.11280077
7466_RPL36_P1P2_ENSG00000130255,RPL36,0.111994006
6215_PELP1_P1P2_ENSG00000141456,PELP1,0.111871205
2132_DDX56_P1P2_ENSG00000136271,DDX56,0.11186565
7491_RPP30_P1P2_ENSG00000148688,RPP30,0.111562125
4108_IMP4_P1P2_ENSG00000136718,IMP4,0.1112914
8040_SLC35A4_P1P2_ENSG00000176087,SLC35A4,0.111155696
7561_RRP12_P1P2_ENSG00000052749,RRP12,0.11096289
1040_C1orf131_P1P2_ENSG00000143633,C1orf131,0.11090213
10703_ZNRD1_P1P2_ENSG00000066379,ZNRD1,0.10984063
6652_PPP1R10_P1P2_ENSG00000204569,PPP1R10,0.10932627
9831_WDR5_P1P2_ENSG00000196363,WDR5,0.10910878
8500_STAT6_P1P2_ENSG00000166888,STAT6,0.108976066
7441_RPL17_P1P2_ENSG00000265681,RPL17,0.1087395
1842_CPSF3_P1P2_ENSG00000119203,CPSF3,0.10831306
7455_RPL27_P1P2_ENSG00000131469,RPL27,0.107558854
6927_PTPN1_P1P2_ENSG00000196396,PTPN1,0.1073704
9364_TSR1_P1_ENSG00000167721,TSR1,0.10709775
8898_THUMPD1_P1P2_ENSG00000066654,THUMPD1,0.10676276
9682_UTP15_P1P2_ENSG00000164338,UTP15,0.10639774
5494_NCBP2_P1P2_ENSG00000114503,NCBP2,0.106212
8660_TAF1D_P1_ENSG00000166012,TAF1D,0.10588669
6493_PNO1_P1P2_ENSG00000115946,PNO1,0.10573069
7513_RPS24_P1P2_ENSG00000138326,RPS24,0.105436176
8594_SUPT16H_P1P2_ENSG00000092201,SUPT16H,0.10541227
4931_MED11_P1P2_ENSG00000161920,MED11,0.10528561
6537_POLR1D_P1_ENSG00000186184,POLR1D,0.10428313
9174_TOP1_P1P2_ENSG00000198900,TOP1,0.10408065
5746_NOP14_P1P2_ENSG00000087269,NOP14,0.10353432
9684_UTP20_P1P2_ENSG00000120800,UTP20,0.10296515
8738_TBL3_P1P2_ENSG00000183751,TBL3,0.102896236
4941_MED19_P1P2_ENSG00000156603,MED19,0.10261472
9916_YAE1_P1P2_ENSG00000241127,YAE1,0.10257094
4939_MED17_P1P2_ENSG00000042429,MED17,0.10254597
7487_RPP14_P1P2_ENSG00000163684,RPP14,0.10249474
5493_NCBP1_P1P2_ENSG00000136937,NCBP1,0.10237497
6154_PDCD2_P1P2_ENSG00000071994,PDCD2,0.10223317
7454_RPL27A_P1P2_ENSG00000166441,RPL27A,0.101597376
7444_RPL19_P1P2_ENSG00000108298,RPL19,0.10142536
1197_CARS_P1P2_ENSG00000110619,CARS,0.10128278
2213_DHX37_P1P2_ENSG00000150990,DHX37,0.10079488
5733_NOL11_P1P2_ENSG00000130935,NOL11,0.100794114
2658_EP400_P1P2_ENSG00000183495,EP400,0.10075825
2222_DICER1_P1P2_ENSG00000100697,DICER1,0.100743614
7163_RBM19_P1P2_ENSG00000122965,RBM19,0.100702286
9847_WDR82_P1P2_ENSG00000164091,WDR82,0.10035806
10231_ZNF236_P1P2_ENSG00000130856,ZNF236,0.10020075
6238_PFDN2_P1P2_ENSG00000143256,PFDN2,0.10010769
1844_CPSF6_P1P2_ENSG00000111605,CPSF6,0.09989507
7508_RPS19BP1_P1P2_ENSG00000187051,RPS19BP1,0.0996393
5731_NOC4L_P1P2_ENSG00000184967,NOC4L,0.09856907
1152_CAD_P1P2_ENSG00000084774,CAD,0.098161064
2205_DHX29_P1P2_ENSG00000067248,DHX29,0.0978983
7423_RPAP2_P1P2_ENSG00000122484,RPAP2,0.0974772
6887_PSMG4_P1P2_ENSG00000180822,PSMG4,0.09730252
6704_PPRC1_P1P2_ENSG00000148840,PPRC1,0.09727778
4682_LRSAM1_P1P2_ENSG00000148356,LRSAM1,0.09694917
4805_MAP2K7_P1P2_ENSG00000076984,MAP2K7,0.09683946
4684_LSG1_P1P2_ENSG00000041802,LSG1,0.09662563
6603_PPA1_P1P2_ENSG00000180817,PPA1,0.0964056
3134_FOLR3_P2_ENSG00000110203,FOLR3,0.09636999
6536_POLR1C_P1_ENSG00000171453,POLR1C,0.096190535
2622_EMG1_P1P2_ENSG00000126749,EMG1,0.096172266
5745_NOP10_P1P2_ENSG00000182117,NOP10,0.09473446
9587_UMPS_P1P2_ENSG00000114491,UMPS,0.09381559
5368_MYB_P1P2_ENSG00000118513,MYB,0.09367207
9687_UTP6_P1P2_ENSG00000108651,UTP6,0.093539715
4958_MED8_P1P2_ENSG00000159479,MED8,0.093479365
7497_RPS10-NUDT3_P1P2_ENSG00000270800,RPS10-NUDT3,0.09339833
10056_ZDHHC7_P1P2_ENSG00000153786,ZDHHC7,0.09327371
3916_HOXC6_P1P2_ENSG00000197757,HOXC6,0.092931755
6731_PRDM8_P2_ENSG00000152784,PRDM8,0.09278863
2128_DDX52_P1P2_ENSG00000278053,DDX52,0.09245953
547_ARRB2_P1P2_ENSG00000141480,ARRB2,0.09199228
8462_SSX2IP_P1P2_ENSG00000117155,SSX2IP,0.091882974
8669_TAF7_P1P2_ENSG00000178913,TAF7,0.09173127
1578_CHML_P1P2_ENSG00000203668,CHML,0.09139862
8741_TBP_P1P2_ENSG00000112592,TBP,0.091390796
9478_UBA1_P1_ENSG00000130985,UBA1,0.09131598
6575_POP4_P1P2_ENSG00000105171,POP4,0.09117807
9480_UBA3_P1P2_ENSG00000144744,UBA3,0.09089614
2321_DNTTIP2_P1P2_ENSG00000067334,DNTTIP2,0.09071811
4930_MED10_P1P2_ENSG00000133398,MED10,0.09044549
5900_NUP62_P1P2_ENSG00000213024,NUP62,0.09041625
4945_MED22_P1P2_ENSG00000148297,MED22,0.090221904
7566_RRP7A_P1P2_ENSG00000189306,RRP7A,0.090193726
1941_CTPS1_P1P2_ENSG00000171793,CTPS1,0.08998498
6152_PDCD11_P1P2_ENSG00000148843,PDCD11,0.08993066
7522_RPS2_P1P2_ENSG00000140988,RPS2,0.089826725
4686_LSM11_P1P2_ENSG00000155858,LSM11,0.08951949
1804_COTL1_P1P2_ENSG00000103187,COTL1,0.089087434
6541_POLR2B_P1P2_ENSG00000047315,POLR2B,0.08907034
3573_GTF2H1_P1P2_ENSG00000110768,GTF2H1,0.08890263
1365_CD3EAP_P1P2_ENSG00000117877,CD3EAP,0.088769205
4696_LSM6_P1P2_ENSG00000164167,LSM6,0.08848652
6576_POP5_P1P2_ENSG00000167272,POP5,0.08838991
9816_WDR36_P1P2_ENSG00000134987,WDR36,0.08810157
7499_RPS11_P1P2_ENSG00000142534,RPS11,0.08802981
7498_RPS10_P1P2_ENSG00000124614,RPS10,0.08802384
7243_REXO2_P1P2_ENSG00000076043,REXO2,0.087491445
2796_EXOSC9_P1P2_ENSG00000123737,EXOSC9,0.087403506
2487_EEF1G_P1P2_ENSG00000254772,EEF1G,0.0873793
9804_WDR12_P1P2_ENSG00000138442,WDR12,0.08724011
1610_CIAPIN1_P1P2_ENSG00000005194,CIAPIN1,0.087219745
2102_DDX10_P1P2_ENSG00000178105,DDX10,0.08719808
9400_TTK_P1P2_ENSG00000112742,TTK,0.087197654
4110_IMPA2_P1P2_ENSG00000141401,IMPA2,0.0870953
2731_ESF1_P1_ENSG00000089048,ESF1,0.08706621
9383_TTC27_P1P2_ENSG00000018699,TTC27,0.08701706
939_BYSL_P1P2_ENSG00000112578,BYSL,0.08667416
9390_TTC4_P1P2_ENSG00000243725,TTC4,0.086604506
3215_FUBP1_P1P2_ENSG00000162613,FUBP1,0.08606202
6533_POLR1A_P1P2_ENSG00000068654,POLR1A,0.085948706
8458_SSRP1_P1P2_ENSG00000149136,SSRP1,0.085826926
534_ARPC1B_P1P2_ENSG00000130429,ARPC1B,0.08581045
7469_RPL38_P1P2_ENSG00000172809,RPL38,0.0857732
6642_PPM1G_P1_ENSG00000115241,PPM1G,0.08571168
7431_RPL10A_P1P2_ENSG00000198755,RPL10A,0.08560756
4685_LSM10_P1P2_ENSG00000181817,LSM10,0.08559879
9925_YEATS2_P1P2_ENSG00000163872,YEATS2,0.08546134
9366_TSR2_P1P2_ENSG00000158526,TSR2,0.085363716
4554_LEPROTL1_P1P2_ENSG00000104660,LEPROTL1,0.08534926
5470_NAT10_P1P2_ENSG00000135372,NAT10,0.08529831
9818_WDR3_P1P2_ENSG00000065183,WDR3,0.08526743
1455_CDR2L_P1P2_ENSG00000109089,CDR2L,0.08511514
8184_SMN2_ENST00000380743.4_ENSG00000205571,SMN2,0.08476969
5649_NFKBIE_P1P2_ENSG00000146232,NFKBIE,0.084602304
7477_RPL7A_P1P2_ENSG00000148303,RPL7A,0.08455262
8791_TCOF1_P1P2_ENSG00000070814,TCOF1,0.08454585
7657_SARS_P1P2_ENSG00000031698,SARS,0.08450606
8656_TAF1A_P1P2_ENSG00000143498,TAF1A,0.084380515
2932_RIPOR1_P1_ENSG00000039523,RIPOR1,0.08392725
4937_MED15_P1_ENSG00000099917,MED15,0.08376661
9482_UBA52_P1_ENSG00000221983,UBA52,0.0837579
3731_HINFP_P1P2_ENSG00000172273,HINFP,0.083754145
7505_RPS16_P1P2_ENSG00000105193,RPS16,0.083703816
5730_NOC3L_P1P2_ENSG00000173145,NOC3L,0.08367217
2124_DDX47_P1P2_ENSG00000213782,DDX47,0.083610505
6539_POLR1E_P1P2_ENSG00000137054,POLR1E,0.08330145
2747_ESYT1_P1_ENSG00000139641,ESYT1,0.083149694
