Perturbation,Oxidative_Score,Inflammatory_Score,Senescence_Score
9915_XYLT2_P1P2_ENSG00000015532,-0.004504142,-0.035519037,0.005058487
9447_TXN2_P1P2_ENSG00000100348,-0.004759745,-0.035497997,-0.03892405
7287_RHEB_P1P2_ENSG00000106615,-0.068860345,-0.035493605,-0.0012640263
10219_ZNF226_P1_ENSG00000167380,0.011429827,-0.035486486,-0.040008258
5060_MICB_P1_ENSG00000204516,0.00974426,-0.035458636,-0.00686055
10837_non-targeting_non-targeting_non-targeting,0.037214655,-0.03537892,0.0133435745
4455_KNSTRN_P1P2_ENSG00000128944,0.019363785,-0.03515633,0.0013530776
83_ACIN1_P2_ENSG00000100813,0.006446189,-0.03507392,-0.057522442
274_ALG9_P1P2_ENSG00000086848,-0.013721151,-0.03502468,-0.030660545
4896_MCL1_P1P2_ENSG00000143384,0.02653233,-0.034969904,0.0015842026
10214_ZNF221_P1P2_ENSG00000159905,-0.0025781547,-0.03485688,-0.009626707
7494_RPRD1A_P1P2_ENSG00000141425,-0.10086238,-0.034852196,-0.05025914
8382_SPTA1_P1P2_ENSG00000163554,-0.0014150535,-0.034639962,0.027812192
1879_CRTAP_P1P2_ENSG00000170275,0.0044734124,-0.034541726,-0.002047404
5046_MGST3_P1P2_ENSG00000143198,0.0052256156,-0.034494463,-0.02826386
3289_GAS8_P1_ENSG00000141013,0.014720158,-0.03438378,-0.057505466
5421_EEF1AKMT1_P1P2_ENSG00000150456,0.019760542,-0.034306858,0.017629122
5686_NKRF_P1P2_ENSG00000186416,0.008704921,-0.034201436,-0.013077764
5194_MRPL11_P1P2_ENSG00000174547,-0.11844923,-0.034101874,-0.026260931
6995_R3HCC1_P2_ENSG00000104679,0.045610476,-0.03401164,0.010803274
4487_KXD1_P1P2_ENSG00000105700,0.011432588,-0.03387865,-0.0076718363
7127_RASSF3_P1P2_ENSG00000153179,0.032283604,-0.033825386,-0.030889716
2640_ENO1_P1P2_ENSG00000074800,-0.06846682,-0.033812296,-0.046948567
7804_SERPINB9_P1P2_ENSG00000170542,0.039596915,-0.033714525,0.00047042704
8813_TEF_P1_ENSG00000167074,-0.011961852,-0.033682153,-0.02003726
10227_ZNF233_P1P2_ENSG00000159915,0.036801334,-0.033568103,-0.04121653
1215_CAT_P2_ENSG00000121691,0.035220988,-0.033481713,0.005639949
9702_VARS2_P1P2_ENSG00000137411,-0.10095623,-0.03347481,-0.030600786
10999_non-targeting_non-targeting_non-targeting,0.027711939,-0.033412945,-0.02867833
9293_TRIP10_P2_ENSG00000125733,-0.0097416,-0.033359107,-0.051689167
4012_ICAM4_P1P2_ENSG00000105371,-0.026597403,-0.033285376,0.025477074
1220_CBFB_P1P2_ENSG00000067955,-0.0027972325,-0.033226974,-0.027071532
601_ATAD3B_P1_ENSG00000160072,0.035401434,-0.03302573,-0.0006278155
2610_EMC1_P1P2_ENSG00000127463,0.0020827062,-0.033020504,-0.01976353
991_C16orf58_P1P2_ENSG00000140688,0.033882696,-0.032974157,-0.018490827
443_ARF6_P2_ENSG00000165527,0.019066578,-0.032878414,-0.019185444
5941_ONECUT1_P1P2_ENSG00000169856,0.03256542,-0.032801855,0.00092137355
4428_KLHDC3_P1_ENSG00000124702,0.0035916027,-0.032770142,-0.02519072
4468_KRCC1_P1P2_ENSG00000172086,0.013709467,-0.032699157,-0.021854468
4334_KEL_P2_ENSG00000197993,0.0045551774,-0.032685902,-0.026650915
7211_RCOR3_P1P2_ENSG00000117625,-0.007794719,-0.032617465,-0.0029980165
10155_ZNF107_P1P2_ENSG00000196247,0.025100613,-0.03256255,-0.02489611
889_BRD2_P2_ENSG00000204256,-0.02926853,-0.032487147,0.0050923903
10321_ZNF383_P1P2_ENSG00000188283,0.021297017,-0.03246583,0.0018579145
6463_PLSCR1_P1P2_ENSG00000188313,0.00930408,-0.03245979,-0.019502657
2629_EMP3_P1P2_ENSG00000142227,0.025124181,-0.03245404,-0.028334761
5839_NT5C3A_P1_ENSG00000122643,0.0048991973,-0.032411467,-0.012264344
6166_PDE4A_P2_ENSG00000065989,0.013914923,-0.032243915,-0.008430838
7524_RPS3_P2_ENSG00000149273,-0.0028470939,-0.03219948,0.022013066
1381_CD99L2_P1P2_ENSG00000102181,-0.0055442224,-0.032177262,-0.046505596
7029_RAB3IP_P1P2_ENSG00000127328,-0.01725806,-0.03209765,-0.016743528
5285_MSL1_P1P2_ENSG00000188895,-0.05350751,-0.032050744,-0.018569328
3774_HIST1H3H_ENST00000369163.2_ENSG00000278828,-0.0078816,-0.032003175,-0.04304448
8717_TBC1D28_ENST00000345096.4_ENSG00000189375,-0.012605865,-0.031994097,-0.01415781
5834_NSUN4_P1P2_ENSG00000117481,-0.002274493,-0.031960353,-0.03014899
2569_EIF4G2_P1_ENSG00000110321,-0.09100632,-0.031951185,-0.046859313
1958_CTXN1_P1P2_ENSG00000178531,0.027686443,-0.031743877,-0.018043136
5713_NME4_P1P2_ENSG00000103202,0.04617277,-0.031721942,0.0029970496
4729_LYRM4_P1P2_ENSG00000214113,0.01873858,-0.031708106,-0.024940986
5217_MRPL35_P1P2_ENSG00000132313,-0.14350489,-0.03163607,-0.04816462
10932_non-targeting_non-targeting_non-targeting,0.006865344,-0.031614468,-0.0029007709
7871_SH2D3A_P1P2_ENSG00000125731,0.0175083,-0.031599287,-0.009834817
10014_ZBTB8B_P1P2_ENSG00000273274,0.03049929,-0.031529736,-0.048351362
11322_non-targeting_non-targeting_non-targeting,0.009798143,-0.03150725,-0.009947461
3631_HARS2_P1P2_ENSG00000112855,-0.07978891,-0.03150297,-0.042160906
10614_ZNF765_P2_ENSG00000196417,0.031849016,-0.031441197,-0.0011123935
5888_NUP155_P1P2_ENSG00000113569,-0.029058635,-0.031437006,-0.012121661
940_BZW1_P1P2_ENSG00000082153,0.03671154,-0.03137652,0.0014908833
8442_SRY_P1P2_ENSG00000184895,0.049323805,-0.031349815,-0.013542293
11120_non-targeting_non-targeting_non-targeting,0.015044039,-0.03133701,-0.019201765
5895_NUP37_P1P2_ENSG00000075188,0.01982062,-0.031282336,-0.032759078
4318_KDM1B_P1P2_ENSG00000165097,0.010937518,-0.031206954,-0.03714646
690_ATP8B2_P1_ENSG00000143515,0.03779201,-0.031202812,0.027575016
9189_TP53BP1_P1_ENSG00000067369,0.003161174,-0.031198662,-0.019429306
788_BCAT2_P1P2_ENSG00000105552,-0.015077045,-0.03109664,-0.007281084
2022_DAGLB_ENST00000297056.6_ENSG00000164535,0.0010136319,-0.03102828,0.04228414
9254_TRDMT1_P1P2_ENSG00000107614,0.015002903,-0.031014914,-0.017405394
2349_DPH5_P1P2_ENSG00000117543,0.05270534,-0.030610684,0.026403127
5220_MRPL38_P1P2_ENSG00000204316,-0.08362818,-0.0305608,-0.034907434
11307_non-targeting_non-targeting_non-targeting,-0.024069376,-0.030518088,-0.008683607
5919_STN1_P1P2_ENSG00000107960,0.042523716,-0.030431362,-0.045161523
3011_FBXO28_P1P2_ENSG00000143756,-0.072553255,-0.030410986,-0.018698122
2729_ESD_P1P2_ENSG00000139684,0.020478897,-0.030342555,-0.01638845
8308_SP3_P1P2_ENSG00000172845,0.019146964,-0.03023497,-0.015300394
8854_TFPI_P1P2_ENSG00000003436,0.010321998,-0.03014653,0.025859106
1142_CAB39L_P2_ENSG00000102547,0.017153228,-0.03011283,-0.0051230164
1173_CANX_P1_ENSG00000127022,0.008577907,-0.029983925,0.0080013
6682_PPP2R1B_P1P2_ENSG00000137713,0.022102078,-0.029969785,0.010197989
8315_SPA17_P1P2_ENSG00000064199,-0.017199751,-0.029933263,-0.0022156122
1514_CEP78_P1P2_ENSG00000148019,-0.001341378,-0.029931754,-0.050198037
2837_FAM117B_P1P2_ENSG00000138439,0.032168012,-0.029901909,-0.008805854
6851_PSMB3_P1P2_ENSG00000277791,-0.05158139,-0.029840324,-0.06196517
2458_EBP_P2_ENSG00000147155,0.020539416,-0.02982577,-0.0065474305
11180_non-targeting_non-targeting_non-targeting,0.0008037556,-0.029818164,-0.026243007
2140_DEDD2_P2_ENSG00000160570,-0.004157433,-0.029808318,0.010471064
1944_CTSA_P1P2_ENSG00000064601,0.0063830805,-0.029757645,-0.010658509
6756_PRKAR1B_P2_ENSG00000188191,0.03749556,-0.029728482,-0.00071862934
9304_TRMT11_P1P2_ENSG00000066651,-0.0095587745,-0.029689778,-0.017958203
2583_ELAVL1_P1P2_ENSG00000066044,0.017680649,-0.029620122,-0.018910019
8394_SQSTM1_P1_ENSG00000161011,0.018682545,-0.029617306,-0.047665242
4089_IK_P2_ENSG00000113141,0.03345238,-0.029594887,0.0024537356
6225_PEX13_P1P2_ENSG00000162928,-0.037433658,-0.029509282,-0.0009591495
8547_STUB1_P1P2_ENSG00000103266,-0.014050752,-0.029482832,-0.008254134
5501_NCKIPSD_P1P2_ENSG00000213672,0.014204196,-0.02939198,-0.06346523
11101_non-targeting_non-targeting_non-targeting,0.019391248,-0.029379135,-0.00030598094
7970_SLC17A5_P1P2_ENSG00000119899,0.006853532,-0.029299118,0.010588884
6597_POU5F1B_P1P2_ENSG00000212993,-0.009514501,-0.029293401,-0.01899788
2064_DCBLD2_P1P2_ENSG00000057019,0.009281863,-0.02929322,0.004241846
1423_CDK11B_ENST00000341832.6_ENSG00000248333,0.054308444,-0.029262334,0.040935185
9610_UQCRC1_P1_ENSG00000010256,-0.06011595,-0.029235106,-0.026666416
2559_EIF4A2_P1_ENSG00000156976,-0.00030874397,-0.029213583,0.012186671
