Perturbation,Gene_Target,Axis_Score
4208_ISG20L2_P1P2_ENSG00000143319,ISG20L2,0.10999815
6963_PWP2_P1P2_ENSG00000241945,PWP2,0.10928132
1470_CEBPZ_P1P2_ENSG00000115816,CEBPZ,0.107472494
2622_EMG1_P1P2_ENSG00000126749,EMG1,0.10741497
8317_SPAG7_P1P2_ENSG00000091640,SPAG7,0.10725559
7648_SAP18_P1P2_ENSG00000150459,SAP18,0.106990926
8405_SRFBP1_P1P2_ENSG00000151304,SRFBP1,0.106904685
7483_RPLP1_P1P2_ENSG00000137818,RPLP1,0.10674502
2235_DKC1_P1P2_ENSG00000130826,DKC1,0.10632327
4932_MED12_P1P2_ENSG00000184634,MED12,0.10596143
6642_PPM1G_P1_ENSG00000115241,PPM1G,0.105876245
4499_LAMB1_P1P2_ENSG00000091136,LAMB1,0.10552845
4921_MDN1_P1P2_ENSG00000112159,MDN1,0.104024656
6221_PET117_P1P2_ENSG00000232838,PET117,0.103773706
7243_REXO2_P1P2_ENSG00000076043,REXO2,0.103575066
5732_NOL10_P1P2_ENSG00000115761,NOL10,0.10329379
5745_NOP10_P1P2_ENSG00000182117,NOP10,0.10308235
7500_RPS12_P1P2_ENSG00000112306,RPS12,0.10289901
6493_PNO1_P1P2_ENSG00000115946,PNO1,0.10271226
5746_NOP14_P1P2_ENSG00000087269,NOP14,0.10264674
901_BRIX1_P1P2_ENSG00000113460,BRIX1,0.10249656
2456_EBNA1BP2_P1P2_ENSG00000117395,EBNA1BP2,0.102427535
939_BYSL_P1P2_ENSG00000112578,BYSL,0.10204132
1192_CARF_P1P2_ENSG00000138380,CARF,0.1018025
5909_NVL_P1P2_ENSG00000143748,NVL,0.1012398
859_BMS1_P1P2_ENSG00000165733,BMS1,0.101159625
7474_RPL4_P1P2_ENSG00000174444,RPL4,0.10109934
1129_SPOUT1_P1P2_ENSG00000198917,SPOUT1,0.10089703
5738_NOL9_P1P2_ENSG00000162408,NOL9,0.10085866
3395_GLIS1_ENST00000312233.2_ENSG00000174332,GLIS1,0.100720555
5163_MPHOSPH10_P1P2_ENSG00000124383,MPHOSPH10,0.1005887
6575_POP4_P1P2_ENSG00000105171,POP4,0.10050039
7427_RPF2_P1P2_ENSG00000197498,RPF2,0.100250416
7511_RPS21_P1P2_ENSG00000171858,RPS21,0.09959452
7480_RPL8_P1P2_ENSG00000161016,RPL8,0.099513344
9971_ZBTB14_P1P2_ENSG00000198081,ZBTB14,0.09947199
5707_NMD3_P1P2_ENSG00000169251,NMD3,0.09946141
2129_DDX54_P1_ENSG00000123064,DDX54,0.09946023
9824_WDR46_P1P2_ENSG00000227057,WDR46,0.09784724
7540_RPSA_P1P2_ENSG00000168028,RPSA,0.09752059
964_C12orf45_P1P2_ENSG00000151131,C12orf45,0.097012386
10702_ZNHIT6_P1P2_ENSG00000117174,ZNHIT6,0.096674204
