perturbation,spearman_rho,gene_symbol,ensembl_id
8542_STRN3_P1P2_ENSG00000196792,0.03971716105222881,STRN3,ENSG00000196792
8380_SPSB2_P1P2_ENSG00000111671,0.03969319746992533,SPSB2,ENSG00000111671
5001_METTL2A_P1P2_ENSG00000087995,0.03967763443740086,METTL2A,ENSG00000087995
7244_REXO4_P1P2_ENSG00000148300,0.03967556296337576,REXO4,ENSG00000148300
4872_MAZ_P1P2_ENSG00000103495,0.03967263881283333,MAZ,ENSG00000103495
1360_CD2AP_P1P2_ENSG00000198087,0.039625379337295846,CD2AP,ENSG00000198087
8555_STX3_P1P2_ENSG00000166900,0.0395764279973918,STX3,ENSG00000166900
164_GRK2_P1P2_ENSG00000173020,0.039564688038789035,GRK2,ENSG00000173020
7428_RPGRIP1L_P1P2_ENSG00000103494,0.039532917408101616,RPGRIP1L,ENSG00000103494
98_ACSF3_P1P2_ENSG00000176715,0.03943680004986028,ACSF3,ENSG00000176715
1471_HDHD5_P1P2_ENSG00000069998,0.039433778588212495,HDHD5,ENSG00000069998
6810_PRR12_P1P2_ENSG00000126464,0.03942979846765541,PRR12,ENSG00000126464
722_AZIN1_P1P2_ENSG00000155096,0.03941900946015161,AZIN1,ENSG00000155096
3578_GTF2H5_P1P2_ENSG00000272047,0.039400599355188,GTF2H5,ENSG00000272047
6817_PRR7_P1P2_ENSG00000131188,0.039357303621110645,PRR7,ENSG00000131188
8159_SMC4_P2_ENSG00000113810,0.039354889149526034,SMC4,ENSG00000113810
3402_GLRX2_P1P2_ENSG00000023572,0.039266029658182905,GLRX2,ENSG00000023572
7505_RPS16_P1P2_ENSG00000105193,0.03924711469164294,RPS16,ENSG00000105193
340_ANKRD40_P1P2_ENSG00000154945,0.03920578926658016,ANKRD40,ENSG00000154945
4788_MAN2B1_P2_ENSG00000104774,0.03918777707732462,MAN2B1,ENSG00000104774
10499_ZNF609_ENST00000326648.3_ENSG00000180357,0.039185494601991847,ZNF609,ENSG00000180357
356_ANTXR2_P1P2_ENSG00000163297,0.03917770200575227,ANTXR2,ENSG00000163297
1097_C5orf22_P1P2_ENSG00000082213,0.03917230653852408,C5orf22,ENSG00000082213
