ID_REF,gene_symbol,logfc_amd_vs_ctrl,pvalue
379,379,-0.21244120447616233,0.14897913524100453
381,381,-0.01679460727524873,0.716601637283862
382,382,-0.15460861855904273,0.0017706720165356178
383,383,0.030481019559241318,0.5290847756791225
384,384,-0.0013608061547267791,0.9790163725772332
385,385,0.16435231634272984,0.14307245644342453
386,386,0.07014527404897786,0.5842621179531324
387,387,0.05667121591490076,0.533713358118304
388,388,0.004721633550772708,0.9117863143583173
389,389,0.1226439200636742,0.04508026178004066
390,390,0.030273030621291497,0.6458607840654316
391,391,0.24204890286222813,0.03889111877264376
393,393,-0.12141094218336868,0.11904691276989604
394,394,0.029165615837541292,0.6022392754136456
395,395,-0.02786793807812815,0.654021331802036
396,396,-0.045228554278504696,0.5868387367600939
397,397,-0.09995788734876054,0.19004183145703352
398,398,0.08396315221089257,0.4811964119490114
399,399,-0.26515374675760883,0.001297315931226454
400,400,-0.0804386423633976,0.18718764958005124
401,401,0.04951435916179281,0.3289372840635548
402,402,0.08824634778807816,0.5717280558790185
403,403,-0.1289833003244123,0.02796174772066471
404,404,-0.017144600826883405,0.729095805439405
405,405,0.2189443162581135,0.007779345994352967
406,406,-0.008452495666330773,0.8836066152242553
408,408,-0.12447759105335798,0.05000122490610309
409,409,0.019385111155953094,0.7420809176190545
410,410,-0.06717282048914175,0.36293455965043186
411,411,-0.1308107958471032,0.05657832788958834
412,412,-0.08901021421254862,0.08039177937486759
413,413,-0.0542641176320382,0.3591756528025496
414,414,-0.13237490631091298,0.26224874915785595
415,415,-0.04463740919901449,0.43540835999105554
417,417,-0.03160133417876976,0.6462368789269258
434,434,-0.03994306990025187,0.5711020408050891
435,435,-0.04280356186610623,0.4513240094017765
436,436,0.07594034634398561,0.29033426997619466
437,437,0.009779766261678091,0.8415566229186293
439,439,0.0562529505278484,0.28355105957058535
440,440,-0.1261018721589311,0.028762862179727983
441,441,-0.07193236977159234,0.4211115983339253
442,442,-0.01522307232338882,0.7331696539156427
443,443,0.045983353849176734,0.36609488580577954
444,444,0.10294883517312847,0.12682712947028257
446,446,-0.14633061264342695,0.010913803918925732
447,447,-0.039095982084893954,0.4443231522163469
448,448,0.09970620374108563,0.2944268335217521
449,449,0.02285740089700372,0.7386769485797929
450,450,-0.09391035803783909,0.1276097271126843
451,451,-0.0038863927172276824,0.955723910093293
452,452,0.46730476897933304,0.00040715254283666584
453,453,-0.0032734511956054035,0.9820772743313564
454,454,-0.09574258314832562,0.11619845283550603
455,455,-0.1470781887716992,0.02010512162995956
456,456,-0.004118287058942682,0.9379237145603261
457,457,-0.026320862696204816,0.6504902519073412
458,458,-0.07410178300489068,0.1957066540078995
459,459,-0.06147961580041317,0.30803988223764245
460,460,-0.03598120235290603,0.5788203880460613
461,461,0.057917503822255245,0.28368607450246425
462,462,-0.001987377351892583,0.9657450217702666
463,463,0.009755874445829704,0.9065474864863159
464,464,0.061569287728898914,0.21839613111193532
465,465,0.22621763758825963,0.2185819035220276
466,466,0.016533778884052053,0.7491529754902013
467,467,0.04128120441155225,0.763418949369932
468,468,-0.09115597458425873,0.10683511495812165
469,469,0.0632444202411575,0.24431258773642037
470,470,-0.0561067120950236,0.6386440874463477
471,471,-0.09627979025287647,0.3724347619331624
472,472,-0.08951116426915418,0.34816603142780356
473,473,-0.29238412782730094,0.0012720734944487119
474,474,0.02589493165191703,0.6620007510285661
475,475,0.016626674625849436,0.7599802731392945
476,476,0.04434887274843713,0.38455328243564757
477,477,-0.04424710847174218,0.4027995360425829
478,478,-0.04067068384905692,0.46410386498169787
479,479,-0.15664230796715817,0.01803249420812509
480,480,-0.08409838217667032,0.10735804596630046
481,481,0.0002047164044300942,0.9966402500743093
482,482,-0.31143331245590744,0.0016171881171278086
483,483,-0.1148733752427411,0.015162078367999906
484,484,0.0544189326629545,0.36713930159499786
485,485,0.007954824223819656,0.9176866434731263
486,486,-0.27731332360935745,0.09640853016534953
487,487,-0.09830699358821526,0.30886436116383276
488,488,-0.033498236344983834,0.5288210981776791
489,489,-0.052713339335146436,0.3251676864422347
490,490,-0.12577768847569448,0.24500024336532109
491,491,0.039080134366818786,0.5149251644145451
492,492,-0.08400650396755704,0.20876304152085845
493,493,0.010835835312212438,0.8667187520836256
494,494,-0.15162134678284067,0.0070736507425213785
495,495,-0.06834449017285849,0.2996067624877643
496,496,-0.034985683880432994,0.675796091975307
497,497,-0.048518631704444815,0.43633128936293675
498,498,-0.02807868798781099,0.6436646552612052
499,499,0.1192171450622217,0.15223023262550217
500,500,0.021049066895994173,0.7520730654169309
501,501,-0.015630452253910354,0.7746988563772981
502,502,-0.121490655952873,0.12381598671721089
519,519,-0.13811790916734124,0.057219305708670974
520,520,-0.07956990514137185,0.2577983772450523
521,521,-0.14584299167797887,0.2238614543513714
522,522,-0.05112068071753573,0.3774085933512116
523,523,-0.069126144257037,0.18419568199259193
524,524,-0.11315906215789884,0.012256754640146394
525,525,-0.055486367658533764,0.2657844948810837
526,526,-0.10025540840921732,0.37391825060992756
527,527,-0.004680113182734313,0.9391996119510267
528,528,-0.07478965643136393,0.20220606863748622
529,529,-0.04549087237184146,0.3752096517225456
530,530,0.012980833270340497,0.8404654923430465
531,531,-0.060682752118113026,0.24079855632658378
532,532,-0.004923244750417055,0.9280603458050313
533,533,-0.1761516689315128,0.008135533962961794
534,534,0.13991353433517517,0.10816804628679692
536,536,0.030317825705989954,0.634885436432537
537,537,0.08649199563263643,0.38181577094987906
538,538,-0.031172943394143005,0.3988521258673142
540,540,-0.021058770287367246,0.720098608332207
541,541,0.3261568512834634,0.011111371734395975
542,542,-0.019553888306067524,0.7325847552647602
543,543,-0.08468732538220003,0.26136217563310926
544,544,-0.0439237179761065,0.2952782888786501
545,545,-0.025588415969929557,0.6346790172597307
546,546,-0.02786325142115187,0.6713395299814785
547,547,0.004953888271399531,0.9427186597991752
548,548,-0.002474324130659067,0.9667561264951567
549,549,-0.1765933388125145,0.2580918142609215
550,550,-0.07113299045438293,0.43078112357977005
551,551,-0.06765345585906268,0.2068004844011115
552,552,-0.0017324489944121613,0.9753374966271655
553,553,-0.08486910143880566,0.12290885915983422
554,554,-0.09457413790090285,0.17224709749446465
555,555,0.09291603809362048,0.257563311363828
557,557,0.04287631555874949,0.575136047195748
558,558,-0.03257186251251998,0.5710004579902117
559,559,0.3096719700615118,0.025190129392581726
560,560,0.006570180613815424,0.9031039671592822
561,561,-0.015975011128421368,0.7420667367824244
562,562,0.04740745483073683,0.4482568061807817
563,563,-0.09467438817982288,0.14508856459812147
564,564,0.031387332805636436,0.6344499534752457
565,565,0.03911500210301,0.41322559278685844
567,567,-0.0653883449737549,0.35932913488180673
568,568,0.011843637530731588,0.851065223141402
